,Name,Rating,Adjusted Rating,Games
635,ryan marino,157.14177591723725,157.14177591723725,181
240,gabriel finocchi,154.82556478120244,154.82556478120244,131
609,joe bondi,152.49944265780115,152.49944265780115,112
606,will picone,148.12910779808877,148.12910779808877,144
626,matthew cole,147.39994533818162,147.39994533818162,132
597,grant laughlin,144.83076901804694,144.83076901804694,81
613,buddy hammon,144.34404060383082,144.34404060383082,61
1123,blake bosak,144.23317695347941,144.23317695347941,126
1144,paq clifford,143.58170160412524,143.58170160412524,48
599,max model,142.66352533439235,142.66352533439235,94
596,ryder rivadeneyra,144.42601514702116,142.14775795999444,37
1124,etienne cote,142.14224092320106,142.14224092320106,147
837,west peterson,142.02209128129175,142.02209128129175,127
1071,xande plaisted,141.8082195615135,141.8082195615135,53
595,clark marshall,141.39517786226767,141.39517786226767,77
1226,vincent mathieu,141.19353563269098,141.19353563269098,117
1576,emanuel rimle,147.07441963680267,140.15171086668465,29
820,noah luskus,140.10043249053902,140.10043249053902,132
600,rahul murthy,139.89601608272608,139.89601608272608,142
605,ryan gross,139.20128102594495,139.20128102594495,148
1145,malachi espinola,139.12284241249455,139.12284241249455,52
1060,justin shaytar,139.05172859914137,139.05172859914137,114
618,thomas hamilton,138.95179377158257,138.95179377158257,176
500,dawson morgan,138.7668547376899,138.7668547376899,155
1128,elie pilon,138.27277493901357,138.27277493901357,80
834,polk denmark,138.0503869064421,138.0503869064421,79
677,justin barr,138.01669482684738,138.01669482684738,149
1290,guillaume bilodeau,144.3399326171524,137.81935429110058,29
832,owen lippman,137.46709468198657,137.46709468198657,133
1464,kurt lannetti,136.8419493159546,136.8419493159546,62
1571,paul siemer,136.78686996939467,136.78686996939467,54
1570,eisentrager lukas,136.78686996939467,136.78686996939467,54
61,connor nelson,136.6787237424587,136.6787237424587,121
642,caleb cummings,136.04530321322358,136.04530321322358,142
664,grant klapwijk,136.03545551772123,136.03545551772123,137
335,fredric hinkle,135.95090920773953,135.95090920773953,182
302,levi vandaele,135.75287047099994,135.75287047099994,61
1140,maxime prince,135.55554642774956,135.55554642774956,57
1141,samuel prince,135.55554642774956,135.55554642774956,57
815,peter lu,135.43091221782493,135.43091221782493,56
805,christian bennett,135.27683085765474,135.27683085765474,146
1027,colin tolentino,134.9378258089122,134.9378258089122,70
314,fabian claus,134.6932227367457,134.6932227367457,53
509,jared beaufait,134.45902769006577,134.45902769006577,82
675,andrew sullivan,134.30418089592314,134.30418089592314,129
880,brendan ferreira,134.26852418989458,134.26852418989458,119
1241,andrew raber,134.5906734342929,133.8045217653317,43
1053,emerson dean,133.382845195123,133.382845195123,91
20,josh fragiacomo,133.37713723434584,133.37713723434584,143
691,jenson miller,133.25972508748566,133.25972508748566,107
610,matthew burrows,132.97931414839542,132.97931414839542,170
611,cade larson,132.94614726563904,132.94614726563904,132
1069,olivier laurin,135.57489188787721,132.61031756388743,33
1582,hugo lacombe,132.51259439042715,132.51259439042715,50
603,luke mowry,132.50815404574627,132.50815404574627,79
327,julian krehle,133.13081992515725,132.37784674504005,43
65,ryan oswalt,132.3199926810624,132.3199926810624,58
1398,maxwell gunneson,132.22002250267795,132.22002250267795,64
883,sean brown,132.21836362500602,132.21836362500602,78
666,jack bushart,131.98020181525268,131.98020181525268,88
630,garrett hornok,133.50623410570512,131.87178366152438,39
1230,jacob arzaga,132.49895813660945,131.7603454516865,43
298,jakub visek,131.5945664766453,131.5945664766453,47
617,andrew christmas,131.48105534521252,131.48105534521252,63
1235,frederik theunis,131.40506805900222,131.40506805900222,81
1583,scott beeks,131.36271020475817,131.36271020475817,58
249,demitri forand,131.3258114969609,131.3258114969609,87
341,ramon felix,132.04715164292003,131.30186904657305,42
1652,jakub popluhar,131.2377511194915,131.2377511194915,50
622,kieran rose,131.1111660286018,131.1111660286018,210
84,joseph kaylor,130.98201462294,130.98201462294,87
1132,eddy leung,131.57014925982185,130.883841667217,45
826,tommy drake,130.87128205990095,130.87128205990095,74
672,neal bergman,130.8509849352086,130.8509849352086,85
1039,chris brown,130.77722909587612,130.77722909587612,99
704,michael barkman,130.72906797894544,130.72906797894544,86
55,samuel buckman,130.65288357983766,130.65288357983766,57
643,josh weinbach,130.58778004135067,130.58778004135067,69
347,timo lorenzen,130.54301680394735,130.54301680394735,72
212,corey weiss,130.294090397705,130.294090397705,98
637,solomon berry,130.95452618727055,130.25101422846893,43
1972,trey thompson,130.12307817327937,130.12307817327937,47
1574,dorian ameziane,130.07056557199132,130.07056557199132,51
973,tyler babin,130.04946629313326,130.04946629313326,99
1225,cole model,130.03016824388894,130.03016824388894,70
539,hayden flood,132.64658647332783,129.9995659484634,34
250,jake mottershead,129.79957593327845,129.79957593327845,55
1581,erwan chapeliere,130.46764983247837,129.7245364219301,40
25,kyan kornfeld,129.30796450522175,129.30796450522175,106
930,jacob summers,129.253849496046,129.253849496046,66
614,dan abrams,129.15016691808665,129.15016691808665,111
564,chase meyer,128.96113836010056,128.96113836010056,83
294,benjamin bachler,128.84356303129348,128.84356303129348,60
318,auxence clark,129.4788712002389,128.7769933145189,41
674,henry pilliod,128.51216051133977,128.51216051133977,111
812,kyle ackermann,128.48028998689097,128.48028998689097,53
686,luke nickel,128.32329760965266,128.32329760965266,75
712,lindros beard,128.26163128206377,128.26163128206377,67
361,esaja ekman,128.224888476912,128.224888476912,49
612,luke marshall,127.90265106469452,127.90265106469454,76
671,chris wilkins,127.74579213676625,127.74579213676624,76
624,luis orozco,127.71459350542429,127.71459350542429,85
17,trevor barbosa,127.36383084787066,127.36383084787066,121
319,robin florinda,127.33898382261647,127.33898382261647,75
58,luke pennington,127.30773930525974,127.30773930525973,71
1244,kaleb wagner,127.16648578090886,127.16648578090886,59
307,stefan handschmann,127.11864611565144,127.11864611565144,77
1778,trevor clements 704trev,128.48073206533164,127.05669546206505,38
295,nelson dziruni,127.05048057435248,127.05048057435246,74
665,nick evanko,127.04165521770125,127.04165521770125,91
634,patric chu,127.02116322367475,127.02116322367473,95
2083,jake lebaron,130.2558480881638,126.79803687808791,31
303,yosha vandaele,126.7121130876825,126.7121130876825,57
343,riccardo mercadini,126.36955829946488,126.36955829946488,52
342,andrea borsotti,126.36955829946488,126.36955829946488,52
114,charlie camarena,126.32051299091759,126.3205129909176,48
1651,peer kanis,127.5443529320542,126.20072595975886,39
201,sunny gu,126.02288630528975,126.02288630528975,63
1062,brayden latham,125.99178164187973,125.99178164187973,63
673,caleb shorter,125.94340496498633,125.94340496498633,110
489,christian hill,125.89163993130883,125.89163993130883,49
1817,artie singer,134.00748465384032,125.76324594987904,25
668,clifford amadeo leveque,125.71285551137252,125.71285551137252,125
616,kevin cadle,125.69865480253694,125.69865480253694,61
1,jacob payer,125.67165312898264,125.67165312898264,131
710,kyle fowler,125.63395924107094,125.63395924107094,96
1231,tyler fernandez,125.49466267731309,125.49466267731309,128
842,benjamin bunze,125.33108100319077,125.33108100319077,70
1072,josh esposo,125.2967123363899,125.2967123363899,87
1065,josh hutko,125.20427443727884,125.20427443727884,105
282,alex newton,125.18245928843349,125.18245928843349,55
1569,garrett carver,128.06499032585165,124.85756286004003,31
604,nick noguez,124.7640678769265,124.7640678769265,64
345,ondrej cejka,124.74194673182856,124.74194673182856,54
751,bennett anderson,127.71536000331787,124.54789028865297,31
752,reid pfutzenreuter,127.71536000331787,124.54789028865297,31
678,tim lacagnina,124.50038015596705,124.50038015596705,84
632,bradley thompson,125.06044322507792,124.46376600543321,41
16,brandon brown,124.28421328774256,124.28421328774256,95
1475,calvin smith,124.23568717375453,124.23568717375454,53
839,sam kilinski,127.24204481700134,124.03709836794235,30
1471,dan bonowski,133.3260706208995,123.95311325877151,23
1465,reid lampert,125.2221285331001,123.92868604422317,37
835,sam bunze,123.89230999661152,123.89230999661152,58
315,josha lauterbach,124.39795448711722,123.83056019671915,42
1572,erik borja forschner mitre,124.38790373571834,123.79307681533496,40
631,jack granger,125.82464337912364,123.73075337541091,34
1476,andrew gunter,125.00978551702751,123.7272324135902,37
667,max fiebelkorn,123.68145506755344,123.68145506755344,78
323,matias bermejo pasetti,123.56950552214872,123.56950552214872,65
1239,tyler cisek,137.03166678829817,123.56560613800794,21
29,nick wideman,123.52505503572549,123.52505503572549,108
338,markus anderle,123.49051288454152,123.49051288454152,65
