,Name,Rating,Adjusted Rating,Games
29,gabriel finocchi,145.99759493218937,145.99759493218937,138
866,ryan marino,143.9062985767702,143.9062985767702,174
155,will picone,142.2905005729209,142.2905005729209,150
302,blake bosak,142.17993878148627,142.17993878148627,163
152,joe bondi,141.85866442909537,141.85866442909537,115
652,grant laughlin,140.04042514927707,140.04042514927707,79
237,matthew cole,139.94739105472948,139.94739105472948,127
56,clark marshall,138.70950034616362,138.70950034616362,71
444,paul siemer,138.64888595905026,138.64888595905026,51
125,emerson dean,138.59083554524778,138.59083554524778,85
1013,noah luskus,138.47857094230054,138.47857094230054,128
600,vincent mathieu,138.346894466943,138.346894466943,105
238,ryder rivadeneyra,140.16746908666155,138.05339176631097,36
55,buddy hammon,138.01747637037136,138.01747637037136,59
584,owen lippman,137.9763779951847,137.9763779951847,133
867,thomas hamilton,137.2205454267677,137.2205454267677,169
153,ryan gross,136.5676312425503,136.5676312425503,150
31,justin barr,136.54000233881524,136.54000233881524,133
159,grant klapwijk,136.44809335961295,136.44809335961295,141
405,samuel prince,136.308017996934,136.308017996934,54
84,xande plaisted,136.0440641892552,136.0440641892552,91
682,max model,135.80608676716574,135.80608676716574,91
154,rahul murthy,135.64858010269143,135.64858010269143,146
30,andrew sullivan,135.59664611710303,135.59664611710303,122
255,ryan oswalt,135.29515617374935,135.29515617374935,64
221,matthew burrows,135.02578832010298,135.02578832010298,163
601,elie pilon,134.99836531921542,134.99836531921542,78
220,caleb cummings,134.7817880157415,134.7817880157415,137
1012,christian bennett,134.72940439079838,134.72940439079838,150
115,luke mowry,134.69112662310013,134.69112662310013,76
1194,peter lu,134.32558469966494,134.32558469966494,51
724,kurt lannetti,134.21034782512606,134.21034782512606,63
759,paq clifford,134.1731152462797,134.1731152462797,76
303,etienne cote,134.123446660722,134.123446660722,191
351,kieran rose,134.07590883862605,134.07590883862605,208
503,fredric hinkle,134.0009109655853,134.0009109655853,175
306,eddy leung,133.88510409265248,133.88510409265248,83
114,dawson morgan,133.85804467619826,133.85804467619826,151
1518,west peterson,133.76313509879026,133.76313509879026,118
1125,jake mottershead,133.33977729923745,133.33977729923745,54
82,tyler babin,133.2925611138253,133.2925611138253,104
598,jenson miller,132.95806492337744,132.95806492337744,103
381,cade larson,132.79736189430622,132.79736189430622,125
1867,malachi espinola,132.7269059054214,132.7269059054214,106
382,connor nelson,132.65144353477933,132.65144353477933,116
1786,jack bushart,132.638411655855,132.638411655855,86
28,brendan ferreira,132.45814230254945,132.45814230254945,123
1073,levi vandaele,132.1059915962642,132.1059915962642,60
1198,neal bergman,132.0705465797557,132.0705465797557,81
179,colton mowry,132.63922068534245,131.89742021522105,43
559,luis orozco,131.7153032378953,131.7153032378953,82
599,michael barkman,131.65275025966298,131.65275025966298,82
265,polk denmark,131.63165336776623,131.63165336776623,76
358,hayden flood,134.2792822978892,131.4998810304928,34
117,andrew christmas,131.48731594665028,131.48731594665028,58
83,anthony clifford,132.1985741165612,131.4667883411848,43
1889,andrew raber,131.36195368084108,131.36195368084108,49
356,jared beaufait,131.27215733939016,131.27215733939016,78
895,tyler fernandez,130.92279975405435,130.92279975405435,121
254,josh fragiacomo,130.8907479593282,130.8907479593282,144
350,justin shaytar,130.85671307185444,130.85671307185444,109
1517,hugo lacombe,131.48957033020034,130.80501445345683,45
594,demitri forand,130.7939994776347,130.7939994776347,81
264,jacob summers,130.64491899735097,130.64491899735097,63
219,sean brown,130.60151382660925,130.60151382660925,81
1138,samuel buckman,130.49522955280943,130.49522955280943,52
896,corey weiss,130.48732630474902,130.48732630474902,101
277,patric chu,130.24317148271726,130.24317148271726,89
518,solomon berry,130.1698037870256,130.1698037870256,124
402,trey thompson,130.09774223944115,130.09774223944115,79
1204,scott beeks,130.08704778560403,130.08704778560403,57
2569,emanuel rimle,136.16482505806817,129.78279710664438,28
1074,robin florinda,129.62096922950113,129.62096922950113,73
667,elijah kim,131.15011914885267,129.5526771412192,37
1771,jack coolbaugh,129.53011706707338,129.53011706707338,69
890,kevin cadle,129.34424788681216,129.34424788681216,59
2114,bennett anderson,132.93405283753907,129.05945838606388,30
81,chris brown,129.00866915974694,129.00866915974694,96
939,luke nickel,128.98747919242214,128.98747919242214,83
1380,calvin smith,128.88659348046406,128.88659348046406,60
73,jacob arzaga,128.6152525402305,128.6152525402305,50
376,bradley thompson,129.9878700661338,128.5250471360785,39
539,kyan kornfeld,128.52481929231485,128.52481929231485,103
726,josh weinbach,128.5228752967832,128.5228752967832,64
1688,andrea borsotti,128.45714853139623,128.45714853139623,50
1530,brayden latham,128.3891820519459,128.3891820519459,59
317,trevor barbosa,128.37559309010624,128.37559309010624,124
17,joseph kaylor,128.35570424395974,128.35570424395974,92
446,timo lorenzen,128.2822402052684,128.2822402052684,75
531,josh cain,128.28058849424764,128.28058849424764,95
997,guillaume bilodeau,134.32820098900572,128.27028316741647,28
57,fabian claus,128.2233333588474,128.2233333588474,49
651,dan abrams,128.16201123018772,128.16201123018772,108
679,clifford amadeo leveque,128.13941172010814,128.13941172010814,118
681,cole model,128.0170517833082,128.0170517833082,68
87,brandon brown,127.92935205362386,127.92935205362386,90
161,nick evanko,127.9253425613043,127.9253425613043,89
619,nolan wynkoop,127.88244882655727,127.88244882655727,66
90,nick wideman,127.87738904218466,127.87738904218465,110
875,tommy drake,127.79472192401053,127.79472192401053,81
537,warner curtis,128.4680561083895,127.77371327647757,40
610,samuel corey,127.73999914204943,127.73999914204944,136
639,frederik theunis,127.52816048158746,127.52816048158748,75
580,sunny gu,127.46880589162804,127.46880589162804,60
160,henry pilliod,127.44872595209729,127.44872595209729,113
16,jason rhoads,127.39247339192342,127.39247339192342,61
1155,ramon felix,128.02987062983328,127.3624927576944,41
207,stephen jones,127.3574584576998,127.3574584576998,55
582,nelson dziruni,127.29956319207766,127.29956319207766,71
1291,cole maddox,127.15871188455634,127.15871188455634,63
1442,matt ortlip,127.06893818185479,127.06893818185479,50
1686,jakub popluhar,127.04726930607198,127.04726930607198,47
532,luke pennington,127.01464867790325,127.01464867790325,79
546,ryan mccargar,127.5446380773789,126.95858194807298,46
120,luke marshall,126.93470719430161,126.93470719430161,72
1591,markus anderle,126.89440177724528,126.89440177724528,62
742,colin tolentino,126.74636994485219,126.7463699448522,68
88,drew cummins,129.0134183085092,126.72288528415321,35
273,maxwell gunneson,126.67422143454888,126.67422143454888,62
1491,harold mancia,128.0079246570083,126.60752842415786,38
