,Name,Rating,Adjusted Rating,Games
278,gabriel finocchi,159.98272146704878,159.98272146704878,98
37,thomas hamilton,154.20997694117148,154.20997694117148,89
229,xande plaisted,153.6076492474442,153.6076492474442,52
290,matthew cole,153.40417449976465,153.40417449976465,100
549,will picone,152.99980860831704,152.99980860831704,110
265,joe bondi,152.61309459527956,152.61309459527956,86
500,grant laughlin,152.40518673405265,152.40518673405265,52
994,blake bosak,152.05528887107306,152.05528887107306,105
36,ryan marino,151.7589882761322,151.7589882761322,111
65,paq clifford,152.8251947312042,151.56745199950885,41
311,max model,151.20276432092047,151.20276432092047,63
194,levi vandaele,152.97779618126629,150.328906372203,38
548,rahul murthy,149.75324979072272,149.75324979072272,97
183,etienne cote,149.7330299119209,149.7330299119209,106
154,vincent mathieu,149.4999995739082,149.4999995739082,93
264,clark marshall,149.3679951077727,149.3679951077727,65
394,buddy hammon,150.45014166126714,149.27688255286557,42
83,christian bennett,148.72793256065657,148.72793256065657,87
383,benjamin bachler,149.71171376429885,148.49923294077936,40
640,jakub popluhar,150.700040979844,148.2268682491199,39
893,malachi espinola,148.22189691945113,148.22189691945113,50
465,eisentrager lukas,149.23824668101884,148.09317117680908,42
466,paul siemer,149.23771481005673,148.09265167493913,42
153,justin barr,148.0769158038229,148.0769158038229,82
488,josh fragiacomo,147.6627435981867,147.6627435981867,91
745,emerson dean,147.556166976246,147.556166976246,66
427,west peterson,147.22491953790382,147.22491953790382,82
426,owen lippman,147.19814332431073,147.19814332431073,91
314,elie pilon,147.14081348166513,147.14081348166513,69
279,ryan gross,147.11164647095268,147.11164647095268,113
467,josh weinbach,146.76692853465332,146.76692853465332,49
599,fredric hinkle,146.5180379094677,146.5180379094677,129
67,nolan wynkoop,145.85359671636812,145.85359671636812,50
68,solomon berry,151.47544905771417,145.5925405939754,31
1395,jake lebaron,151.24536512124902,145.38875196453486,31
185,caleb cummings,145.11685206797506,145.11685206797506,99
289,grant klapwijk,145.10338241556744,145.10338241556744,86
294,esaja ekman,150.65928525290616,145.03047578036103,32
483,justin shaytar,144.7716250148451,144.7716250148451,114
114,matthew burrows,144.72772094310523,144.72772094310523,115
762,dawson morgan,144.49922611313167,144.49922611313167,101
49,robin florinda,144.36289415678502,144.36289415678502,49
577,brendan ferreira,144.3252230813712,144.3252230813712,72
813,andrew raber,146.49921122096555,144.23095701506477,39
292,henry pilliod,143.74429133005464,143.74429133005464,60
796,tommy drake,144.67713176161712,143.66174240339853,43
84,noah luskus,143.6173849393576,143.6173849393576,95
315,connor nelson,143.53490032171638,143.53490032171638,65
296,andrew sullivan,143.49581782218118,143.49581782218118,76
1460,reid lampert,145.8347925616361,143.4224350583921,36
538,jake mottershead,144.45696614801818,143.37264990050554,40
1311,neal bergman,144.2980413887669,143.21760135489455,40
