Team Name,Wins,Losses,Result,Division,Tournament
Parallax,7,0,1,Premier,2021erie
Volley Llamas,5,2,2,Premier,2021erie
Vascular,5,1,3,Premier,2021erie
Graham/Showalter,3,3,4,Premier,2021erie
Kinda Calculated,5,2,5,Premier,2021erie
Boobies & doobies,4,4,6,Premier,2021erie
Barrel Roll Bros,3,4,7,Premier,2021erie
Dantowitz | Kaplan,3,4,8,Premier,2021erie
DOfus,1,5,9,Premier,2021erie
Old Line State,0,5,10,Premier,2021erie
Closed on Sundays,0,6,10,Premier,2021erie
Showalter/Pierson,6,0,1,Women's,2021erie
Scrambled,5,1,2,Women's,2021erie
Beast mode,4,2,3,Women's,2021erie
Petrie/Lucas,3,3,4,Women's,2021erie
Jazzy,2,3,5,Women's,2021erie
Double Trouble,1,4,5,Women's,2021erie
Heroes in Disguise,1,4,7,Women's,2021erie
Arachnets,0,5,7,Women's,2021erie
Tweenie Weenie Nation,10,0,1,Contender,2021erie
Pocket Rockets,9,1,2,Contender,2021erie
Brush Your Teeth,9,1,3,Contender,2021erie
Runners Up,7,3,4,Contender,2021erie
Bait and Glitch,6,2,5,Contender,2021erie
Synthetic,6,2,5,Contender,2021erie
Free On Mach,6,1,5,Contender,2021erie
WILSOOOOOON!!!!,7,1,5,Contender,2021erie
Boost,5,3,9,Contender,2021erie
Lanky Smoove,5,2,9,Contender,2021erie
Dropshot Drip,3,4,9,Contender,2021erie
epic slammo,3,4,9,Contender,2021erie
Ditto,4,3,9,Contender,2021erie
Flower Power,5,2,9,Contender,2021erie
Bread and Butter,3,3,9,Contender,2021erie
Slack,5,3,16,Contender,2021erie
Italian Stallions,2,5,17,Contender,2021erie
Anomaly,3,4,17,Contender,2021erie
Enough is Enough,4,3,17,Contender,2021erie
Molby Dick,2,4,17,Contender,2021erie
Ike N Spike,4,2,17,Contender,2021erie
Batt/Calvin,1,5,17,Contender,2021erie
The Friend Bros,2,4,17,Contender,2021erie
The Silly Willies,1,6,17,Contender,2021erie
Highpockets,3,2,17,Contender,2021erie
Wentlings,1,5,17,Contender,2021erie
say spike rn,2,4,17,Contender,2021erie
Mussari,1,5,17,Contender,2021erie
Backdoor Protein,2,5,29,Contender,2021erie
PowerLine,1,7,29,Contender,2021erie
Grim,1,6,29,Contender,2021erie
Down BAD ;(,2,5,29,Contender,2021erie
The Spikeman Cometh,0,6,33,Contender,2021erie
UNK.,0,6,34,Contender,2021erie
2 Guys 1 Ball,0,6,34,Contender,2021erie
Slightly Soaked,9,0,1,Advanced,2021erie
Jersey Shore Spikers,8,1,2,Advanced,2021erie
Kant Serve,6,3,3,Advanced,2021erie
Prime time,6,3,4,Advanced,2021erie
Hebe_Murph,6,3,5,Advanced,2021erie
The Echidna's,5,3,6,Advanced,2021erie
Bunn Boys,6,2,7,Advanced,2021erie
LafSpikes,5,3,7,Advanced,2021erie
Smackagawea,7,3,9,Advanced,2021erie
Kira,4,5,10,Advanced,2021erie
Brains and the Brawn,4,6,11,Advanced,2021erie
Hits Don't Lie,3,7,12,Advanced,2021erie
Super spike bros,2,6,13,Advanced,2021erie
Rusken Taters,4,4,13,Advanced,2021erie
Twin Towers,4,2,13,Advanced,2021erie
Go Wheaties!,3,4,13,Advanced,2021erie
Trust the Process,1,5,17,Advanced,2021erie
Pitt playas,2,5,17,Advanced,2021erie
Wallace & Gromit,2,4,17,Advanced,2021erie
Tilp Embezzlers,1,5,17,Advanced,2021erie
Bachelor Roundnet,2,4,17,Advanced,2021erie
Love at First Spike,0,5,17,Advanced,2021erie
Salty Dogs 2,0,7,23,Advanced,2021erie
Spiketacular,10,0,1,Intermediate,2021erie
Off the Boys,9,1,2,Intermediate,2021erie
Short and Shorter,8,2,3,Intermediate,2021erie
Ace Royale,8,3,4,Intermediate,2021erie
That Team,7,2,5,Intermediate,2021erie
Danger Zone,7,1,5,Intermediate,2021erie
In It to Win It,7,2,5,Intermediate,2021erie
Matching Big Juicy Butts,6,3,5,Intermediate,2021erie
Udderly Ridiculous,7,4,9,Intermediate,2021erie
Pier Luck,6,5,10,Intermediate,2021erie
Big & Bigger,6,5,11,Intermediate,2021erie
Greece balls,5,6,12,Intermediate,2021erie
Come Zone,7,4,13,Intermediate,2021erie
Two Guys,5,6,14,Intermediate,2021erie
Snoop D-O Double G,3,7,15,Intermediate,2021erie
Chubby Octopus,5,5,15,Intermediate,2021erie
Bee’s Touch,6,5,17,Intermediate,2021erie
Froot Loops,4,6,18,Intermediate,2021erie
The Mafia,3,6,19,Intermediate,2021erie
Kurzweg/Kneidinger,2,8,19,Intermediate,2021erie
The Pink Ladies,5,4,21,Intermediate,2021erie
Blonde Banditos 2.0,2,7,21,Intermediate,2021erie
This Team,2,6,21,Intermediate,2021erie
Squatch gang,3,5,21,Intermediate,2021erie
Pink Hat Betas,1,8,25,Intermediate,2021erie
Toad,1,7,26,Intermediate,2021erie
Banana Boys,0,8,26,Intermediate,2021erie
Doing Well,0,9,26,Intermediate,2021erie
