Team 1,Team 2,Round,Tournament,Team 1 Scores,Team 2 Scores,Division
Vascular,Volley Llamas,Semi-finals,2021erie,"[16, 21, 17]","[21, 18, 21]",Premier
Parallax,Graham/Showalter,Final,2021erie,"[21, 21]","[18, 17]",Premier
Barrel Roll Bros,DOfus,Quarter-finals,2021erie,"[21, 21]","[17, 19]",Premier
Kinda Calculated,Barrel Roll Bros,Semi-finals,2021erie,"[21, 21]","[10, 19]",Premier
Dantowitz | Kaplan,Boobies & doobies,Final,2021erie,"[18, 20]","[21, 22]",Premier
Dantowitz | Kaplan,Closed on Sundays,1st place,2021erie,"[17, 22, 21]","[21, 20, 18]",Premier
Boobies & doobies,Old Line State,1st place,2021erie,"[21, 27]","[15, 26]",Premier
Old Line State,Closed on Sundays,P5: Final,2021erie,"[-1, -1, -1]","[-1, -1, -1]",Premier
Old Line State,Closed on Sundays,P5: Final,2021erie,"[-1, -1, -1]","[-1, -1, -1]",Premier
Showalter/Pierson,Arachnets,Quarter-finals,2021erie,"[21, 21]","[7, 9]",Women's
Petrie/Lucas,Jazzy,Quarter-finals,2021erie,"[17, 24, 21]","[21, 23, 13]",Women's
Showalter/Pierson,Petrie/Lucas,Semi-finals,2021erie,"[21, 21]","[11, 6]",Women's
Scrambled,Beast mode,Final,2021erie,"[21, 21]","[17, 19]",Women's
Scrambled,Double Trouble,1st place,2021erie,"[21, 21]","[13, 14]",Women's
Beast mode,Heroes in Disguise,1st place,2021erie,"[21, 21]","[9, 10]",Women's
Jazzy,Arachnets,P5: Semi-finals,2021erie,[21],[11],Women's
Heroes in Disguise,Double Trouble,P5: Final,2021erie,[0],[2],Women's
Jazzy,Arachnets,P5: Semi-finals,2021erie,[21],[11],Women's
Heroes in Disguise,Double Trouble,P5: Final,2021erie,[0],[2],Women's
The Spikeman Cometh,PowerLine,Round of 64,2021erie,"[0, 0]","[21, 21]",Contender
WILSOOOOOON!!!!,PowerLine,Round of 32,2021erie,"[21, 21]","[6, 9]",Contender
Bread and Butter,Enough is Enough,Round of 32,2021erie,"[21, 21]","[16, 10]",Contender
Runners Up,Backdoor Protein,Round of 32,2021erie,"[21, 21]","[17, 13]",Contender
Molby Dick,Flower Power,Round of 32,2021erie,"[10, 17]","[21, 21]",Contender
Tweenie Weenie Nation,Wentlings,Round of 32,2021erie,"[21, 21]","[11, 14]",Contender
Dropshot Drip,Highpockets,Round of 32,2021erie,"[18, 21, 21]","[21, 17, 18]",Contender
Lanky Smoove,Down BAD ;(,Round of 32,2021erie,"[21, 21]","[15, 16]",Contender
Italian Stallions,Free On Mach,Round of 32,2021erie,"[14, 12]","[21, 21]",Contender
WILSOOOOOON!!!!,Bread and Butter,Round of 16,2021erie,"[21, 28]","[18, 26]",Contender
Runners Up,Flower Power,Round of 16,2021erie,"[21, 21]","[14, 17]",Contender
Tweenie Weenie Nation,Dropshot Drip,Round of 16,2021erie,"[21, 21]","[15, 13]",Contender
Lanky Smoove,Free On Mach,Round of 16,2021erie,"[18, 14]","[21, 21]",Contender
WILSOOOOOON!!!!,Runners Up,Quarter-finals,2021erie,"[10, 15]","[21, 21]",Contender
Tweenie Weenie Nation,Free On Mach,Quarter-finals,2021erie,"[21, 21]","[7, 15]",Contender
Runners Up,Tweenie Weenie Nation,Semi-finals,2021erie,"[0, 0]","[21, 21]",Contender
Brush Your Teeth,Pocket Rockets,Final,2021erie,"[17, 17]","[21, 21]",Contender
Brush Your Teeth,Synthetic,1st place,2021erie,"[21, 21]","[17, 8]",Contender
Pocket Rockets,Bait and Glitch,1st place,2021erie,"[21, 21]","[17, 18]",Contender
Brush Your Teeth,Ditto,3rd place,2021erie,"[21, 25]","[13, 23]",Contender
epic slammo,Synthetic,3rd place,2021erie,"[17, 17]","[21, 21]",Contender
Pocket Rockets,Boost,3rd place,2021erie,"[21, 21]","[13, 14]",Contender
Bait and Glitch,Slack,3rd place,2021erie,"[22, 22]","[20, 20]",Contender
Brush Your Teeth,The Silly Willies,Semi-finals,2021erie,"[21, 21]","[16, 17]",Contender
The Friend Bros,Ditto,Semi-finals,2021erie,"[21, 15, 19]","[18, 21, 21]",Contender
Ike N Spike,epic slammo,Semi-finals,2021erie,"[18, 18]","[21, 21]",Contender
Batt/Calvin,Synthetic,Semi-finals,2021erie,"[11, 16]","[21, 21]",Contender
Pocket Rockets,Mussari,Semi-finals,2021erie,"[21, 21]","[14, 8]",Contender
say spike rn,Boost,Semi-finals,2021erie,"[19, 19]","[21, 21]",Contender
Bait and Glitch,Anomaly,Semi-finals,2021erie,"[21, 21]","[18, 15]",Contender
