Team Name,Wins,Losses,Result,Division,Tournament
1-2-4 Skyball,5,0,1,Premier,2021florida
Knotty,3,2,2,Premier,2021florida
cool hwhip,3,2,3,Premier,2021florida
Power Sweep,2,3,4,Premier,2021florida
Grassy,3,2,5,Premier,2021florida
----,2,3,6,Premier,2021florida
Slice the Mango,1,4,7,Premier,2021florida
Cho & Chu,1,4,8,Premier,2021florida
Volley Llamas,9,0,1,Contender,2021florida
OWS,8,1,2,Contender,2021florida
Generation Z,8,1,3,Contender,2021florida
Regulars at Six Flags,7,2,4,Contender,2021florida
Can’t hit a cut,5,2,5,Contender,2021florida
Dom & Jay,5,2,6,Contender,2021florida
The Hidden Leaf,5,2,6,Contender,2021florida
Paradox,5,2,6,Contender,2021florida
The Brands-Greggo Experience,5,3,9,Contender,2021florida
Father and Son,2,6,9,Contender,2021florida
Trash Pandas,4,3,9,Contender,2021florida
TWINZ,3,4,9,Contender,2021florida
Muscle Beach,4,3,9,Contender,2021florida
Ka Chigga,2,5,9,Contender,2021florida
Anomaly,3,5,15,Contender,2021florida
Double Geezburger,2,6,15,Contender,2021florida
KinkStart,5,3,17,Contender,2021florida
Texas Boys,4,4,17,Contender,2021florida
These Guys,1,7,19,Contender,2021florida
Bad at Team names,3,5,19,Contender,2021florida
Public Sets Offenders,1,6,21,Contender,2021florida
The Underdogs,0,7,21,Contender,2021florida
hell ferrets,1,6,21,Contender,2021florida
Clean Service,0,7,21,Contender,2021florida
Pub boys,8,1,1,Advanced,2021florida
Big Dogs Eat,7,2,2,Advanced,2021florida
Super Spike Bros.,7,3,3,Advanced,2021florida
Big Hosses,6,4,4,Advanced,2021florida
Fireballers,5,5,5,Advanced,2021florida
Seth Squared,6,4,6,Advanced,2021florida
Golden Koi,6,3,7,Advanced,2021florida
Two REALLY Handsome Guys,3,6,7,Advanced,2021florida
Safe Sets and Paychecks,4,6,9,Advanced,2021florida
Toaster Bonanza,4,6,10,Advanced,2021florida
Setters of Catan,4,4,11,Advanced,2021florida
We've got the runs,4,4,11,Advanced,2021florida
How I Set Your Brother,0,8,13,Advanced,2021florida
Johnny Mac's Monstars,0,8,13,Advanced,2021florida
Oreo Slush,9,1,1,Intermediate,2021florida
Stepbrothers,9,1,2,Intermediate,2021florida
Hernandez/Stokes,8,2,3,Intermediate,2021florida
Two Ghosts,6,4,4,Intermediate,2021florida
CC’s Pizza,7,2,5,Intermediate,2021florida
Net Worth,7,2,6,Intermediate,2021florida
The Chef's Kitchen,6,2,6,Intermediate,2021florida
Spiked Punch,5,5,6,Intermediate,2021florida
Spike My Beer,7,4,9,Intermediate,2021florida
Ice cold beer,8,3,10,Intermediate,2021florida
Team Estrogen,5,5,11,Intermediate,2021florida
Crooked Lake Coontz,6,3,11,Intermediate,2021florida
Snake Venom,5,3,13,Intermediate,2021florida
Chocolate Pancakes,1,7,13,Intermediate,2021florida
Team Sheeeessshh,5,4,13,Intermediate,2021florida
We’re better than our boyfriends,4,4,13,Intermediate,2021florida
Rally Cats,3,7,17,Intermediate,2021florida
Duck Pond Champs,2,5,18,Intermediate,2021florida
Spike Sibs,2,5,18,Intermediate,2021florida
The All-Americans,1,6,18,Intermediate,2021florida
The Bleser Boys,0,7,18,Intermediate,2021florida
Well That's Fantastic,1,6,18,Intermediate,2021florida
Hands Down,0,7,18,Intermediate,2021florida
Called To Serve,2,6,18,Intermediate,2021florida
Your Mom's Favorite Spikeball Players,1,7,25,Intermediate,2021florida
Piper's Spikers,2,6,25,Intermediate,2021florida
Tampa Spikers,5,3,27,Intermediate,2021florida
