Team 1,Team 2,Round,Tournament,Team 1 Scores,Team 2 Scores,Division
Sloppy Seconds,Knotty,Round of 16,2021nationals,"[19, 30]","[21, 32]",Pro
Tiki Taka,Boysterous,Round of 16,2021nationals,"[17, 18]","[21, 21]",Pro
Ritto Boys,Gross eggs and Ham,Round of 16,2021nationals,"[21, 21]","[19, 19]",Pro
Foote / Oswalt,Hilltop,Round of 16,2021nationals,"[0, 0]","[-1, -1]",Pro
Knotty,Boysterous,Quarter-finals,2021nationals,"[32, 18]","[34, 21]",Pro
Ritto Boys,Foote / Oswalt,Quarter-finals,2021nationals,"[21, 21]","[19, 14]",Pro
Boysterous,Ritto Boys,Semi-finals,2021nationals,"[17, 10]","[21, 21]",Pro
Double Clutch,Assistive Touch,Final,2021nationals,"[21, 21]","[19, 16]",Pro
Double Clutch,Volley Llamas,1st place,2021nationals,"[21, 21]","[16, 16]",Pro
Assistive Touch,TRP Outside Smoke,1st place,2021nationals,"[21, 21]","[17, 17]",Pro
Double Clutch,Graham/Showalter,3rd place,2021nationals,"[21, 21]","[15, 18]",Pro
Gold Diggers,Volley Llamas,3rd place,2021nationals,"[21, 17, 19]","[15, 21, 21]",Pro
Assistive Touch,WySpike Toxicity,3rd place,2021nationals,"[21, 21]","[14, 14]",Pro
Lowkey,TRP Outside Smoke,3rd place,2021nationals,"[18, 20]","[21, 22]",Pro
Foote / Oswalt,Knotty,P5: Semi-finals,2021nationals,"[-1, -1, -1]","[-1, -1, -1]",Pro
TRP Outside Smoke,Volley Llamas,P5: Final,2021nationals,"[-1, -1, -1]","[-1, -1, -1]",Pro
Tiki Taka,Sloppy Seconds,P9: Quarter-finals,2021nationals,"[1, 1]","[0, 0]",Pro
Hilltop,Gross eggs and Ham,P9: Quarter-finals,2021nationals,"[-1, -1]","[0, 0]",Pro
Tiki Taka,Gross eggs and Ham,P9: Semi-finals,2021nationals,"[-1, -1, -1]","[-1, -1, -1]",Pro
Gold Diggers,WySpike Toxicity,P9: Final,2021nationals,"[-1, -1, -1]","[-1, -1, -1]",Pro
Gold Diggers,Graham/Showalter,9th place,2021nationals,"[1, 1]","[0, 0]",Pro
Lowkey,WySpike Toxicity,9th place,2021nationals,"[0, 0]","[1, 1]",Pro
Hilltop,Sloppy Seconds,P13: Semi-finals,2021nationals,"[-1, -1, -1]","[-1, -1, -1]",Pro
Lowkey,Graham/Showalter,P13: Final,2021nationals,"[-1, -1, -1]","[-1, -1, -1]",Pro
Hilltop,Sloppy Seconds,P13: Semi-finals,2021nationals,"[-1, -1, -1]","[-1, -1, -1]",Pro
Lowkey,Graham/Showalter,P13: Final,2021nationals,"[-1, -1, -1]","[-1, -1, -1]",Pro
It's Ben's Birthday,505 x 805,Round of 64,2021nationals,"[0, 1, 1]","[1, 0, 0]",Premier
Uno Reverse,Cut the Cheese,Round of 64,2021nationals,"[21, 21]","[11, 10]",Premier
Evasive Maneuvers,Creech & Dom,Round of 64,2021nationals,"[21, 21]","[15, 16]",Premier
Bull City,Virginia Beach Roundnet,Round of 64,2021nationals,"[15, 21, 17]","[21, 16, 21]",Premier
Funness,Western Grebes,Round of 64,2021nationals,"[21, 21]","[19, 19]",Premier
Waffle House,Pickle Juice,Round of 64,2021nationals,"[21, 25, 21]","[18, 27, 18]",Premier
"+15,500",Runner’s Up,Round of 64,2021nationals,"[21, 17, 22]","[19, 21, 24]",Premier
The Diamond Dogs,Boost,Round of 64,2021nationals,"[21, 22]","[15, 20]",Premier
ClubSpike Spidey Senses,It's Ben's Birthday,Round of 32,2021nationals,"[21, 21]","[15, 15]",Premier
Uno Reverse,Saint and Slade,Round of 32,2021nationals,"[21, 21]","[16, 18]",Premier
Hand of God,Evasive Maneuvers,Round of 32,2021nationals,"[23, 21]","[21, 18]",Premier
Virginia Beach Roundnet,Coast2Coast Dab Up,Round of 32,2021nationals,"[21, 24, 16]","[19, 26, 21]",Premier
ClubSpike Insurgence,Funness,Round of 32,2021nationals,"[28, 21, 21]","[30, 16, 14]",Premier
Waffle House,Enraged Princes,Round of 32,2021nationals,"[18, 13]","[21, 21]",Premier
Los & Len,Runner’s Up,Round of 32,2021nationals,"[21, 36]","[19, 34]",Premier
The Diamond Dogs,Cucumbarr,Round of 32,2021nationals,"[17, 5]","[21, 21]",Premier
ClubSpike Spidey Senses,Uno Reverse,Round of 16,2021nationals,"[21, 21]","[18, 18]",Premier
Hand of God,Coast2Coast Dab Up,Round of 16,2021nationals,"[1, 1]","[0, 0]",Premier
ClubSpike Insurgence,Enraged Princes,Round of 16,2021nationals,"[17, 25, 21]","[21, 23, 19]",Premier
Los & Len,Cucumbarr,Round of 16,2021nationals,"[16, 18]","[21, 21]",Premier
ClubSpike Spidey Senses,Hand of God,Quarter-finals,2021nationals,"[21, 21]","[17, 16]",Premier
ClubSpike Insurgence,Cucumbarr,Quarter-finals,2021nationals,"[21, 20, 16]","[18, 22, 21]",Premier
ClubSpike Spidey Senses,Cucumbarr,Semi-finals,2021nationals,"[21, 21]","[16, 17]",Premier
Red Flag,3 Meter Set,Final,2021nationals,"[21, 21, 25]","[23, 19, 23]",Premier
Pocket Rockets,Red Flag,1st place,2021nationals,"[17, 17]","[21, 21]",Premier
Spicy Tuna Roll,3 Meter Set,1st place,2021nationals,"[19, 17]","[21, 21]",Premier
Pocket Rockets,GLITCH,3rd place,2021nationals,"[1, 1]","[0, 0]",Premier
