Team Name,Wins,Losses,Result,Division,Tournament
Gross eggs and Ham,6,0,1,Premier,2021newengland
Hilltop,5,2,2,Premier,2021newengland
Ghoul-Aid (Revenge Tour),5,1,3,Premier,2021newengland
Church/Hertzler,3,3,4,Premier,2021newengland
Puzzle Dust,2,3,5,Premier,2021newengland
Grassy,3,1,5,Premier,2021newengland
Nick Sant's Basement,4,2,7,Premier,2021newengland
Sawtooth Spikers,3,4,8,Premier,2021newengland
Trash Pandas,4,3,9,Premier,2021newengland
Coreanos Simps,1,6,10,Premier,2021newengland
/kick,3,4,11,Premier,2021newengland
Jiggly Wrists,2,5,12,Premier,2021newengland
Are we good now?,0,5,13,Premier,2021newengland
Hillbottom Spikes,2,4,13,Premier,2021newengland
Custard Rations,12,0,1,Contender,2021newengland
LANK,11,1,2,Contender,2021newengland
Creamcycle,10,1,3,Contender,2021newengland
Weird Cream,7,4,4,Contender,2021newengland
Boost,9,2,5,Contender,2021newengland
John Rick,8,4,6,Contender,2021newengland
Muffin Soldiers,8,3,7,Contender,2021newengland
Darkhorse,8,3,7,Contender,2021newengland
Alex Daly’s Disciples,7,2,9,Contender,2021newengland
Heidman/Popluhar,8,1,9,Contender,2021newengland
What's Left?,5,3,9,Contender,2021newengland
Pajama Sam,6,3,9,Contender,2021newengland
White Lotus Roundnet,6,2,9,Contender,2021newengland
Brother-in-laws,4,4,9,Contender,2021newengland
Kiddos,6,2,9,Contender,2021newengland
The Lanky Boys,5,3,9,Contender,2021newengland
Humungous Chungus,4,4,17,Contender,2021newengland
Jersey Shore Spikeball,2,7,17,Contender,2021newengland
kan-g-aroos,3,5,17,Contender,2021newengland
Broke Boiz,2,5,17,Contender,2021newengland
Italian Stallions,4,4,17,Contender,2021newengland
PitVipers 4 Life,1,8,17,Contender,2021newengland
LUPD,3,5,17,Contender,2021newengland
Bird Ball,1,6,17,Contender,2021newengland
Mac-Jamin,3,5,17,Contender,2021newengland
MVB,3,6,17,Contender,2021newengland
"At the Serve, Veer Right",4,4,17,Contender,2021newengland
Rush Hour 4,1,7,17,Contender,2021newengland
Spikin Chiclets,2,5,17,Contender,2021newengland
Play to Win the Game,2,6,17,Contender,2021newengland
I’m nice,4,4,17,Contender,2021newengland
Double Dippers,1,8,17,Contender,2021newengland
The Mighty Mighty Titans,1,7,33,Contender,2021newengland
Chivas NY,0,7,33,Contender,2021newengland
Mainahs,1,6,33,Contender,2021newengland
Dummys,2,6,33,Contender,2021newengland
Brotherly Love,0,8,33,Contender,2021newengland
Ben Dover Duffy,12,0,1,Advanced,2021newengland
Better at beerpong,10,3,2,Advanced,2021newengland
"Balls In, Coming Down",10,2,3,Advanced,2021newengland
Tuesdays,7,5,4,Advanced,2021newengland
Cornerstone Cousins,7,3,5,Advanced,2021newengland
Those guys over there,7,3,5,Advanced,2021newengland
Biv,8,2,5,Advanced,2021newengland
Grynkle,7,3,5,Advanced,2021newengland
Grunch Bunch,6,3,9,Advanced,2021newengland
Chimp,4,5,9,Advanced,2021newengland
Gym Class Heroes,6,3,9,Advanced,2021newengland
False Alarm,6,4,9,Advanced,2021newengland
Big Dogs Eat,7,3,9,Advanced,2021newengland
Woo high L,5,4,9,Advanced,2021newengland
The Trashmen,6,3,9,Advanced,2021newengland
Pasty Pete and Sleepy J,5,5,9,Advanced,2021newengland
Hannu Brothers,2,6,17,Advanced,2021newengland
Colgate,3,6,17,Advanced,2021newengland
Set It And Forget It,4,4,17,Advanced,2021newengland
Team Horse,1,7,17,Advanced,2021newengland
Sparkle Motion,4,4,17,Advanced,2021newengland
Gronk and Bice :),1,8,17,Advanced,2021newengland
E Pluribus Spheras,3,5,17,Advanced,2021newengland
2 Dudes 1 Net,2,7,17,Advanced,2021newengland
Brickmonkeys,4,4,17,Advanced,2021newengland
"Eat, Prey, Love",0,8,17,Advanced,2021newengland
Higher Ground,3,5,17,Advanced,2021newengland
Scibby + Cuatro,1,7,17,Advanced,2021newengland
Headband Bandits,4,5,17,Advanced,2021newengland
Deez Kneez,2,6,17,Advanced,2021newengland
Wet and Gushy,5,4,17,Advanced,2021newengland
The Ball Busters,1,8,17,Advanced,2021newengland
#CloseTo40,0,8,33,Advanced,2021newengland
Spike N Ike,12,0,1,Intermediate,2021newengland
Doodlebobs,9,2,2,Intermediate,2021newengland
WEYtoomanyballsinyourMOUTH,11,1,3,Intermediate,2021newengland
SKEV,8,4,4,Intermediate,2021newengland
Plant/McAteer,8,2,5,Intermediate,2021newengland
F In The Chat,7,2,5,Intermediate,2021newengland
Size dont matter,7,3,5,Intermediate,2021newengland
The Chosen,7,3,5,Intermediate,2021newengland
The Fault in Our Serves,8,1,9,Intermediate,2021newengland
Liverpaul,8,1,9,Intermediate,2021newengland
Soft Serves,6,2,9,Intermediate,2021newengland
Full Contact Safari,8,1,9,Intermediate,2021newengland
The Rookies,5,4,9,Intermediate,2021newengland
Splash Bros,7,2,9,Intermediate,2021newengland
Spicy Spikes,7,2,9,Intermediate,2021newengland
Legs and Torsos,5,4,9,Intermediate,2021newengland
Washington Spikeball Team,5,3,17,Intermediate,2021newengland
Team 7,7,1,17,Intermediate,2021newengland
The Johnson mcgees,5,3,17,Intermediate,2021newengland
Slavs,3,4,17,Intermediate,2021newengland
gabagool,5,3,17,Intermediate,2021newengland
The Pspikeologists,4,4,17,Intermediate,2021newengland
Soggy & Breezy,6,2,17,Intermediate,2021newengland
The Shufflers,4,4,17,Intermediate,2021newengland
