Team 1,Team 2,Round,Tournament,Team 1 Scores,Team 2 Scores,Division
Church/Hertzler,Puzzle Dust,Quarter-finals,2021newengland,"[21, 21]","[19, 19]",Premier
Gross eggs and Ham,Church/Hertzler,Semi-finals,2021newengland,"[21, 15, 21]","[17, 21, 16]",Premier
Ghoul-Aid (Revenge Tour),Hilltop,Final,2021newengland,"[21, 19, 23]","[19, 21, 25]",Premier
Grassy,Hilltop,1st place,2021newengland,"[13, 19]","[21, 21]",Premier
Hillbottom Spikes,Coreanos Simps,Quarter-finals,2021newengland,"[0, 0]","[1, 1]",Premier
Jiggly Wrists,Sawtooth Spikers,Quarter-finals,2021newengland,"[22, 16, 19]","[20, 21, 21]",Premier
Coreanos Simps,Sawtooth Spikers,Semi-finals,2021newengland,"[23, 21, 20]","[25, 15, 22]",Premier
Nick Sant's Basement,Trash Pandas,Final,2021newengland,"[21, 21]","[15, 12]",Premier
Nick Sant's Basement,Are we good now?,1st place,2021newengland,"[21, 21]","[14, 14]",Premier
Trash Pandas,/kick,1st place,2021newengland,"[13, 21, 21]","[21, 15, 19]",Premier
Jiggly Wrists,Hillbottom Spikes,P5: Semi-finals,2021newengland,"[21, 21]","[0, 0]",Premier
/kick,Are we good now?,P5: Final,2021newengland,"[1, 1]","[0, 0]",Premier
Jiggly Wrists,Hillbottom Spikes,P5: Semi-finals,2021newengland,"[21, 21]","[0, 0]",Premier
/kick,Are we good now?,P5: Final,2021newengland,"[1, 1]","[0, 0]",Premier
The Mighty Mighty Titans,Rush Hour 4,Round of 64,2021newengland,"[21, 13, 14]","[15, 21, 21]",Contender
Dummys,PitVipers 4 Life,Round of 64,2021newengland,"[17, 21, 19]","[21, 15, 21]",Contender
MVB,Brotherly Love,Round of 64,2021newengland,"[1, 1]","[0, 0]",Contender
Creamcycle,Rush Hour 4,Round of 32,2021newengland,"[21, 21]","[11, 11]",Contender
Brother-in-laws,"At the Serve, Veer Right",Round of 32,2021newengland,"[21, 21]","[18, 19]",Contender
Boost,kan-g-aroos,Round of 32,2021newengland,"[1, 1]","[0, 0]",Contender
Broke Boiz,White Lotus Roundnet,Round of 32,2021newengland,"[3, 0]","[21, 21]",Contender
Custard Rations,PitVipers 4 Life,Round of 32,2021newengland,"[21, 21]","[4, 7]",Contender
Italian Stallions,Pajama Sam,Round of 32,2021newengland,"[9, 5]","[21, 21]",Contender
What's Left?,Mac-Jamin,Round of 32,2021newengland,"[21, 21]","[16, 9]",Contender
MVB,Darkhorse,Round of 32,2021newengland,"[12, 15]","[21, 21]",Contender
Creamcycle,Brother-in-laws,Round of 16,2021newengland,"[21, 21]","[19, 16]",Contender
Boost,White Lotus Roundnet,Round of 16,2021newengland,"[1, 1]","[0, 0]",Contender
Custard Rations,Pajama Sam,Round of 16,2021newengland,"[21, 19, 22]","[15, 21, 20]",Contender
What's Left?,Darkhorse,Round of 16,2021newengland,"[11, 17]","[21, 21]",Contender
Creamcycle,Boost,Quarter-finals,2021newengland,"[29, 22]","[27, 20]",Contender
Custard Rations,Darkhorse,Quarter-finals,2021newengland,"[21, 19, 21]","[17, 21, 14]",Contender
Creamcycle,Custard Rations,Semi-finals,2021newengland,"[17, 21, 19]","[21, 13, 21]",Contender
LANK,Weird Cream,Final,2021newengland,"[26, 21]","[24, 13]",Contender
LANK,Muffin Soldiers,1st place,2021newengland,"[16, 21, 22]","[21, 18, 20]",Contender
Weird Cream,John Rick,1st place,2021newengland,"[21, 22]","[18, 20]",Contender
LANK,The Lanky Boys,3rd place,2021newengland,"[21, 21]","[10, 17]",Contender
Kiddos,Muffin Soldiers,3rd place,2021newengland,"[18, 21, 14]","[21, 18, 21]",Contender
Heidman/Popluhar,Weird Cream,3rd place,2021newengland,"[18, 17]","[21, 21]",Contender
John Rick,Alex Daly’s Disciples,3rd place,2021newengland,"[19, 23, 21]","[21, 21, 18]",Contender
LANK,Jersey Shore Spikeball,Semi-finals,2021newengland,"[21, 21]","[15, 9]",Contender
Humungous Chungus,The Lanky Boys,Semi-finals,2021newengland,"[15, 29]","[21, 31]",Contender
Kiddos,LUPD,Semi-finals,2021newengland,"[21, 21]","[12, 14]",Contender
Bird Ball,Muffin Soldiers,Semi-finals,2021newengland,"[21, 12, 18]","[19, 21, 21]",Contender
Heidman/Popluhar,Double Dippers,Semi-finals,2021newengland,"[21, 21]","[8, 12]",Contender
I’m nice,Weird Cream,Semi-finals,2021newengland,"[11, 19]","[21, 21]",Contender
John Rick,Spikin Chiclets,Semi-finals,2021newengland,"[21, 21]","[17, 19]",Contender
Play to Win the Game,Alex Daly’s Disciples,Semi-finals,2021newengland,"[14, 14]","[21, 21]",Contender
Jersey Shore Spikeball,Chivas NY,Quarter-finals,2021newengland,"[21, 21]","[3, 11]",Contender
Mainahs,Double Dippers,Quarter-finals,2021newengland,"[18, 18]","[21, 21]",Contender
Darkhorse,Boost,P5: Semi-finals,2021newengland,"[0, 0]","[21, 21]",Contender
John Rick,Muffin Soldiers,P5: Final,2021newengland,"[21, 21]","[16, 14]",Contender
White Lotus Roundnet,Brother-in-laws,P9: Quarter-finals,2021newengland,"[-1, -1, -1]","[-1, -1, -1]",Contender
What's Left?,Pajama Sam,P9: Quarter-finals,2021newengland,"[-1, -1, -1]","[-1, -1, -1]",Contender
Kiddos,The Lanky Boys,9th place,2021newengland,"[-1, -1, -1]","[-1, -1, -1]",Contender
Alex Daly’s Disciples,Heidman/Popluhar,9th place,2021newengland,"[-1, -1, -1]","[-1, -1, -1]",Contender
"At the Serve, Veer Right",Rush Hour 4,P17: Round of 16,2021newengland,"[-1, -1, -1]","[-1, -1, -1]",Contender
kan-g-aroos,Broke Boiz,P17: Round of 16,2021newengland,"[-1, -1, -1]","[-1, -1, -1]",Contender
Italian Stallions,PitVipers 4 Life,P17: Round of 16,2021newengland,"[-1, -1, -1]","[-1, -1, -1]",Contender
Mac-Jamin,MVB,P17: Round of 16,2021newengland,"[-1, -1, -1]","[-1, -1, -1]",Contender
Humungous Chungus,Jersey Shore Spikeball,19th place,2021newengland,"[-1, -1, -1]","[-1, -1, -1]",Contender
LUPD,Bird Ball,19th place,2021newengland,"[-1, -1, -1]","[-1, -1, -1]",Contender
I’m nice,Double Dippers,19th place,2021newengland,"[-1, -1, -1]","[-1, -1, -1]",Contender
Spikin Chiclets,Play to Win the Game,19th place,2021newengland,"[-1, -1, -1]","[-1, -1, -1]",Contender
Dummys,Brotherly Love,P33: Quarter-finals,2021newengland,"[-1, -1, -1]","[-1, -1, -1]",Contender
Chivas NY,Mainahs,P33: Final,2021newengland,"[-1, -1, -1]","[-1, -1, -1]",Contender
