Team Name,Wins,Losses,Result,Division,Tournament
Sloppy Seconds,6,0,1,Premier,2021rockhill
Boysterous,5,2,2,Premier,2021rockhill
Lipping Vicarryously,6,1,3,Premier,2021rockhill
Mahagony Propane,5,2,4,Premier,2021rockhill
Volley Llamas,2,2,5,Premier,2021rockhill
Tiki Taka,3,2,5,Premier,2021rockhill
ClubSpike What A Save!!!,2,3,5,Premier,2021rockhill
Down Bad,3,2,5,Premier,2021rockhill
Hilltop,5,3,9,Premier,2021rockhill
TRP Outside Smoke,4,3,10,Premier,2021rockhill
OWS,3,3,11,Premier,2021rockhill
Hsuper Powers,3,5,12,Premier,2021rockhill
Murphy Mitchum,2,3,13,Premier,2021rockhill
Bull City,2,3,13,Premier,2021rockhill
Fizz,2,3,13,Premier,2021rockhill
Grassy,1,4,13,Premier,2021rockhill
Confused,1,4,17,Premier,2021rockhill
Trash Pandas,0,5,18,Premier,2021rockhill
Bolivia,0,5,18,Premier,2021rockhill
Simon Lines,12,0,1,Contender,2021rockhill
Lazarus,10,2,2,Contender,2021rockhill
Dom & Jay,11,1,3,Contender,2021rockhill
Land Dolphins,8,3,4,Contender,2021rockhill
Prestige Worldwide,7,3,5,Contender,2021rockhill
Savage Joes,8,2,5,Contender,2021rockhill
Pressure,7,2,5,Contender,2021rockhill
Chasin Bills,8,2,5,Contender,2021rockhill
Scrubmuffins,6,2,9,Contender,2021rockhill
gingersnaps,5,4,9,Contender,2021rockhill
Bread and Butter,7,2,9,Contender,2021rockhill
The Spike Mill,5,4,9,Contender,2021rockhill
Crinkle Cut Fries,6,3,9,Contender,2021rockhill
S'more Defense,5,4,9,Contender,2021rockhill
Slow Jamz,6,3,9,Contender,2021rockhill
Google Docs,4,4,9,Contender,2021rockhill
Lefty Setters,5,3,17,Contender,2021rockhill
KinkStart,3,6,17,Contender,2021rockhill
Fireball Kwanzaa,3,5,17,Contender,2021rockhill
Pocket Kings,3,5,17,Contender,2021rockhill
Twinsanity,3,5,17,Contender,2021rockhill
Waffle House,4,5,17,Contender,2021rockhill
Slappin' Big Birds,4,4,17,Contender,2021rockhill
CLT 2.0,4,5,17,Contender,2021rockhill
What’s on 2?,4,4,17,Contender,2021rockhill
Ancona/Benton,3,5,17,Contender,2021rockhill
Last Picks,5,3,17,Contender,2021rockhill
Scenic city spike,2,6,17,Contender,2021rockhill
Breeding/Silva,4,4,17,Contender,2021rockhill
Prospect Parking,2,7,17,Contender,2021rockhill
Inside Smoke,4,4,17,Contender,2021rockhill
OWA OWA,2,7,17,Contender,2021rockhill
Sports!,1,7,33,Contender,2021rockhill
Harry Quads,0,8,33,Contender,2021rockhill
Charleston Roundnet,0,8,33,Contender,2021rockhill
Cold Front 2,0,7,33,Contender,2021rockhill
Chicos de Leche,0,8,33,Contender,2021rockhill
Cold Front,1,7,33,Contender,2021rockhill
Queen City Quills,0,8,33,Contender,2021rockhill
K2,7,0,1,Women's Advanced,2021rockhill
2+2,5,2,2,Women's Advanced,2021rockhill
Rally Cats,4,3,3,Women's Advanced,2021rockhill
Gluteus Maximus GORLS,2,5,4,Women's Advanced,2021rockhill
Bumble B’s,1,5,5,Women's Advanced,2021rockhill
Purple Ninjas,3,2,5,Women's Advanced,2021rockhill
Time Out,4,2,7,Women's Advanced,2021rockhill
Stranger Things,2,5,8,Women's Advanced,2021rockhill
Bennett/MacLean,0,4,9,Women's Advanced,2021rockhill
God Bless,9,0,1,Advanced,2021rockhill
Tan Lines,8,1,2,Advanced,2021rockhill
Mahi-Mahi,7,3,3,Advanced,2021rockhill
919 spike,6,4,4,Advanced,2021rockhill
Off Day,4,4,5,Advanced,2021rockhill
Flying Flamingos,4,4,5,Advanced,2021rockhill
TNT,5,3,5,Advanced,2021rockhill
Chicken Slingers,4,4,5,Advanced,2021rockhill
Super spike bros,4,5,9,Advanced,2021rockhill
Southern Humidity,3,4,10,Advanced,2021rockhill
Kindred Spirits,1,6,10,Advanced,2021rockhill
Bromantics,0,7,10,Advanced,2021rockhill
The Bubs,3,5,10,Advanced,2021rockhill
ATL Spikers,0,8,14,Advanced,2021rockhill
Dad Bods,9,1,1,Intermediate,2021rockhill
CLT,8,2,2,Intermediate,2021rockhill
Bubba's Backhands,9,1,3,Intermediate,2021rockhill
Keur Shuff,6,4,4,Intermediate,2021rockhill
Strong Breeze,6,2,5,Intermediate,2021rockhill
Wombo Combo,7,1,5,Intermediate,2021rockhill
City boys up,6,2,5,Intermediate,2021rockhill
Trajkovski/Evans,5,3,5,Intermediate,2021rockhill
Moss on a Rock Hill,4,3,9,Intermediate,2021rockhill
More Dangerous,2,6,9,Intermediate,2021rockhill
We Need It,4,4,9,Intermediate,2021rockhill
Dangerous,3,5,9,Intermediate,2021rockhill
The Tyson show,3,4,9,Intermediate,2021rockhill
Talladega Spikes,3,5,9,Intermediate,2021rockhill
The Severs Sibs,3,4,9,Intermediate,2021rockhill
Threat Level Midnight,3,5,9,Intermediate,2021rockhill
Inevitable Spike,1,6,17,Intermediate,2021rockhill
Stars and Spikes,1,6,17,Intermediate,2021rockhill
USA - Unified Spikeball Amigos,1,6,17,Intermediate,2021rockhill
my mom is better than yours,0,7,17,Intermediate,2021rockhill
Laffin with Tamayo,0,7,17,Intermediate,2021rockhill
