Team 1,Team 2,Round,Tournament,Team 1 Scores,Team 2 Scores,Division
Knotty,Bud N' Boles,Round of 16,2021saltlakecity,"[1, 0, 0]","[0, 1, 1]",Premier
TRP Outside Smoke,Los & Len,Round of 16,2021saltlakecity,"[21, 21]","[19, 10]",Premier
Finocchurch,Bud N' Boles,Quarter-finals,2021saltlakecity,"[21, 21]","[12, 17]",Premier
The Klondike Bars,TRP Outside Smoke,Quarter-finals,2021saltlakecity,"[14, 21, 18]","[21, 19, 21]",Premier
Finocchurch,TRP Outside Smoke,Semi-finals,2021saltlakecity,"[32, 16, 21]","[30, 21, 16]",Premier
Seg Fault,WySpike Toxicity,Final,2021saltlakecity,"[12, 21, 23]","[21, 16, 21]",Premier
Seg Fault,Trippy Lizard,1st place,2021saltlakecity,"[18, 22, 21]","[21, 20, 18]",Premier
WySpike Toxicity,"5'6""",1st place,2021saltlakecity,"[1, 1]","[0, 0]",Premier
Spicy Yogurt,Trippy Lizard,3rd place,2021saltlakecity,"[17, 16]","[21, 21]",Premier
"5'6""",Gucci Synonymous,3rd place,2021saltlakecity,"[1, 1]","[0, 0]",Premier
The Klondike Bars,Bud N' Boles,P5: Semi-finals,2021saltlakecity,"[-1, -1, -1]","[-1, -1, -1]",Premier
"5'6""",Trippy Lizard,P5: Final,2021saltlakecity,"[-1, -1, -1]","[-1, -1, -1]",Premier
Knotty,Los & Len,P9: Semi-finals,2021saltlakecity,"[-1, -1, -1]","[-1, -1, -1]",Premier
Spicy Yogurt,Gucci Synonymous,P9: Final,2021saltlakecity,"[-1, -1, -1]","[-1, -1, -1]",Premier
“Carry”,Sports and Trevor,Round of 16,2021saltlakecity,"[18, 20]","[21, 22]",Premier
DO is Trash,Hot Jam,Round of 16,2021saltlakecity,"[20, 26, 21]","[22, 24, 18]",Premier
Texas Sucks,Left on “Read”😠☹️🤕,Round of 16,2021saltlakecity,"[1, 1]","[0, 0]",Premier
Lee and Mushi,Sports and Trevor,Quarter-finals,2021saltlakecity,"[21, 21]","[14, 19]",Premier
DO is Trash,Texas Sucks,Quarter-finals,2021saltlakecity,"[16, 22, 21]","[21, 20, 17]",Premier
Lee and Mushi,DO is Trash,Semi-finals,2021saltlakecity,"[21, 21]","[15, 14]",Premier
Thirty-Two,Nalgas Grandes,Final,2021saltlakecity,"[21, 23]","[12, 21]",Premier
Thirty-Two,Big Al’s and Lil Con’s Great Adventure,1st place,2021saltlakecity,"[1, 1]","[0, 0]",Premier
Saint and Slade,Nalgas Grandes,1st place,2021saltlakecity,"[18, 21, 15]","[21, 15, 21]",Premier
Big Al’s and Lil Con’s Great Adventure,Floppy pandas,3rd place,2021saltlakecity,"[21, 21]","[17, 19]",Premier
Saint and Slade,Da Boy's Bois,3rd place,2021saltlakecity,"[21, 21]","[10, 15]",Premier
Nalgas Grandes,Ocean Daddies,3rd place,2021saltlakecity,"[1, 1]","[0, 0]",Premier
Texas Sucks,Sports and Trevor,P5: Semi-finals,2021saltlakecity,"[-1, -1, -1]","[-1, -1, -1]",Premier
Saint and Slade,Big Al’s and Lil Con’s Great Adventure,P5: Final,2021saltlakecity,"[-1, -1, -1]","[-1, -1, -1]",Premier
Left on “Read”😠☹️🤕,Hot Jam,P9: Quarter-finals,2021saltlakecity,"[-1, -1, -1]","[-1, -1, -1]",Premier
Ocean Daddies,Da Boy's Bois,9th place,2021saltlakecity,"[-1, -1, -1]","[-1, -1, -1]",Premier
Key to the Realm,FETCH IRWIN,Round of 32,2021saltlakecity,"[0, 0]","[1, 1]",Contender
Sanford’s Children,Got Milk?,Round of 32,2021saltlakecity,"[0, 1, 1]","[1, 0, 0]",Contender
Treymango,Spikedelic,Round of 32,2021saltlakecity,"[1, 1]","[0, 0]",Contender
Blinngo Ball Indulgence,J-squared spike,Round of 32,2021saltlakecity,"[21, 17, 15]","[18, 21, 9]",Contender
Straddeck/Strong,What's Quakin?!,Round of 32,2021saltlakecity,"[21, 22]","[13, 20]",Contender
CVS,Disciples of Newt,Round of 32,2021saltlakecity,"[21, 21]","[4, 9]",Contender
Drip Drop,FETCH IRWIN,Round of 16,2021saltlakecity,"[21, 21]","[14, 15]",Contender
Sanford’s Children,Treymango,Round of 16,2021saltlakecity,"[0, 0]","[1, 1]",Contender
PPM,Blinngo Ball Indulgence,Round of 16,2021saltlakecity,"[21, 21]","[18, 19]",Contender
Straddeck/Strong,CVS,Round of 16,2021saltlakecity,"[18, 14]","[21, 21]",Contender
Drip Drop,Treymango,Quarter-finals,2021saltlakecity,"[21, 21]","[8, 13]",Contender
PPM,CVS,Quarter-finals,2021saltlakecity,"[21, 21]","[17, 16]",Contender
Drip Drop,PPM,Semi-finals,2021saltlakecity,"[1, 1]","[0, 0]",Contender
Amateur Hour,Wong/(Will) Foote,Final,2021saltlakecity,"[21, 21]","[16, 18]",Contender
Ball sackers,Amateur Hour,1st place,2021saltlakecity,"[19, 21, 19]","[21, 13, 21]",Contender
Wong/(Will) Foote,Kool aid Kids,1st place,2021saltlakecity,"[20, 21, 21]","[22, 12, 17]",Contender
Ball sackers,Dirty Spanks,3rd place,2021saltlakecity,"[1, 1]","[0, 0]",Contender
Amateur Hour,Spikeball Thieves,3rd place,2021saltlakecity,"[21, 21]","[19, 13]",Contender
Wong/(Will) Foote,Unnecessary Layouts,3rd place,2021saltlakecity,"[21, 21]","[17, 18]",Contender
Low Expectations,Kool aid Kids,3rd place,2021saltlakecity,"[0, 0]","[1, 1]",Contender
Dirty Spanks,Finna Dab,Semi-finals,2021saltlakecity,"[21, 17, 15]","[15, 21, 10]",Contender
Amateur Hour,Dropper Gangers,Semi-finals,2021saltlakecity,"[21, 21]","[13, 19]",Contender
Spikeball Thieves,Orange Chicken,Semi-finals,2021saltlakecity,"[21, 21]","[15, 18]",Contender
Unnecessary Layouts,Coast to Coast,Semi-finals,2021saltlakecity,"[21, 21, 15]","[23, 14, 12]",Contender
Low Expectations,Empire Spikes Back,Semi-finals,2021saltlakecity,"[21, 21]","[19, 11]",Contender
Kool aid Kids,Spikin Chiclets,Semi-finals,2021saltlakecity,"[21, 21]","[18, 15]",Contender
CVS,Treymango,P5: Semi-finals,2021saltlakecity,"[14, 0]","[21, 1]",Contender
Kool aid Kids,Ball sackers,P5: Final,2021saltlakecity,"[1, 1]","[0, 0]",Contender
Sanford’s Children,FETCH IRWIN,P9: Quarter-finals,2021saltlakecity,"[1, 1]","[0, 0]",Contender
Straddeck/Strong,Blinngo Ball Indulgence,P9: Quarter-finals,2021saltlakecity,"[1, 1]","[0, 0]",Contender
Sanford’s Children,Straddeck/Strong,P9: Semi-finals,2021saltlakecity,"[1, 1]","[0, 0]",Contender
Dirty Spanks,Unnecessary Layouts,P9: Final,2021saltlakecity,"[1, 1]","[0, 0]",Contender
Spikeball Thieves,Dirty Spanks,9th place,2021saltlakecity,"[1, 0, 0]","[0, 1, 1]",Contender
Low Expectations,Unnecessary Layouts,9th place,2021saltlakecity,"[13, 12]","[15, 15]",Contender
Blinngo Ball Indulgence,FETCH IRWIN,P13: Semi-finals,2021saltlakecity,"[-1, -1, -1]","[-1, -1, -1]",Contender
Low Expectations,Spikeball Thieves,P13: Final,2021saltlakecity,"[-1, -1, -1]","[-1, -1, -1]",Contender
Got Milk?,Spikedelic,P17: Round of 16,2021saltlakecity,"[1, 1]","[0, 0]",Contender
What's Quakin?!,Disciples of Newt,P17: Round of 16,2021saltlakecity,"[21, 21]","[15, 17]",Contender
Key to the Realm,Got Milk?,P17: Quarter-finals,2021saltlakecity,"[0, 0]","[1, 1]",Contender
J-squared spike,What's Quakin?!,P17: Quarter-finals,2021saltlakecity,"[0, 0]","[1, 1]",Contender
Got Milk?,What's Quakin?!,P17: Semi-finals,2021saltlakecity,"[0, 0]","[1, 1]",Contender
Finna Dab,Empire Spikes Back,P17: Final,2021saltlakecity,"[16, 19]","[21, 21]",Contender
Finna Dab,Dropper Gangers,17th place,2021saltlakecity,"[21, 21]","[19, 19]",Contender
Coast to Coast,Empire Spikes Back,17th place,2021saltlakecity,"[14, 14]","[21, 21]",Contender
Dropper Gangers,Orange Chicken,19th place,2021saltlakecity,"[21, 25]","[10, 23]",Contender
Empire Spikes Back,Spikin Chiclets,19th place,2021saltlakecity,"[21, 21]","[14, 19]",Contender
J-squared spike,Key to the Realm,P21: Semi-finals,2021saltlakecity,"[-1, -1, -1]","[-1, -1, -1]",Contender
Coast to Coast,Dropper Gangers,P21: Final,2021saltlakecity,"[-1, -1, -1]","[-1, -1, -1]",Contender
Spikedelic,Disciples of Newt,P25: Semi-finals,2021saltlakecity,"[-1, -1, -1]","[-1, -1, -1]",Contender
Orange Chicken,Spikin Chiclets,P25: Final,2021saltlakecity,"[-1, -1, -1]","[-1, -1, -1]",Contender
Spikedelic,Disciples of Newt,P25: Semi-finals,2021saltlakecity,"[-1, -1, -1]","[-1, -1, -1]",Contender
Orange Chicken,Spikin Chiclets,P25: Final,2021saltlakecity,"[-1, -1, -1]","[-1, -1, -1]",Contender
Mr. & Mrs. Buckman,Idahomies,Round of 16,2021saltlakecity,"[19, 19]","[21, 21]",Women's
Your Step Mom,soggy cardboard,Round of 16,2021saltlakecity,"[21, 21]","[10, 11]",Women's
THUS Parabatai,Idahomies,Quarter-finals,2021saltlakecity,"[21, 21]","[12, 9]",Women's
Feller/Pierson,Your Step Mom,Quarter-finals,2021saltlakecity,"[1, 1]","[0, 0]",Women's
THUS Parabatai,Feller/Pierson,Semi-finals,2021saltlakecity,"[21, 21]","[17, 14]",Women's
TWINZ,Zoomies,Final,2021saltlakecity,"[10, 1]","[0, 0]",Women's
TWINZ,Blood Benders,1st place,2021saltlakecity,"[21, 21]","[15, 11]",Women's
Zoomies,Litney,1st place,2021saltlakecity,"[21, 21, 1]","[18, 13, 0]",Women's
Thing,Blood Benders,3rd place,2021saltlakecity,"[19, 21, 12]","[21, 16, 15]",Women's
Litney,Swing and a Miss,3rd place,2021saltlakecity,"[21, 21]","[11, 7]",Women's
