Team Name,Wins,Losses,Result,Division,Tournament
Double Clutch,6,0,1,Premier,2021seattle
RGF,5,2,2,Premier,2021seattle
Lee and Mushi,5,2,3,Premier,2021seattle
Highly Calculated,4,2,4,Premier,2021seattle
Knotty,4,1,5,Premier,2021seattle
Shabammon,2,3,6,Premier,2021seattle
Trippy Lizard,5,2,7,Premier,2021seattle
Mutant Roundnet,3,3,8,Premier,2021seattle
Smash Bros,2,4,9,Premier,2021seattle
Fiddle me,2,5,10,Premier,2021seattle
Backpacked to Premier?,1,4,11,Premier,2021seattle
Western Grebes,0,5,11,Premier,2021seattle
Ortega/Boles,2,3,11,Premier,2021seattle
I Pity the Fool who Carries,0,5,11,Premier,2021seattle
Shib Sibs,10,1,1,Contender,2021seattle
Orange Dream,10,1,2,Contender,2021seattle
Cobra Kai,9,2,3,Contender,2021seattle
Maloney/Slattery,8,3,4,Contender,2021seattle
Guys Who Just Met,6,3,5,Contender,2021seattle
OG Blinggo Boys,4,5,5,Contender,2021seattle
SJ invictus,2,7,5,Contender,2021seattle
Blinngo Ball Indulgence,4,5,5,Contender,2021seattle
High,2,8,9,Contender,2021seattle
The Winning Team,2,7,10,Contender,2021seattle
Apex,3,5,10,Contender,2021seattle
Straight out of the park,1,7,10,Contender,2021seattle
The Mullet and The Stache,3,7,10,Contender,2021seattle
Round Net Work,3,6,14,Contender,2021seattle
Touché,6,3,14,Contender,2021seattle
deceptive tree,3,6,14,Contender,2021seattle
THUS PARABATAI,8,0,1,Women's Advanced,2021seattle
Vigna/Crête,7,2,2,Women's Advanced,2021seattle
Feller/Pierson,6,3,3,Women's Advanced,2021seattle
Diet Dr. Kelp,4,5,4,Women's Advanced,2021seattle
The Real Rim Shady,2,5,5,Women's Advanced,2021seattle
venom,1,6,6,Women's Advanced,2021seattle
Tulip,0,7,6,Women's Advanced,2021seattle
2-Hit Wonders,2,6,0,Advanced,2021seattle
Boom Ball,12,0,0,Advanced,2021seattle
Brennan and the Jets,7,3,0,Advanced,2021seattle
COD Kings,1,8,0,Advanced,2021seattle
Dirty Dangles,5,6,0,Advanced,2021seattle
Exagons are the Bestagons,7,4,0,Advanced,2021seattle
Hide on Bush,6,4,0,Advanced,2021seattle
Peanut Betty and Gellieman,10,1,0,Advanced,2021seattle
Shoreline Mafia,2,7,0,Advanced,2021seattle
Smash Bros,4,6,0,Advanced,2021seattle
Spikaholics,1,8,0,Advanced,2021seattle
Spike Like Mike,5,4,0,Advanced,2021seattle
spiKE The Right Thing,1,9,0,Advanced,2021seattle
The Back packs,9,2,0,Advanced,2021seattle
The Cascades,6,4,0,Advanced,2021seattle
The Future Dilfs,0,9,0,Advanced,2021seattle
Western Alert,7,4,0,Advanced,2021seattle
24/7 BBQ,6,3,0,Intermediate,2021seattle
3 is enough,3,4,0,Intermediate,2021seattle
Appropriate Team Name,6,5,0,Intermediate,2021seattle
Ball Busters,2,6,0,Intermediate,2021seattle
Ballz Deep,5,4,0,Intermediate,2021seattle
BDB,2,5,0,Intermediate,2021seattle
Benz & Quez,1,8,0,Intermediate,2021seattle
biscuits and gravy,1,8,0,Intermediate,2021seattle
Crossfit Kenmore,2,6,0,Intermediate,2021seattle
Dig the Serve,3,5,0,Intermediate,2021seattle
Engineers,9,1,0,Intermediate,2021seattle
IntermediateDads,0,7,0,Intermediate,2021seattle
James Gettin' Serious,8,1,0,Intermediate,2021seattle
Kelly Bros,9,2,0,Intermediate,2021seattle
Lincoln Roundnet,4,4,0,Intermediate,2021seattle
Lobster Trappers,5,4,0,Intermediate,2021seattle
Marinerds,1,6,0,Intermediate,2021seattle
Net Gains,5,4,0,Intermediate,2021seattle
No Quit Zone,3,4,0,Intermediate,2021seattle
OJM,3,4,0,Intermediate,2021seattle
Orcas,6,4,0,Intermediate,2021seattle
Pigeon Force,4,5,0,Intermediate,2021seattle
Rims and Tips,3,4,0,Intermediate,2021seattle
Sets on the Beach,7,2,0,Intermediate,2021seattle
Shaggy & Scoob,7,2,0,Intermediate,2021seattle
Shmoons,2,5,0,Intermediate,2021seattle
Smells Like Team Spirit,7,4,0,Intermediate,2021seattle
Spikes from the 6ix,3,6,0,Intermediate,2021seattle
Spokane Spikers 0.5,10,1,0,Intermediate,2021seattle
SuperSlapperClapperSquad,6,4,0,Intermediate,2021seattle
The Ball Boys,0,0,0,Intermediate,2021seattle
The Little Calves That Could,2,6,0,Intermediate,2021seattle
Thicc n Thinn,8,1,0,Intermediate,2021seattle
Twink & Pale,8,2,0,Intermediate,2021seattle
Walmart Shmoons,0,7,0,Intermediate,2021seattle
York & Co,0,7,0,Intermediate,2021seattle
