Team 1,Team 2,Round,Tournament,Team 1 Scores,Team 2 Scores,Division
Shabammon,Lee and Mushi,Quarter-finals,2021seattle,"[0, 1, 0]","[1, 0, 1]",Premier
Highly Calculated,Lee and Mushi,Semi-finals,2021seattle,"[22, 21, 18]","[24, 14, 21]",Premier
Double Clutch,RGF,Final,2021seattle,"[21, 21]","[15, 16]",Premier
Knotty,RGF,1st place,2021seattle,"[19, 14]","[21, 21]",Premier
Trippy Lizard,Western Grebes,Quarter-finals,2021seattle,"[1, 0, 1]","[0, 1, 0]",Premier
Fiddle me,Backpacked to Premier?,Quarter-finals,2021seattle,"[21, 19, 23]","[19, 21, 21]",Premier
Trippy Lizard,Fiddle me,Semi-finals,2021seattle,"[21, 21]","[18, 15]",Premier
Mutant Roundnet,Smash Bros,Final,2021seattle,"[21, 21]","[10, 16]",Premier
Mutant Roundnet,I Pity the Fool who Carries,1st place,2021seattle,"[18, 21, 21]","[21, 17, 18]",Premier
Ortega/Boles,Smash Bros,1st place,2021seattle,"[0, 0]","[1, 1]",Premier
Backpacked to Premier?,Western Grebes,P5: Semi-finals,2021seattle,"[-1, -1, -1]","[-1, -1, -1]",Premier
Ortega/Boles,I Pity the Fool who Carries,P5: Final,2021seattle,"[-1, -1, -1]","[-1, -1, -1]",Premier
Backpacked to Premier?,Western Grebes,P5: Semi-finals,2021seattle,"[-1, -1, -1]","[-1, -1, -1]",Premier
Ortega/Boles,I Pity the Fool who Carries,P5: Final,2021seattle,"[-1, -1, -1]","[-1, -1, -1]",Premier
Orange Dream,High,Round of 16,2021seattle,"[21, 21]","[13, 16]",Contender
Blinngo Ball Indulgence,deceptive tree,Round of 16,2021seattle,"[23, 20, 21]","[21, 22, 17]",Contender
Touché,SJ invictus,Round of 16,2021seattle,"[18, 17]","[21, 21]",Contender
Maloney/Slattery,The Mullet and The Stache,Round of 16,2021seattle,"[21, 21]","[13, 14]",Contender
Orange Dream,Blinngo Ball Indulgence,Quarter-finals,2021seattle,"[21, 21]","[19, 9]",Contender
SJ invictus,Maloney/Slattery,Quarter-finals,2021seattle,"[12, 13]","[21, 21]",Contender
Orange Dream,Maloney/Slattery,Semi-finals,2021seattle,"[21, 21]","[9, 13]",Contender
Shib Sibs,Cobra Kai,Final,2021seattle,"[21, 21]","[16, 17]",Contender
Shib Sibs,OG Blinggo Boys,1st place,2021seattle,"[22, 21]","[20, 14]",Contender
Cobra Kai,Guys Who Just Met,1st place,2021seattle,"[22, 21]","[20, 19]",Contender
Shib Sibs,The Winning Team,3rd place,2021seattle,"[21, 21]","[11, 16]",Contender
OG Blinggo Boys,Round Net Work,3rd place,2021seattle,"[21, 21]","[19, 15]",Contender
Cobra Kai,Straight out of the park,3rd place,2021seattle,"[21, 21]","[10, 16]",Contender
Guys Who Just Met,Apex,3rd place,2021seattle,"[21, 21]","[19, 19]",Contender
SJ invictus,Blinngo Ball Indulgence,P5: Semi-finals,2021seattle,[-1],[-1],Contender
Guys Who Just Met,OG Blinggo Boys,P5: Final,2021seattle,[-1],[-1],Contender
deceptive tree,High,P9: Quarter-finals,2021seattle,"[0, 0]","[1, 1]",Contender
The Mullet and The Stache,Touché,P9: Quarter-finals,2021seattle,"[1, 1]","[0, 0]",Contender
High,The Mullet and The Stache,P9: Semi-finals,2021seattle,"[21, 1]","[17, 0]",Contender
Round Net Work,The Winning Team,9th place,2021seattle,"[1, 0, 0]","[0, 1, 1]",Contender
Apex,Straight out of the park,9th place,2021seattle,"[66, -1, -1]","[64, -1, -1]",Contender
Touché,deceptive tree,P13: Semi-finals,2021seattle,[-1],[-1],Contender
Touché,deceptive tree,P13: Semi-finals,2021seattle,[-1],[-1],Contender
Diet Dr. Kelp,The Real Rim Shady,Quarter-finals,2021seattle,"[2, 2]","[0, 0]",Women's Advanced
THUS PARABATAI,Diet Dr. Kelp,Semi-finals,2021seattle,"[21, 21]","[16, 14]",Women's Advanced
Vigna/Crête,Feller/Pierson,Final,2021seattle,"[1, 1]","[0, 0]",Women's Advanced
Vigna/Crête,Tulip,1st place,2021seattle,"[21, 21]","[8, 8]",Women's Advanced
Feller/Pierson,venom,1st place,2021seattle,"[1, 1]","[0, 0]",Women's Advanced
venom,Tulip,P5: Final,2021seattle,[-1],[-1],Women's Advanced
venom,Tulip,P5: Final,2021seattle,[-1],[-1],Women's Advanced
