Team Name,Wins,Losses,Result,Division,Tournament
Assistive Touch,7,0,1,Premier,2021texas
Gold Diggers,4,2,2,Premier,2021texas
Sloppy Seconds,5,1,3,Premier,2021texas
Ritto Boys,4,2,4,Premier,2021texas
Tintin Twins,3,1,5,Premier,2021texas
Highly Calculated,3,2,5,Premier,2021texas
Ultra Sexy Baddies,2,2,5,Premier,2021texas
PROUD FATHERS,2,2,5,Premier,2021texas
DO is Trash,4,2,9,Premier,2021texas
Kaiba Corp,3,3,10,Premier,2021texas
Nolan Ryan,3,3,11,Premier,2021texas
El Gonzales/Singer,2,5,12,Premier,2021texas
2 Years Later,3,4,13,Premier,2021texas
Yip Yip,1,5,14,Premier,2021texas
Sushi for 2,0,5,15,Premier,2021texas
WySpike Heroes,2,4,15,Premier,2021texas
Karasuno,0,5,17,Premier,2021texas
Dyljo,11,0,1,Contender,2021texas
Hinkle’s Elders,10,1,2,Contender,2021texas
Texas Sucks,9,2,3,Contender,2021texas
Los & Len,8,3,4,Contender,2021texas
Dabble,7,2,5,Contender,2021texas
Chris's Prospects,6,3,5,Contender,2021texas
Second Chance,7,2,5,Contender,2021texas
Trash Pandas,7,3,5,Contender,2021texas
Double Geezburger,5,5,9,Contender,2021texas
Contender Team 16,5,4,9,Contender,2021texas
Jam and Butter Drops,4,5,9,Contender,2021texas
Emm 2,5,4,9,Contender,2021texas
Joe,5,4,9,Contender,2021texas
Plastic utensils,5,3,9,Contender,2021texas
Aerodynamic,3,6,9,Contender,2021texas
Bots,5,5,16,Contender,2021texas
SA Chiggidy Chiggidy,4,7,17,Contender,2021texas
Spikeyu!!,4,7,18,Contender,2021texas
This is our Second Tournament,4,7,19,Contender,2021texas
Cibolo Reps,2,9,20,Contender,2021texas
Rottweilers,0,9,21,Contender,2021texas
Go Big Red,0,9,21,Contender,2021texas
"No shoes, No shirt",1,8,21,Contender,2021texas
The Hustlers,0,9,21,Contender,2021texas
TWINZ,6,0,1,Women's,2021texas
Graham/Rogers,6,1,2,Women's,2021texas
THUS Parabatai,5,2,3,Women's,2021texas
Zoomies,3,4,4,Women's,2021texas
Deuces,6,2,5,Women's,2021texas
718 Miles,2,5,6,Women's,2021texas
Celebration,3,5,7,Women's,2021texas
SLO & CO,3,5,8,Women's,2021texas
Mighty Icy,2,5,9,Women's,2021texas
A Playa Named Gus,5,2,10,Women's,2021texas
New Kids on the Block,4,3,11,Women's,2021texas
Okie Dokie,3,4,11,Women's,2021texas
Ballers,1,5,13,Women's,2021texas
The Mandascorians,0,6,13,Women's,2021texas
ScoSpike Shmeet ELITE,9,1,1,Advanced,2021texas
Hanuman Spike,8,2,2,Advanced,2021texas
Serves Up,7,3,3,Advanced,2021texas
Zilker Spike Co.,8,2,4,Advanced,2021texas
Scospike EPT Soccer,6,2,5,Advanced,2021texas
Spikes Hard Lemonade,7,1,5,Advanced,2021texas
The Eggs,6,2,5,Advanced,2021texas
Team Geezas,5,3,5,Advanced,2021texas
Buffalo Wild Swings,4,4,9,Advanced,2021texas
Super Yam,4,3,9,Advanced,2021texas
Beach Boys,3,5,9,Advanced,2021texas
"Don’t Worry, We’re Bad",3,4,9,Advanced,2021texas
The Lobsters,3,5,9,Advanced,2021texas
Nectars,4,4,9,Advanced,2021texas
Walmart boys,3,5,9,Advanced,2021texas
"""Gym Bros""",3,6,16,Advanced,2021texas
Dark Horse,1,6,17,Advanced,2021texas
rim rockers,0,7,17,Advanced,2021texas
Kiss My Ace,1,6,17,Advanced,2021texas
Laredo Squad,0,7,17,Advanced,2021texas
Full Send,0,7,17,Advanced,2021texas
Split the Difference,7,0,1,Intermediate,2021texas
Unknown Rib Injury,5,2,2,Intermediate,2021texas
Team Lintelman,3,4,3,Intermediate,2021texas
Crazy/2,2,5,0,Intermediate,2021texas
Three Hit Quit,2,4,5,Intermediate,2021texas
Mighty Beanz,1,5,5,Intermediate,2021texas
