Team 1,Team 2,Round,Tournament,Team 1 Scores,Team 2 Scores,Division
Assistive Touch,PROUD FATHERS,Quarter-finals,2021texas,"[28, 21]","[26, 19]",Premier
Ritto Boys,Ultra Sexy Baddies,Quarter-finals,2021texas,"[17, 21, 21]","[21, 17, 15]",Premier
Assistive Touch,Ritto Boys,Semi-finals,2021texas,"[19, 21, 21]","[21, 14, 19]",Premier
Sloppy Seconds,Gold Diggers,Final,2021texas,"[18, 17]","[21, 21]",Premier
Sloppy Seconds,Highly Calculated,1st place,2021texas,"[21, 21]","[19, 16]",Premier
Tintin Twins,Gold Diggers,1st place,2021texas,"[15, 18]","[21, 21]",Premier
Ultra Sexy Baddies,PROUD FATHERS,P5: Semi-finals,2021texas,"[-1, -1, -1]","[-1, -1, -1]",Premier
Tintin Twins,Highly Calculated,P5: Final,2021texas,"[-1, -1, -1]","[-1, -1, -1]",Premier
El Gonzales/Singer,Karasuno,Round of 16,2021texas,[2],[0],Premier
WySpike Heroes,El Gonzales/Singer,Quarter-finals,2021texas,[0],[2],Premier
Kaiba Corp,2 Years Later,Quarter-finals,2021texas,[2],[1],Premier
El Gonzales/Singer,Kaiba Corp,Semi-finals,2021texas,"[14, 14]","[21, 21]",Premier
Nolan Ryan,DO is Trash,Final,2021texas,"[18, 20]","[21, 22]",Premier
Nolan Ryan,Yip Yip,1st place,2021texas,[2],[0],Premier
DO is Trash,Sushi for 2,1st place,2021texas,[2],[1],Premier
2 Years Later,WySpike Heroes,P5: Semi-finals,2021texas,[1],[0],Premier
Sushi for 2,Yip Yip,P5: Final,2021texas,[0],[1],Premier
Spikeyu!!,Aerodynamic,Round of 32,2021texas,"[18, 21, 19]","[21, 19, 21]",Contender
Trash Pandas,The Hustlers,Round of 32,2021texas,"[21, 21]","[18, 17]",Contender
Joe,"No shoes, No shirt",Round of 32,2021texas,"[21, 21]","[17, 19]",Contender
Emm 2,Cibolo Reps,Round of 32,2021texas,"[21, 21]","[12, 13]",Contender
Hinkle’s Elders,Aerodynamic,Round of 16,2021texas,"[21, 21]","[14, 6]",Contender
Trash Pandas,Plastic utensils,Round of 16,2021texas,"[21, 21]","[18, 13]",Contender
Second Chance,Joe,Round of 16,2021texas,"[1, 1]","[0, 0]",Contender
Emm 2,Texas Sucks,Round of 16,2021texas,"[0, 0]","[1, 1]",Contender
Hinkle’s Elders,Trash Pandas,Quarter-finals,2021texas,"[21, 21]","[17, 18]",Contender
Second Chance,Texas Sucks,Quarter-finals,2021texas,"[0, 0]","[1, 1]",Contender
Hinkle’s Elders,Texas Sucks,Semi-finals,2021texas,"[1, 1]","[0, 0]",Contender
Dyljo,Los & Len,Final,2021texas,"[1, 1]","[0, 0]",Contender
Dyljo,Chris's Prospects,1st place,2021texas,"[21, 19, 21]","[13, 21, 18]",Contender
Los & Len,Dabble,1st place,2021texas,"[16, 21, 29]","[21, 18, 27]",Contender
Dyljo,Jam and Butter Drops,3rd place,2021texas,"[1, 1]","[0, 0]",Contender
Contender Team 16,Chris's Prospects,3rd place,2021texas,"[0, 0]","[1, 1]",Contender
Los & Len,Double Geezburger,3rd place,2021texas,"[21, 21]","[13, 13]",Contender
Bots,Dabble,3rd place,2021texas,"[17, 26]","[21, 28]",Contender
Jam and Butter Drops,This is our Second Tournament,Semi-finals,2021texas,"[21, 22]","[13, 20]",Contender
Contender Team 16,Go Big Red,Semi-finals,2021texas,"[1, 1]","[0, 0]",Contender
Double Geezburger,SA Chiggidy Chiggidy,Semi-finals,2021texas,"[1, 1]","[0, 0]",Contender
Bots,Rottweilers,Semi-finals,2021texas,"[21, 21]","[15, 14]",Contender
Second Chance,Trash Pandas,P5: Semi-finals,2021texas,[-1],[-1],Contender
Dabble,Chris's Prospects,P5: Final,2021texas,[-1],[-1],Contender
Plastic utensils,Aerodynamic,P9: Quarter-finals,2021texas,[-1],[-1],Contender
Emm 2,Joe,P9: Quarter-finals,2021texas,[-1],[-1],Contender
Contender Team 16,Jam and Butter Drops,9th place,2021texas,[-1],[-1],Contender
Bots,Double Geezburger,9th place,2021texas,[0],[2],Contender
Spikeyu!!,The Hustlers,P17: Quarter-finals,2021texas,[21],[15],Contender
"No shoes, No shirt",Cibolo Reps,P17: Quarter-finals,2021texas,[0],[21],Contender
Spikeyu!!,Cibolo Reps,P17: Semi-finals,2021texas,[21],[0],Contender
This is our Second Tournament,SA Chiggidy Chiggidy,P17: Final,2021texas,[19],[21],Contender
This is our Second Tournament,Go Big Red,17th place,2021texas,[21],[0],Contender
SA Chiggidy Chiggidy,Rottweilers,17th place,2021texas,[15],[10],Contender
"No shoes, No shirt",The Hustlers,P21: Semi-finals,2021texas,[-1],[-1],Contender
Rottweilers,Go Big Red,P21: Final,2021texas,[-1],[-1],Contender
"No shoes, No shirt",The Hustlers,P21: Semi-finals,2021texas,[-1],[-1],Contender
Rottweilers,Go Big Red,P21: Final,2021texas,[-1],[-1],Contender
718 Miles,Mighty Icy,Round of 16,2021texas,"[21, 24, 21]","[17, 26, 19]",Women's
THUS Parabatai,Ballers,Round of 16,2021texas,"[1, 1]","[0, 0]",Women's
SLO & CO,Okie Dokie,Round of 16,2021texas,"[21, 21]","[8, 13]",Women's
TWINZ,718 Miles,Quarter-finals,2021texas,"[21, 21]","[12, 18]",Women's
THUS Parabatai,SLO & CO,Quarter-finals,2021texas,"[21, 21]","[15, 19]",Women's
TWINZ,THUS Parabatai,Semi-finals,2021texas,"[21, 21]","[16, 17]",Women's
Graham/Rogers,Zoomies,Final,2021texas,"[17, 21, 21]","[21, 15, 16]",Women's
Graham/Rogers,Celebration,1st place,2021texas,"[21, 21]","[15, 19]",Women's
Deuces,Zoomies,1st place,2021texas,"[0, 0]","[1, 1]",Women's
Celebration,A Playa Named Gus,3rd place,2021texas,"[21, 21]","[15, 15]",Women's
Deuces,The Mandascorians,3rd place,2021texas,"[21, 21]","[8, 7]",Women's
Zoomies,New Kids on the Block,3rd place,2021texas,"[21, 21]","[14, 12]",Women's
SLO & CO,718 Miles,P5: Semi-finals,2021texas,"[0, 0]","[1, 1]",Women's
Deuces,Celebration,P5: Final,2021texas,"[1, 1]","[0, 0]",Women's
Okie Dokie,Ballers,P9: Quarter-finals,2021texas,[1],[0],Women's
Mighty Icy,Okie Dokie,P9: Semi-finals,2021texas,[1],[0],Women's
A Playa Named Gus,New Kids on the Block,P9: Final,2021texas,[21],[15],Women's
New Kids on the Block,The Mandascorians,9th place,2021texas,[21],[12],Women's
Beach Boys,Kiss My Ace,Round of 32,2021texas,"[21, 19, 24]","[18, 21, 22]",Advanced
Walmart boys,Laredo Squad,Round of 32,2021texas,"[21, 21]","[16, 18]",Advanced
Nectars,Full Send,Round of 32,2021texas,"[21, 21]","[10, 8]",Advanced
Spikes Hard Lemonade,Beach Boys,Round of 16,2021texas,"[18, 21, 21]","[21, 19, 17]",Advanced
Serves Up,Super Yam,Round of 16,2021texas,"[21, 21]","[15, 19]",Advanced
ScoSpike Shmeet ELITE,Walmart boys,Round of 16,2021texas,"[21, 21]","[12, 12]",Advanced
Nectars,Scospike EPT Soccer,Round of 16,2021texas,"[1, 0, 0]","[0, 1, 1]",Advanced
Spikes Hard Lemonade,Serves Up,Quarter-finals,2021texas,"[21, 15, 17]","[14, 21, 21]",Advanced
ScoSpike Shmeet ELITE,Scospike EPT Soccer,Quarter-finals,2021texas,"[1, 1]","[0, 0]",Advanced
Serves Up,ScoSpike Shmeet ELITE,Semi-finals,2021texas,"[0, 0]","[1, 1]",Advanced
Zilker Spike Co.,Hanuman Spike,Final,2021texas,"[19, 14]","[21, 21]",Advanced
Zilker Spike Co.,Team Geezas,1st place,2021texas,"[18, 21, 21]","[21, 16, 18]",Advanced
Hanuman Spike,The Eggs,1st place,2021texas,"[21, 21]","[16, 16]",Advanced
Zilker Spike Co.,"""Gym Bros""",3rd place,2021texas,"[21, 21]","[8, 15]",Advanced
Buffalo Wild Swings,Team Geezas,3rd place,2021texas,"[18, 19]","[21, 21]",Advanced
Hanuman Spike,The Lobsters,3rd place,2021texas,"[21, 21]","[17, 15]",Advanced
"Don’t Worry, We’re Bad",The Eggs,3rd place,2021texas,"[17, 20]","[21, 22]",Advanced
"""Gym Bros""",Dark Horse,Semi-finals,2021texas,"[21, 21]","[16, 16]",Advanced
The Lobsters,rim rockers,Semi-finals,2021texas,"[25, 21]","[23, 19]",Advanced
