Team Name,Wins,Losses,Result,Division,Tournament
Assistive Touch,7,0,1,Pro,2022championship
Double Clutch,5,2,2,Pro,2022championship
Cruise Control,4,3,3,Pro,2022championship
Swervie,3,4,4,Pro,2022championship
Switch Hit👑,3,2,5,Pro,2022championship
Bazinga,3,2,5,Pro,2022championship
PNDubs,1,4,5,Pro,2022championship
Cigar Boys,3,2,5,Pro,2022championship
Air Buds,2,2,9,Pro,2022championship
Swamp Donkeys,0,4,9,Pro,2022championship
Creamy,1,3,9,Pro,2022championship
Finocchi/Model,3,1,9,Pro,2022championship
Kingdom Come,1,3,9,Pro,2022championship
Wasabi,2,2,9,Pro,2022championship
WySpike Bully Maguire,1,3,9,Pro,2022championship
Wonky Sauce,1,3,9,Pro,2022championship
TRP Golden Hour,2,0,1,Coed Pro,2022championship
Bag of Chips,1,1,2,Coed Pro,2022championship
pinto.,1,1,3,Coed Pro,2022championship
Europe,0,2,4,Coed Pro,2022championship
Shlappy Pappy,9,1,1,Premier 5.0+,2022championship
Glizzy Gladiators,8,2,2,Premier 5.0+,2022championship
Evasive Maneuvers,9,1,3,Premier 5.0+,2022championship
Arsenal,7,3,4,Premier 5.0+,2022championship
Prophecy,6,2,5,Premier 5.0+,2022championship
here to slay,7,1,5,Premier 5.0+,2022championship
Dinner Time,6,2,5,Premier 5.0+,2022championship
City BBQ's Chocolate Cake,7,1,5,Premier 5.0+,2022championship
Elysium 2.0,5,2,9,Premier 5.0+,2022championship
Wasabi Fanclub,4,3,9,Premier 5.0+,2022championship
WySpike Synergy,5,2,9,Premier 5.0+,2022championship
Team #1,4,3,9,Premier 5.0+,2022championship
Psych,5,2,9,Premier 5.0+,2022championship
American Spikers League Reps,5,2,9,Premier 5.0+,2022championship
Bing Bong,5,2,9,Premier 5.0+,2022championship
Insomnia,4,3,9,Premier 5.0+,2022championship
Shibboleth,5,2,17,Premier 5.0+,2022championship
Longhorned Lopes,3,4,17,Premier 5.0+,2022championship
Zested,2,5,17,Premier 5.0+,2022championship
Fish Market,3,3,17,Premier 5.0+,2022championship
Aim Assist,2,4,17,Premier 5.0+,2022championship
Steady Flubbin,3,3,17,Premier 5.0+,2022championship
Requals needed,2,4,17,Premier 5.0+,2022championship
Jersey Boyz,2,4,17,Premier 5.0+,2022championship
Quick as Frick,2,4,17,Premier 5.0+,2022championship
Furious George,2,4,17,Premier 5.0+,2022championship
UStriA,2,4,17,Premier 5.0+,2022championship
Green Bean Bag,3,4,28,Premier 5.0+,2022championship
Bunze and Boles,2,5,28,Premier 5.0+,2022championship
