Team 1,Team 2,Round,Tournament,Team 1 Scores,Team 2 Scores,Division
LitTranLi Legends,FF 15,Round of 32,bcroundnet,"[21, 18, 18]","[10, 21, 21]",Intermediate 3.0
Nomadic,The Rally Llamas,Round of 32,bcroundnet,"[21, 21]","[6, 4]",Intermediate 3.0
The Meadows,Go Spike Yourself,Round of 32,bcroundnet,"[21, 21]","[17, 19]",Intermediate 3.0
Kiss my ace,FF 15,Round of 16,bcroundnet,"[21, 21]","[9, 6]",Intermediate 3.0
Carlita's Minions,No Quit Zone,Round of 16,bcroundnet,"[12, 17]","[21, 21]",Intermediate 3.0
Papis,Nomadic,Round of 16,bcroundnet,"[19, 21]","[21, 23]",Intermediate 3.0
The Meadows,The Herbivores,Round of 16,bcroundnet,"[17, 21, 16]","[21, 17, 21]",Intermediate 3.0
Kiss my ace,No Quit Zone,Quarter-finals,bcroundnet,"[21, 21]","[11, 9]",Intermediate 3.0
Nomadic,The Herbivores,Quarter-finals,bcroundnet,"[21, 20]","[23, 22]",Intermediate 3.0
Kiss my ace,The Herbivores,Semi-finals,bcroundnet,"[21, 21]","[10, 5]",Intermediate 3.0
Young Guns,Ron & Feliz,Final,bcroundnet,"[21, 16, 21]","[12, 21, 16]",Intermediate 3.0
Young Guns,Height DIFF,1st place,bcroundnet,"[21, 21]","[13, 12]",Intermediate 3.0
Ron & Feliz,Ball Boys,1st place,bcroundnet,"[21, 21]","[16, 11]",Intermediate 3.0
Young Guns,Webespiking,3rd place,bcroundnet,"[21, 21]","[14, 14]",Intermediate 3.0
Half a Nook,Height DIFF,3rd place,bcroundnet,"[21, 17, 19]","[18, 21, 21]",Intermediate 3.0
Ron & Feliz,City Boyssss,3rd place,bcroundnet,"[21, 21]","[8, 12]",Intermediate 3.0
WeShowedUp,Ball Boys,3rd place,bcroundnet,"[17, 23, 24]","[21, 21, 25]",Intermediate 3.0
Webespiking,Genoc,Semi-finals,bcroundnet,"[21, 21]","[17, 13]",Intermediate 3.0
City Boyssss,J-Boys,Semi-finals,bcroundnet,"[21, 15, 21]","[17, 21, 17]",Intermediate 3.0
Nomadic,No Quit Zone,P5: Semi-finals,bcroundnet,[18],[21],Intermediate 3.0
Ball Boys,Height DIFF,P5: Final,bcroundnet,[19],[21],Intermediate 3.0
Carlita's Minions,FF 15,P9: Quarter-finals,bcroundnet,[21],[16],Intermediate 3.0
The Meadows,Papis,P9: Quarter-finals,bcroundnet,[16],[21],Intermediate 3.0
Carlita's Minions,Papis,P9: Semi-finals,bcroundnet,[0],[1],Intermediate 3.0
Webespiking,WeShowedUp,P9: Final,bcroundnet,[21],[19],Intermediate 3.0
Half a Nook,Webespiking,9th place,bcroundnet,[13],[21],Intermediate 3.0
WeShowedUp,City Boyssss,9th place,bcroundnet,[21],[11],Intermediate 3.0
The Meadows,FF 15,P13: Semi-finals,bcroundnet,[21],[15],Intermediate 3.0
City Boyssss,Half a Nook,P13: Final,bcroundnet,[17],[21],Intermediate 3.0
The Rally Llamas,Go Spike Yourself,P17: Quarter-finals,bcroundnet,[19],[21],Intermediate 3.0
LitTranLi Legends,Go Spike Yourself,P17: Semi-finals,bcroundnet,[21],[17],Intermediate 3.0
Genoc,J-Boys,P17: Final,bcroundnet,[21],[19],Intermediate 3.0
Team Rocket,Need a ride?,Quarter-finals,bcroundnet,"[24, 21, 21]","[25, 18, 19]",Advanced 4.0
Cornballers,Team Rocket,Semi-finals,bcroundnet,"[21, 21]","[15, 17]",Advanced 4.0
Josh and Derrick,Neighborhood dogs,Final,bcroundnet,"[21, 21]","[10, 11]",Advanced 4.0
Josh and Derrick,Plant munchers,1st place,bcroundnet,"[21, 21]","[16, 10]",Advanced 4.0
Neighborhood dogs,@Quality,1st place,bcroundnet,"[28, 15, 21]","[26, 21, 17]",Advanced 4.0
@Quality,Plant munchers,P5: Final,bcroundnet,[-1],[-1],Advanced 4.0
@Quality,Plant munchers,P5: Final,bcroundnet,[-1],[-1],Advanced 4.0
