Team 1,Team 2,Round,Tournament,Team 1 Scores,Team 2 Scores,Division
Air Buds,Revised Broekema/Goode,Round of 32,sts22atlantaga,"[21, 21]","[13, 14]",Premier 5.0+
Jolly Ranchers,Chilly Chillies,Round of 32,sts22atlantaga,"[21, 26, 15]","[12, 28, 21]",Premier 5.0+
WySpike Synergy,Bononas,Round of 32,sts22atlantaga,"[21, 21]","[19, 18]",Premier 5.0+
Creamy,Last Place Loungers,Round of 32,sts22atlantaga,"[21, 21]","[18, 18]",Premier 5.0+
TRP Sledgers,ok dad,Round of 32,sts22atlantaga,"[21, 21]","[18, 12]",Premier 5.0+
Power Wagon,Lu/Goodnow,Round of 32,sts22atlantaga,"[21, 21]","[18, 17]",Premier 5.0+
Cruise Control,Kiddos,Round of 32,sts22atlantaga,"[21, 21]","[19, 18]",Premier 5.0+
TRP Can of Worms,Flip Flop,Round of 32,sts22atlantaga,"[21, 21]","[13, 14]",Premier 5.0+
Air Buds,Chilly Chillies,Round of 16,sts22atlantaga,"[21, 21]","[18, 14]",Premier 5.0+
WySpike Synergy,Creamy,Round of 16,sts22atlantaga,"[21, 16, 19]","[19, 21, 21]",Premier 5.0+
TRP Sledgers,Power Wagon,Round of 16,sts22atlantaga,"[24, 21, 21]","[26, 15, 18]",Premier 5.0+
Cruise Control,TRP Can of Worms,Round of 16,sts22atlantaga,"[19, 19]","[21, 21]",Premier 5.0+
Air Buds,Creamy,Quarter-finals,sts22atlantaga,"[21, 21]","[18, 17]",Premier 5.0+
TRP Sledgers,TRP Can of Worms,Quarter-finals,sts22atlantaga,"[23, 18, 17]","[21, 21, 21]",Premier 5.0+
Air Buds,TRP Can of Worms,Semi-finals,sts22atlantaga,"[14, 21, 21]","[21, 18, 14]",Premier 5.0+
Bazinga,Finocchi/Model,Final,sts22atlantaga,"[17, 21, 21]","[21, 19, 17]",Premier 5.0+
Switch Hit👑,Bazinga,1st place,sts22atlantaga,"[21, 25, 18]","[23, 23, 21]",Premier 5.0+
Butter 365,Finocchi/Model,1st place,sts22atlantaga,"[19, 31, 15]","[21, 29, 21]",Premier 5.0+
Switch Hit👑,Pudding,3rd place,sts22atlantaga,"[21, 21]","[13, 14]",Premier 5.0+
Bazinga,Mermaid Sparkle,3rd place,sts22atlantaga,"[21, 21]","[13, 19]",Premier 5.0+
Butter 365,GFD Asian Invasion,3rd place,sts22atlantaga,"[18, 23, 21]","[21, 21, 18]",Premier 5.0+
Bot House,Finocchi/Model,3rd place,sts22atlantaga,"[15, 16]","[21, 21]",Premier 5.0+
Switch Hit👑,Ian’s backpack and Samuel Corey roundnet,Semi-finals,sts22atlantaga,"[21, 21]","[13, 11]",Premier 5.0+
Pudding,Trembling Earth,Semi-finals,sts22atlantaga,"[21, 21]","[19, 19]",Premier 5.0+
Bazinga,Sports and Dom,Semi-finals,sts22atlantaga,"[21, 21]","[18, 16]",Premier 5.0+
Mermaid Sparkle,Glizzy Gladiators,Semi-finals,sts22atlantaga,"[21, 20, 21]","[14, 22, 15]",Premier 5.0+
Butter 365,Sonic Boom,Semi-finals,sts22atlantaga,"[21, 21]","[14, 18]",Premier 5.0+
GFD Asian Invasion,Cryptid,Semi-finals,sts22atlantaga,"[21, 21]","[17, 16]",Premier 5.0+
Bot House,Untouch-a-balls,Semi-finals,sts22atlantaga,"[18, 21, 21]","[21, 16, 17]",Premier 5.0+
Finocchi/Model,Glitch,Semi-finals,sts22atlantaga,"[21, 21]","[18, 14]",Premier 5.0+
TRP Sledgers,Creamy,P5: Semi-finals,sts22atlantaga,"[-1, -1, -1]","[-1, -1, -1]",Premier 5.0+
Butter 365,Switch Hit👑,P5: Final,sts22atlantaga,"[-1, -1, -1]","[-1, -1, -1]",Premier 5.0+
WySpike Synergy,Chilly Chillies,P9: Quarter-finals,sts22atlantaga,"[-1, -1, -1]","[-1, -1, -1]",Premier 5.0+
Cruise Control,Power Wagon,P9: Quarter-finals,sts22atlantaga,"[-1, -1, -1]","[-1, -1, -1]",Premier 5.0+
Mermaid Sparkle,GFD Asian Invasion,P9: Final,sts22atlantaga,"[4, 21, 33]","[21, 7, 31]",Premier 5.0+
Mermaid Sparkle,Pudding,9th place,sts22atlantaga,"[6, 21, 21]","[21, 12, 8]",Premier 5.0+
