Team Name,Wins,Losses,Result,Division,Tournament
Finocchi/Model,8,0,1,Premier - Field 4,sts22bostonma
Double Clutch,6,2,2,Premier - Field 4,sts22bostonma
Swervie,7,1,3,Premier - Field 4,sts22bostonma
Kingdom Come,5,2,4,Premier - Field 4,sts22bostonma
Switch Hit👑,5,1,5,Premier - Field 4,sts22bostonma
Assistive Touch,5,1,5,Premier - Field 4,sts22bostonma
Wonky Sauce,5,1,5,Premier - Field 4,sts22bostonma
Bazinga,5,1,5,Premier - Field 4,sts22bostonma
Long Tan Handsome and Addison,4,2,9,Premier - Field 4,sts22bostonma
Bot House,5,2,9,Premier - Field 4,sts22bostonma
Khaki Shorts,3,3,11,Premier - Field 4,sts22bostonma
NSB,3,2,11,Premier - Field 4,sts22bostonma
Cigar Boys,4,2,11,Premier - Field 4,sts22bostonma
Wasabi,3,2,11,Premier - Field 4,sts22bostonma
cloudy,4,2,11,Premier - Field 4,sts22bostonma
Creamy,3,3,11,Premier - Field 4,sts22bostonma
GFD Asian Invasion,4,2,17,Premier - Field 4,sts22bostonma
Mermaid Sparkle,3,2,18,Premier - Field 4,sts22bostonma
CRO Fall Damage,3,2,18,Premier - Field 4,sts22bostonma
WySpike Synergy,3,3,18,Premier - Field 4,sts22bostonma
The Rookuiz,7,2,21,Premier - Field 4,sts22bostonma
Meatballs,6,3,22,Premier - Field 4,sts22bostonma
Sawtooth Spikers,6,3,23,Premier - Field 4,sts22bostonma
Walmart Birks,4,4,24,Premier - Field 4,sts22bostonma
Tulio's Hips,4,3,25,Premier - Field 4,sts22bostonma
Austerica,3,4,25,Premier - Field 4,sts22bostonma
Shayly,3,4,25,Premier - Field 4,sts22bostonma
Chilly Chillies,4,2,25,Premier - Field 4,sts22bostonma
Zested,3,4,29,Premier - Field 4,sts22bostonma
Young Slimeball Life,3,3,29,Premier - Field 4,sts22bostonma
PabloGD,1,4,29,Premier - Field 4,sts22bostonma
Cook/Heidman,1,5,29,Premier - Field 4,sts22bostonma
Faulty Service,3,2,29,Premier - Field 4,sts22bostonma
Revised Uno Reverse,3,3,29,Premier - Field 4,sts22bostonma
GFD GLITCH,2,3,29,Premier - Field 4,sts22bostonma
Kiddos,2,5,36,Premier - Field 4,sts22bostonma
Wheaties,1,4,37,Premier - Field 4,sts22bostonma
PBR Sleepy in Seattle,1,4,37,Premier - Field 4,sts22bostonma
Cryptid,1,4,37,Premier - Field 4,sts22bostonma
miniclip.com,0,5,37,Premier - Field 4,sts22bostonma
Boost,0,5,37,Premier - Field 4,sts22bostonma
Happy Endings,0,5,37,Premier - Field 4,sts22bostonma
Sub-Zero,2,3,37,Premier - Field 4,sts22bostonma
Global Citizens,1,4,37,Premier - Field 4,sts22bostonma
Martin/Tully,0,5,37,Premier - Field 4,sts22bostonma
Robot Home,0,5,37,Premier - Field 4,sts22bostonma
