Team Name,Wins,Losses,Result,Division,Tournament
Clutch Touch,8,0,1,Premier 5.0+,sts22chicagoil
Switch Hit👑,8,1,2,Premier 5.0+,sts22chicagoil
Kingdom Come,8,1,3,Premier 5.0+,sts22chicagoil
Joe Mez Joe,7,3,4,Premier 5.0+,sts22chicagoil
TRP Banana Boys,5,2,5,Premier 5.0+,sts22chicagoil
Creamy 0.5,5,3,5,Premier 5.0+,sts22chicagoil
Bazinga,6,1,5,Premier 5.0+,sts22chicagoil
Swamp Donkeys,5,2,5,Premier 5.0+,sts22chicagoil
Flemetti,4,3,9,Premier 5.0+,sts22chicagoil
PNDubs,5,3,9,Premier 5.0+,sts22chicagoil
Team Tots,4,3,9,Premier 5.0+,sts22chicagoil
Glitch,4,3,9,Premier 5.0+,sts22chicagoil
Evasive Bread,4,3,9,Premier 5.0+,sts22chicagoil
Revised Broekema/Longland,4,3,9,Premier 5.0+,sts22chicagoil
GFD Asian Invasion,4,3,15,Premier 5.0+,sts22chicagoil
Diamond Bros,3,4,15,Premier 5.0+,sts22chicagoil
Bandaid Boys,2,4,17,Premier 5.0+,sts22chicagoil
Bonfire Boys,1,4,17,Premier 5.0+,sts22chicagoil
Flip Flop,1,4,17,Premier 5.0+,sts22chicagoil
Gunneson/Rudzitis,2,5,17,Premier 5.0+,sts22chicagoil
Lanky Smoove,2,4,17,Premier 5.0+,sts22chicagoil
Indiscriminate Spikage,1,5,17,Premier 5.0+,sts22chicagoil
Yomp,0,6,17,Premier 5.0+,sts22chicagoil
Basically Top Ten,1,4,17,Premier 5.0+,sts22chicagoil
We Go Way Back,0,6,17,Premier 5.0+,sts22chicagoil
ω = θ/t,1,5,17,Premier 5.0+,sts22chicagoil
Purple Rainbows,0,5,17,Premier 5.0+,sts22chicagoil
Jack & the Beanstalk,1,6,28,Premier 5.0+,sts22chicagoil
Chocolate Cake,8,1,1,Contender 4.5+,sts22chicagoil
Fa(s)t 🧌,8,1,2,Contender 4.5+,sts22chicagoil
GFD Shorter & Taller,7,2,3,Contender 4.5+,sts22chicagoil
Slammo 3.0,6,3,4,Contender 4.5+,sts22chicagoil
Parceros,6,1,5,Contender 4.5+,sts22chicagoil
Krispy Kreme,6,1,5,Contender 4.5+,sts22chicagoil
Priller/Handschmann,6,1,5,Contender 4.5+,sts22chicagoil
Come and Go,5,2,5,Contender 4.5+,sts22chicagoil
Risky Business,2,6,9,Contender 4.5+,sts22chicagoil
Revised Boys,4,3,9,Contender 4.5+,sts22chicagoil
Goblin Mode,3,4,9,Contender 4.5+,sts22chicagoil
Jersey Boyz,4,3,9,Contender 4.5+,sts22chicagoil
set me please,2,5,9,Contender 4.5+,sts22chicagoil
