Team 1,Team 2,Round,Tournament,Team 1 Scores,Team 2 Scores,Division
Diamond Bros,Flip Flop,Round of 32,sts22chicagoil,"[21, 21]","[17, 17]",Premier 5.0+
PNDubs,Jack & the Beanstalk,Round of 32,sts22chicagoil,"[21, 21]","[16, 17]",Premier 5.0+
Swamp Donkeys,Gunneson/Rudzitis,Round of 32,sts22chicagoil,"[21, 21]","[14, 14]",Premier 5.0+
Glitch,Lanky Smoove,Round of 32,sts22chicagoil,"[21, 21]","[19, 18]",Premier 5.0+
Team Tots,Basically Top Ten,Round of 32,sts22chicagoil,"[21, 21]","[16, 19]",Premier 5.0+
Joe Mez Joe,We Go Way Back,Round of 32,sts22chicagoil,"[21, 21]","[12, 17]",Premier 5.0+
Clutch Touch,Diamond Bros,Round of 16,sts22chicagoil,"[21, 21]","[17, 14]",Premier 5.0+
PNDubs,Swamp Donkeys,Round of 16,sts22chicagoil,"[19, 15]","[21, 21]",Premier 5.0+
Bazinga,Glitch,Round of 16,sts22chicagoil,"[21, 21]","[18, 13]",Premier 5.0+
Team Tots,Joe Mez Joe,Round of 16,sts22chicagoil,"[17, 17]","[21, 21]",Premier 5.0+
Clutch Touch,Swamp Donkeys,Quarter-finals,sts22chicagoil,"[21, 21]","[19, 19]",Premier 5.0+
Bazinga,Joe Mez Joe,Quarter-finals,sts22chicagoil,"[21, 20, 24]","[18, 22, 26]",Premier 5.0+
Clutch Touch,Joe Mez Joe,Semi-finals,sts22chicagoil,"[21, 18, 21]","[14, 21, 16]",Premier 5.0+
Switch Hit👑,Kingdom Come,Final,sts22chicagoil,"[19, 21, 21]","[21, 19, 16]",Premier 5.0+
Switch Hit👑,Creamy 0.5,1st place,sts22chicagoil,"[21, 21]","[15, 17]",Premier 5.0+
Kingdom Come,TRP Banana Boys,1st place,sts22chicagoil,"[21, 18, 21]","[14, 21, 18]",Premier 5.0+
Switch Hit👑,Flemetti,3rd place,sts22chicagoil,"[21, 21]","[17, 11]",Premier 5.0+
Creamy 0.5,GFD Asian Invasion,3rd place,sts22chicagoil,"[23, 17, 21]","[21, 21, 17]",Premier 5.0+
Kingdom Come,Revised Broekema/Longland,3rd place,sts22chicagoil,"[21, 21]","[14, 16]",Premier 5.0+
Evasive Bread,TRP Banana Boys,3rd place,sts22chicagoil,"[13, 26]","[21, 28]",Premier 5.0+
Flemetti,Bandaid Boys,Semi-finals,sts22chicagoil,"[26, 21]","[24, 15]",Premier 5.0+
Creamy 0.5,ω = θ/t,Semi-finals,sts22chicagoil,"[21, 21]","[15, 15]",Premier 5.0+
GFD Asian Invasion,Purple Rainbows,Semi-finals,sts22chicagoil,"[21, 21]","[17, 18]",Premier 5.0+
Revised Broekema/Longland,Bonfire Boys,Semi-finals,sts22chicagoil,"[21, 21]","[18, 16]",Premier 5.0+
Evasive Bread,Indiscriminate Spikage,Semi-finals,sts22chicagoil,"[21, 21]","[18, 17]",Premier 5.0+
TRP Banana Boys,Yomp,Semi-finals,sts22chicagoil,"[21, 21]","[11, 18]",Premier 5.0+
Bazinga,Swamp Donkeys,P5: Semi-finals,sts22chicagoil,"[-1, -1, -1]","[-1, -1, -1]",Premier 5.0+
TRP Banana Boys,Creamy 0.5,P5: Final,sts22chicagoil,"[-1, -1, -1]","[-1, -1, -1]",Premier 5.0+
PNDubs,Diamond Bros,P9: Quarter-finals,sts22chicagoil,"[21, 1]","[10, 0]",Premier 5.0+
Team Tots,Glitch,P9: Quarter-finals,sts22chicagoil,"[-1, -1, -1]","[-1, -1, -1]",Premier 5.0+
GFD Asian Invasion,Flemetti,9th place,sts22chicagoil,"[0, 0]","[1, 1]",Premier 5.0+
Evasive Bread,Revised Broekema/Longland,9th place,sts22chicagoil,"[-1, -1, -1]","[-1, -1, -1]",Premier 5.0+
Jack & the Beanstalk,Gunneson/Rudzitis,P17: Round of 16,sts22chicagoil,"[0, 0]","[1, 1]",Premier 5.0+
Basically Top Ten,We Go Way Back,P17: Round of 16,sts22chicagoil,"[-1, -1, -1]","[-1, -1, -1]",Premier 5.0+
Flip Flop,Gunneson/Rudzitis,P17: Quarter-finals,sts22chicagoil,"[-1, -1, -1]","[-1, -1, -1]",Premier 5.0+
ω = θ/t,Purple Rainbows,19th place,sts22chicagoil,"[-1, -1, -1]","[-1, -1, -1]",Premier 5.0+
Indiscriminate Spikage,Yomp,19th place,sts22chicagoil,"[-1, -1, -1]","[-1, -1, -1]",Premier 5.0+
Goblin Mode,Captain Falcon’s Story,Round of 32,sts22chicagoil,"[21, 18, 21]","[10, 21, 18]",Contender 4.5+
Revised Boys,Cloud 4.5+,Round of 32,sts22chicagoil,"[21, 21]","[15, 8]",Contender 4.5+
Hope College B Team,Humungous Chungus,Round of 32,sts22chicagoil,"[19, 23, 21]","[21, 21, 19]",Contender 4.5+
CHOO CHOO MTFKZ,Risky Business,Round of 32,sts22chicagoil,"[19, 14]","[21, 21]",Contender 4.5+
Fa(s)t 🧌,Goblin Mode,Round of 16,sts22chicagoil,"[21, 21]","[17, 15]",Contender 4.5+
Revised Boys,Come and Go,Round of 16,sts22chicagoil,"[18, 21, 13]","[21, 19, 21]",Contender 4.5+
Priller/Handschmann,Hope College B Team,Round of 16,sts22chicagoil,"[21, 21]","[15, 14]",Contender 4.5+
Risky Business,GFD Shorter & Taller,Round of 16,sts22chicagoil,"[10, 15]","[21, 21]",Contender 4.5+
Fa(s)t 🧌,Come and Go,Quarter-finals,sts22chicagoil,"[1, 1]","[0, 0]",Contender 4.5+
Priller/Handschmann,GFD Shorter & Taller,Quarter-finals,sts22chicagoil,"[0, 0]","[1, 1]",Contender 4.5+
Fa(s)t 🧌,GFD Shorter & Taller,Semi-finals,sts22chicagoil,"[1, 1]","[0, 0]",Contender 4.5+
Slammo 3.0,Chocolate Cake,Final,sts22chicagoil,"[23, 17]","[25, 21]",Contender 4.5+
Krispy Kreme,Slammo 3.0,1st place,sts22chicagoil,"[0, 1, 0]","[1, 0, 1]",Contender 4.5+
Parceros,Chocolate Cake,1st place,sts22chicagoil,"[15, 15]","[21, 21]",Contender 4.5+
Krispy Kreme,set me please,3rd place,sts22chicagoil,"[22, 18, 22]","[20, 21, 20]",Contender 4.5+
Jersey Boyz,Slammo 3.0,3rd place,sts22chicagoil,"[0, 1, 0]","[1, 0, 1]",Contender 4.5+
Parceros,Random Troyblemakers,3rd place,sts22chicagoil,"[21, 16, 21]","[14, 21, 12]",Contender 4.5+
Flukey Fellas,Chocolate Cake,3rd place,sts22chicagoil,"[14, 23]","[21, 25]",Contender 4.5+
Sweet Home Illinois,set me please,Semi-finals,sts22chicagoil,"[20, 20]","[22, 22]",Contender 4.5+
Jersey Boyz,Kennumerable,Semi-finals,sts22chicagoil,"[24, 1]","[22, 0]",Contender 4.5+
Random Troyblemakers,Khemka/Park,Semi-finals,sts22chicagoil,"[21, 21]","[14, 15]",Contender 4.5+
Flukey Fellas,Reverse cuts only,Semi-finals,sts22chicagoil,"[21, 21]","[16, 14]",Contender 4.5+
Priller/Handschmann,Come and Go,P5: Semi-finals,sts22chicagoil,"[-1, -1, -1]","[-1, -1, -1]",Contender 4.5+
Parceros,Krispy Kreme,P5: Final,sts22chicagoil,"[-1, -1, -1]","[-1, -1, -1]",Contender 4.5+
Revised Boys,Goblin Mode,P9: Quarter-finals,sts22chicagoil,"[-1, -1, -1]","[-1, -1, -1]",Contender 4.5+
Risky Business,Hope College B Team,P9: Quarter-finals,sts22chicagoil,"[21, 1]","[14, 0]",Contender 4.5+
Jersey Boyz,set me please,9th place,sts22chicagoil,"[-1, -1, -1]","[-1, -1, -1]",Contender 4.5+
Flukey Fellas,Random Troyblemakers,9th place,sts22chicagoil,"[-1, -1, -1]","[-1, -1, -1]",Contender 4.5+
Captain Falcon’s Story,Cloud 4.5+,P17: Quarter-finals,sts22chicagoil,"[21, 19, 23]","[16, 21, 25]",Contender 4.5+
Humungous Chungus,CHOO CHOO MTFKZ,P17: Quarter-finals,sts22chicagoil,"[-1, -1, -1]","[-1, -1, -1]",Contender 4.5+
Sweet Home Illinois,Kennumerable,17th place,sts22chicagoil,"[21, 21]","[17, 12]",Contender 4.5+
Khemka/Park,Reverse cuts only,17th place,sts22chicagoil,"[-1, -1, -1]","[-1, -1, -1]",Contender 4.5+
Coffman Bros,Spike Wazowski,Round of 32,sts22chicagoil,"[19, 21, 21]","[21, 13, 16]",Advanced 4.0
Bunda Roundnet,The Saunders Company,Round of 32,sts22chicagoil,"[21, 21]","[10, 14]",Advanced 4.0
A Squared,Coffman Bros,Round of 16,sts22chicagoil,"[21, 21]","[12, 19]",Advanced 4.0
You Guessed It,andersEn,Round of 16,sts22chicagoil,"[15, 20]","[21, 22]",Advanced 4.0
Hotdog Water,Bunda Roundnet,Round of 16,sts22chicagoil,"[18, 22, 17]","[21, 20, 21]",Advanced 4.0
The SPYke Kids,got milk?,Round of 16,sts22chicagoil,"[16, 21, 19]","[21, 17, 21]",Advanced 4.0
A Squared,andersEn,Quarter-finals,sts22chicagoil,"[21, 21]","[15, 19]",Advanced 4.0
Bunda Roundnet,got milk?,Quarter-finals,sts22chicagoil,"[21, 20, 18]","[15, 22, 21]",Advanced 4.0
A Squared,got milk?,Semi-finals,sts22chicagoil,"[21, 26]","[13, 24]",Advanced 4.0
In Your Cabeza,Skinny Dippers,Final,sts22chicagoil,"[21, 21]","[15, 18]",Advanced 4.0
What's the score?,In Your Cabeza,1st place,sts22chicagoil,"[23, 16]","[25, 21]",Advanced 4.0
Skinny Dippers,textbook,1st place,sts22chicagoil,"[21, 21]","[15, 14]",Advanced 4.0
What's the score?,The Abbreviators,3rd place,sts22chicagoil,"[21, 21]","[15, 11]",Advanced 4.0
We Take Those,In Your Cabeza,3rd place,sts22chicagoil,"[18, 19]","[21, 21]",Advanced 4.0
Skinny Dippers,Abe’s Lincoln,3rd place,sts22chicagoil,"[21, 21]","[17, 15]",Advanced 4.0
textbook,The Bakery,3rd place,sts22chicagoil,"[21, 21]","[10, 15]",Advanced 4.0
The Abbreviators,Cut Time,Semi-finals,sts22chicagoil,"[21, 21]","[13, 12]",Advanced 4.0
Abe’s Lincoln,Polombia,Semi-finals,sts22chicagoil,"[21, 21]","[12, 15]",Advanced 4.0
Bunda Roundnet,andersEn,P5: Semi-finals,sts22chicagoil,"[-1, -1, -1]","[-1, -1, -1]",Advanced 4.0
textbook,What's the score?,P5: Final,sts22chicagoil,"[12, 17]","[21, 21]",Advanced 4.0
You Guessed It,Coffman Bros,P9: Quarter-finals,sts22chicagoil,"[-1, -1, -1]","[-1, -1, -1]",Advanced 4.0
The SPYke Kids,Hotdog Water,P9: Quarter-finals,sts22chicagoil,"[-1, -1, -1]","[-1, -1, -1]",Advanced 4.0
We Take Those,The Abbreviators,9th place,sts22chicagoil,"[-1, -1, -1]","[-1, -1, -1]",Advanced 4.0
The Bakery,Abe’s Lincoln,9th place,sts22chicagoil,"[-1, -1, -1]","[-1, -1, -1]",Advanced 4.0
Spike Wazowski,The Saunders Company,P17: Semi-finals,sts22chicagoil,"[-1, -1, -1]","[-1, -1, -1]",Advanced 4.0
Cut Time,Polombia,P17: Final,sts22chicagoil,"[21, 24, 21]","[15, 26, 7]",Advanced 4.0
Spike Wazowski,The Saunders Company,P17: Semi-finals,sts22chicagoil,"[-1, -1, -1]","[-1, -1, -1]",Advanced 4.0
Cut Time,Polombia,P17: Final,sts22chicagoil,"[21, 24, 21]","[15, 26, 7]",Advanced 4.0
Spike it like its hot,A lexauraus at the Zhu,Round of 16,sts22chicagoil,"[21, 18, 21]","[15, 21, 19]",Women's Advanced 4.0+
Jenki/Patel,Spike it like its hot,Quarter-finals,sts22chicagoil,"[21, 21]","[10, 9]",Women's Advanced 4.0+
THUS Parabatai,Florabama,Quarter-finals,sts22chicagoil,"[21, 21]","[12, 11]",Women's Advanced 4.0+
Jenki/Patel,THUS Parabatai,Semi-finals,sts22chicagoil,"[21, 21]","[19, 19]",Women's Advanced 4.0+
Beans.,Cat Daddies,Final,sts22chicagoil,"[16, 21, 16]","[21, 14, 21]",Women's Advanced 4.0+
Beans.,Lime & Salt,1st place,sts22chicagoil,"[21, 21]","[13, 18]",Women's Advanced 4.0+
Cat Daddies,besties 👯‍♀️,1st place,sts22chicagoil,"[21, 21]","[12, 12]",Women's Advanced 4.0+
Lime & Salt,Ur mom,3rd place,sts22chicagoil,"[21, 21]","[10, 10]",Women's Advanced 4.0+
Florabama,Spike it like its hot,P5: Semi-finals,sts22chicagoil,"[21, 21]","[13, 18]",Women's Advanced 4.0+
besties 👯‍♀️,Lime & Salt,P5: Final,sts22chicagoil,"[19, 22]","[21, 24]",Women's Advanced 4.0+
Blue Goose,orlando jigsteppers,Round of 16,sts22chicagoil,"[22, 17, 12]","[20, 21, 21]",Intermediate 3.0
Malort Cohort,Fun Dip,Round of 16,sts22chicagoil,"[21, 21]","[10, 6]",Intermediate 3.0
Lynd/Morinello,Empire Spikes Back,Round of 16,sts22chicagoil,"[21, 21]","[8, 13]",Intermediate 3.0
NDSU Team #1,orlando jigsteppers,Quarter-finals,sts22chicagoil,"[21, 21]","[13, 13]",Intermediate 3.0
Malort Cohort,Lynd/Morinello,Quarter-finals,sts22chicagoil,"[19, 21, 21]","[21, 10, 19]",Intermediate 3.0
NDSU Team #1,Malort Cohort,Semi-finals,sts22chicagoil,"[21, 21]","[13, 10]",Intermediate 3.0
Hog Riders,Larsen Lawns,Final,sts22chicagoil,"[21, 21]","[19, 12]",Intermediate 3.0
Hog Riders,More Natural Motion,1st place,sts22chicagoil,"[21, 21]","[15, 14]",Intermediate 3.0
pur-DONT HIT ON 2,Larsen Lawns,1st place,sts22chicagoil,"[17, 21]","[21, 23]",Intermediate 3.0
Hog Riders,spike sisters,3rd place,sts22chicagoil,"[21, 21]","[0, 0]",Intermediate 3.0
More Natural Motion,Country Bumkins,3rd place,sts22chicagoil,"[21, 21]","[15, 16]",Intermediate 3.0
pur-DONT HIT ON 2,The Setting Ducks,3rd place,sts22chicagoil,"[21, 21]","[9, 14]",Intermediate 3.0
Larsen Lawns,Krock/Metzger,3rd place,sts22chicagoil,"[21, 21]","[12, 18]",Intermediate 3.0
Lynd/Morinello,orlando jigsteppers,P5: Semi-finals,sts22chicagoil,"[20, 0]","[22, 1]",Intermediate 3.0
pur-DONT HIT ON 2,More Natural Motion,P5: Final,sts22chicagoil,"[1, 1]","[0, 0]",Intermediate 3.0
Empire Spikes Back,Fun Dip,P9: Quarter-finals,sts22chicagoil,"[-1, -1, -1]","[-1, -1, -1]",Intermediate 3.0
Country Bumkins,spike sisters,9th place,sts22chicagoil,"[-1, -1, -1]","[-1, -1, -1]",Intermediate 3.0
Krock/Metzger,The Setting Ducks,9th place,sts22chicagoil,"[1, 1, 1]","[0, 0, 0]",Intermediate 3.0
