Team Name,Wins,Losses,Result,Division,Tournament
Double Clutch,8,0,1,Premier 5.0+,sts22columbusoh
Switch Hit👑,7,1,2,Premier 5.0+,sts22columbusoh
Kingdom Come,7,1,3,Premier 5.0+,sts22columbusoh
Assistive Touch,6,2,4,Premier 5.0+,sts22columbusoh
Swervie,4,1,5,Premier 5.0+,sts22columbusoh
Cruise Control,4,1,5,Premier 5.0+,sts22columbusoh
Bozak/Model,4,1,5,Premier 5.0+,sts22columbusoh
Long Tan Handsome and Addison,4,1,5,Premier 5.0+,sts22columbusoh
Pour Combien?,4,2,9,Premier 5.0+,sts22columbusoh
Cigar Boys,5,1,9,Premier 5.0+,sts22columbusoh
Prophecy,3,2,11,Premier 5.0+,sts22columbusoh
Air Buds,4,1,11,Premier 5.0+,sts22columbusoh
Profit Boost,3,2,11,Premier 5.0+,sts22columbusoh
Bot House,3,2,11,Premier 5.0+,sts22columbusoh
Creamy,4,2,11,Premier 5.0+,sts22columbusoh
Chilly Chillies,3,3,11,Premier 5.0+,sts22columbusoh
Mermaid Sparkle,2,2,17,Premier 5.0+,sts22columbusoh
Picking name later,2,3,17,Premier 5.0+,sts22columbusoh
Bazinga,2,2,17,Premier 5.0+,sts22columbusoh
Wasabi,2,2,17,Premier 5.0+,sts22columbusoh
Swamp Donkeys,4,1,17,Premier 5.0+,sts22columbusoh
GFD Asian Invasion,2,2,17,Premier 5.0+,sts22columbusoh
Glitch,2,2,23,Premier 5.0+,sts22columbusoh
Psych,2,3,23,Premier 5.0+,sts22columbusoh
Simply Smashing,2,2,23,Premier 5.0+,sts22columbusoh
Ferruffa,2,2,23,Premier 5.0+,sts22columbusoh
Shifty,3,1,23,Premier 5.0+,sts22columbusoh
CRO Fall Damage,2,3,23,Premier 5.0+,sts22columbusoh
30seconds to uranus,5,2,29,Premier 5.0+,sts22columbusoh
The Diamond Dogs,4,4,30,Premier 5.0+,sts22columbusoh
ClubSpike Spidey Senses,4,3,31,Premier 5.0+,sts22columbusoh
Zested,3,5,32,Premier 5.0+,sts22columbusoh
GFD Shorter & Taller,2,3,33,Premier 5.0+,sts22columbusoh
Mayo Lovers,3,3,33,Premier 5.0+,sts22columbusoh
EUphoria,3,3,33,Premier 5.0+,sts22columbusoh
Evasive Maneuvers,2,3,33,Premier 5.0+,sts22columbusoh
Pillioddo,4,3,37,Premier 5.0+,sts22columbusoh
Weetabix,2,3,38,Premier 5.0+,sts22columbusoh
Robbinsville,1,4,38,Premier 5.0+,sts22columbusoh
Schaeffler's Finest,2,3,38,Premier 5.0+,sts22columbusoh
Flip Flop,2,3,38,Premier 5.0+,sts22columbusoh
Super Awesome Spikers,2,5,38,Premier 5.0+,sts22columbusoh
Revised Broekema/Longland,2,4,43,Premier 5.0+,sts22columbusoh
Just Throw It,2,4,43,Premier 5.0+,sts22columbusoh
Bread and Butter,0,4,45,Premier 5.0+,sts22columbusoh
CRO backdoor?,1,4,45,Premier 5.0+,sts22columbusoh
Gabagool,1,3,45,Premier 5.0+,sts22columbusoh
Rudzitis/Perlson,0,4,45,Premier 5.0+,sts22columbusoh
Big Ballers,1,4,45,Premier 5.0+,sts22columbusoh
Fa(s)t 🧌,1,3,45,Premier 5.0+,sts22columbusoh
Cryptid,1,3,45,Premier 5.0+,sts22columbusoh
Happy Hour Fondue,0,4,45,Premier 5.0+,sts22columbusoh
Soli Deo Gloria,1,3,45,Premier 5.0+,sts22columbusoh
Swinging Sloths,0,4,45,Premier 5.0+,sts22columbusoh
Jersey Boyz,0,5,55,Premier 5.0+,sts22columbusoh
Heidman/Porter,0,5,55,Premier 5.0+,sts22columbusoh
Domijoes,9,0,1,Contender - START AT 1,sts22columbusoh
Gabe and Jo,7,2,2,Contender - START AT 1,sts22columbusoh
MLR Nardo Wicks,8,1,3,Contender - START AT 1,sts22columbusoh
French Trash,6,3,4,Contender - START AT 1,sts22columbusoh
All Gas No Brakes,8,1,5,Contender - START AT 1,sts22columbusoh
Fun Sized Fledglings,7,1,5,Contender - START AT 1,sts22columbusoh
Trey's Paper Mill,7,2,7,Contender - START AT 1,sts22columbusoh
Revised Blubber,5,3,7,Contender - START AT 1,sts22columbusoh
LL Unfinished Business,5,3,9,Contender - START AT 1,sts22columbusoh
Free Water,5,1,10,Contender - START AT 1,sts22columbusoh
Long John Spikers,4,2,10,Contender - START AT 1,sts22columbusoh
JUICE,5,2,10,Contender - START AT 1,sts22columbusoh
Risky Business,5,1,10,Contender - START AT 1,sts22columbusoh
Big Bag O’Seeds,6,2,10,Contender - START AT 1,sts22columbusoh
PBR Dap & Snap,4,4,15,Contender - START AT 1,sts22columbusoh
Kovatch/McCune,4,3,15,Contender - START AT 1,sts22columbusoh
Lets Eat,6,1,17,Contender - START AT 1,sts22columbusoh
Lefty Drops Only,3,3,17,Contender - START AT 1,sts22columbusoh
Chowey,3,4,17,Contender - START AT 1,sts22columbusoh
The Sigmas,3,3,17,Contender - START AT 1,sts22columbusoh
Giggle Gang,3,2,17,Contender - START AT 1,sts22columbusoh
Middleburg A Squad,2,4,17,Contender - START AT 1,sts22columbusoh
Origin Semke/Hobart,2,3,17,Contender - START AT 1,sts22columbusoh
Tim & Greg,2,3,17,Contender - START AT 1,sts22columbusoh
DANG,3,2,17,Contender - START AT 1,sts22columbusoh
Sandbagging But Injured,2,3,17,Contender - START AT 1,sts22columbusoh
Aspiring Contenders,4,3,27,Contender - START AT 1,sts22columbusoh
Washburgh,4,3,27,Contender - START AT 1,sts22columbusoh
Team Slices,3,3,27,Contender - START AT 1,sts22columbusoh
Reverse on Turf,2,4,27,Contender - START AT 1,sts22columbusoh
Noxious Drop,1,5,27,Contender - START AT 1,sts22columbusoh
Twin Towers,2,4,27,Contender - START AT 1,sts22columbusoh
The Friend Bros,5,3,33,Contender - START AT 1,sts22columbusoh
JK Spikes,4,4,34,Contender - START AT 1,sts22columbusoh
Fresh Cuts,4,5,35,Contender - START AT 1,sts22columbusoh
Hitmen,3,6,36,Contender - START AT 1,sts22columbusoh
Chorn on the Cob,3,5,37,Contender - START AT 1,sts22columbusoh
Stuyguys,3,7,38,Contender - START AT 1,sts22columbusoh
Monkey Business,3,5,39,Contender - START AT 1,sts22columbusoh
Punt Team,2,5,39,Contender - START AT 1,sts22columbusoh
How I Set Your Mother,1,4,41,Contender - START AT 1,sts22columbusoh
BCSDs,2,4,41,Contender - START AT 1,sts22columbusoh
Out Here in Amish,0,5,41,Contender - START AT 1,sts22columbusoh
Walker/Clark,1,4,41,Contender - START AT 1,sts22columbusoh
Tweeners,1,4,41,Contender - START AT 1,sts22columbusoh
Wilmore Boys,1,4,41,Contender - START AT 1,sts22columbusoh
Not His First Pick,1,4,41,Contender - START AT 1,sts22columbusoh
Mast order,1,5,41,Contender - START AT 1,sts22columbusoh
Not My Pleasure,1,5,49,Contender - START AT 1,sts22columbusoh
Right angle,0,5,49,Contender - START AT 1,sts22columbusoh
412,0,5,49,Contender - START AT 1,sts22columbusoh
