Team 1,Team 2,Round,Tournament,Team 1 Scores,Team 2 Scores,Division
Chilly Chillies,Wasabi,Round of 32,sts22columbusoh,"[21, 16, 21]","[18, 21, 19]",Premier 5.0+
Swamp Donkeys,Pour Combien?,Round of 32,sts22columbusoh,"[21, 0, 26]","[16, 1, 28]",Premier 5.0+
Kingdom Come,Psych,Round of 32,sts22columbusoh,"[21, 26]","[15, 24]",Premier 5.0+
Creamy,Mermaid Sparkle,Round of 32,sts22columbusoh,"[23, 21]","[21, 19]",Premier 5.0+
Cigar Boys,CRO Fall Damage,Round of 32,sts22columbusoh,"[16, 21, 21]","[21, 17, 12]",Premier 5.0+
Switch Hit👑,Picking name later,Round of 32,sts22columbusoh,"[21, 21]","[10, 15]",Premier 5.0+
Cruise Control,Chilly Chillies,Round of 16,sts22columbusoh,"[21, 21]","[9, 19]",Premier 5.0+
Pour Combien?,Kingdom Come,Round of 16,sts22columbusoh,"[13, 16]","[21, 21]",Premier 5.0+
Swervie,Creamy,Round of 16,sts22columbusoh,"[21, 21]","[17, 15]",Premier 5.0+
Cigar Boys,Switch Hit👑,Round of 16,sts22columbusoh,"[17, 16]","[21, 21]",Premier 5.0+
Cruise Control,Kingdom Come,Quarter-finals,sts22columbusoh,"[12, 21, 19]","[21, 18, 21]",Premier 5.0+
Swervie,Switch Hit👑,Quarter-finals,sts22columbusoh,"[28, 29]","[30, 31]",Premier 5.0+
Kingdom Come,Switch Hit👑,Semi-finals,sts22columbusoh,"[13, 22]","[21, 24]",Premier 5.0+
Double Clutch,Assistive Touch,Final,sts22columbusoh,"[21, 21]","[16, 19]",Premier 5.0+
Long Tan Handsome and Addison,Double Clutch,1st place,sts22columbusoh,"[21, 19, 45]","[15, 21, 47]",Premier 5.0+
Bozak/Model,Assistive Touch,1st place,sts22columbusoh,"[21, 19, 20]","[12, 21, 22]",Premier 5.0+
Long Tan Handsome and Addison,Prophecy,3rd place,sts22columbusoh,"[21, 21]","[15, 11]",Premier 5.0+
Air Buds,Double Clutch,3rd place,sts22columbusoh,"[16, 19]","[21, 21]",Premier 5.0+
Bozak/Model,Profit Boost,3rd place,sts22columbusoh,"[21, 21]","[13, 15]",Premier 5.0+
Bot House,Assistive Touch,3rd place,sts22columbusoh,"[14, 19]","[21, 21]",Premier 5.0+
Prophecy,GFD Asian Invasion,Semi-finals,sts22columbusoh,"[16, 21, 21]","[21, 18, 17]",Premier 5.0+
Air Buds,Simply Smashing,Semi-finals,sts22columbusoh,"[1, 1]","[0, 0]",Premier 5.0+
Double Clutch,Glitch,Semi-finals,sts22columbusoh,"[1, 1]","[0, 0]",Premier 5.0+
Bazinga,Profit Boost,Semi-finals,sts22columbusoh,"[19, 18]","[21, 21]",Premier 5.0+
Shifty,Bot House,Semi-finals,sts22columbusoh,"[19, 21, 19]","[21, 12, 21]",Premier 5.0+
Assistive Touch,Ferruffa,Semi-finals,sts22columbusoh,"[21, 21]","[13, 14]",Premier 5.0+
Swervie,Cruise Control,P5: Semi-finals,sts22columbusoh,"[-1, -1, -1]","[-1, -1, -1]",Premier 5.0+
Bozak/Model,Long Tan Handsome and Addison,P5: Final,sts22columbusoh,"[-1, -1, -1]","[-1, -1, -1]",Premier 5.0+
Pour Combien?,Chilly Chillies,P9: Quarter-finals,sts22columbusoh,"[1, 1]","[0, 0]",Premier 5.0+
Cigar Boys,Creamy,P9: Quarter-finals,sts22columbusoh,"[24, 28, 21]","[26, 26, 19]",Premier 5.0+
Pour Combien?,Cigar Boys,P9: Semi-finals,sts22columbusoh,"[-1, -1, -1]","[-1, -1, -1]",Premier 5.0+
Air Buds,Prophecy,9th place,sts22columbusoh,"[-1, -1, -1]","[-1, -1, -1]",Premier 5.0+
Bot House,Profit Boost,9th place,sts22columbusoh,"[-1, -1, -1]","[-1, -1, -1]",Premier 5.0+
Creamy,Chilly Chillies,P13: Semi-finals,sts22columbusoh,"[-1, -1, -1]","[-1, -1, -1]",Premier 5.0+
Swamp Donkeys,Psych,P17: Round of 16,sts22columbusoh,"[0, 0]","[-1, -1]",Premier 5.0+
