Team Name,Wins,Losses,Result,Division,Tournament
Double Clutch,8,0,1,Premier 5.0+,sts22dallastx
Assistive Touch,8,2,2,Premier 5.0+,sts22dallastx
Switch Hit👑,7,2,3,Premier 5.0+,sts22dallastx
WySpike Bully Maguire,8,2,4,Premier 5.0+,sts22dallastx
Bazinga,7,2,5,Premier 5.0+,sts22dallastx
Prophecy,5,3,5,Premier 5.0+,sts22dallastx
TRP Meatball Sub,6,2,5,Premier 5.0+,sts22dallastx
Coffin Flop,6,3,5,Premier 5.0+,sts22dallastx
In System,5,3,9,Premier 5.0+,sts22dallastx
Your Bad,4,3,9,Premier 5.0+,sts22dallastx
Hsu Chef,4,3,9,Premier 5.0+,sts22dallastx
Power Wagon,5,2,9,Premier 5.0+,sts22dallastx
TRP Honey-Chipotle Crispers,4,3,9,Premier 5.0+,sts22dallastx
TRP Wet Willy,5,2,9,Premier 5.0+,sts22dallastx
Dyljo,4,3,9,Premier 5.0+,sts22dallastx
WySpike Triple Threat,5,2,16,Premier 5.0+,sts22dallastx
MT3,5,4,17,Premier 5.0+,sts22dallastx
Fresh Cut Serves,3,6,18,Premier 5.0+,sts22dallastx
Forever on Two,4,5,19,Premier 5.0+,sts22dallastx
Riley Reid Fans,3,7,20,Premier 5.0+,sts22dallastx
Zia,2,7,21,Premier 5.0+,sts22dallastx
Los & Len,2,6,22,Premier 5.0+,sts22dallastx
Team #1,2,5,22,Premier 5.0+,sts22dallastx
The shark and minnow,2,6,22,Premier 5.0+,sts22dallastx
Future Ashton/Popluhar,2,7,25,Premier 5.0+,sts22dallastx
SHK Silky Mitts,1,6,26,Premier 5.0+,sts22dallastx
TBD,0,7,26,Premier 5.0+,sts22dallastx
TWINZ,1,7,26,Premier 5.0+,sts22dallastx
Lululimes,0,8,29,Premier 5.0+,sts22dallastx
Buck Choi,8,1,1,Contender 4.5+,sts22dallastx
Furious George,7,2,2,Contender 4.5+,sts22dallastx
Swimm/Matharasi,7,2,3,Contender 4.5+,sts22dallastx
CRO save the fishies,7,3,4,Contender 4.5+,sts22dallastx
Gigachads,5,2,5,Contender 4.5+,sts22dallastx
Lanky and Clanky,6,1,5,Contender 4.5+,sts22dallastx
Baron/Kellett,5,1,5,Contender 4.5+,sts22dallastx
Sugondese,4,3,5,Contender 4.5+,sts22dallastx
Porter & Ford,6,2,9,Contender 4.5+,sts22dallastx
Garbanzo Beans,6,2,9,Contender 4.5+,sts22dallastx
