Team 1,Team 2,Round,Tournament,Team 1 Scores,Team 2 Scores,Division
TRP Honey-Chipotle Crispers,Team #1,Round of 32,sts22dallastx,"[21, 22]","[13, 20]",Premier 5.0+
Power Wagon,Fresh Cut Serves,Round of 32,sts22dallastx,"[21, 21]","[15, 16]",Premier 5.0+
Bazinga,TWINZ,Round of 32,sts22dallastx,"[21, 21]","[14, 16]",Premier 5.0+
WySpike Bully Maguire,Lululimes,Round of 32,sts22dallastx,"[1, 1]","[0, 0]",Premier 5.0+
Hsu Chef,Forever on Two,Round of 32,sts22dallastx,"[21, 22]","[12, 20]",Premier 5.0+
Your Bad,Los & Len,Round of 32,sts22dallastx,"[21, 18, 24]","[15, 21, 22]",Premier 5.0+
Coffin Flop,Future Ashton/Popluhar,Round of 32,sts22dallastx,"[21, 21]","[12, 18]",Premier 5.0+
Double Clutch,TRP Honey-Chipotle Crispers,Round of 16,sts22dallastx,"[21, 21]","[17, 17]",Premier 5.0+
Power Wagon,Bazinga,Round of 16,sts22dallastx,"[14, 18]","[21, 21]",Premier 5.0+
WySpike Bully Maguire,Hsu Chef,Round of 16,sts22dallastx,"[21, 17, 23]","[15, 21, 21]",Premier 5.0+
Your Bad,Coffin Flop,Round of 16,sts22dallastx,"[19, 21, 19]","[21, 15, 21]",Premier 5.0+
Double Clutch,Bazinga,Quarter-finals,sts22dallastx,"[33, 21]","[31, 17]",Premier 5.0+
WySpike Bully Maguire,Coffin Flop,Quarter-finals,sts22dallastx,"[15, 21, 21]","[21, 15, 16]",Premier 5.0+
Double Clutch,WySpike Bully Maguire,Semi-finals,sts22dallastx,"[21, 19, 22]","[16, 21, 20]",Premier 5.0+
Switch Hit👑,Assistive Touch,Final,sts22dallastx,"[21, 22, 12]","[16, 24, 21]",Premier 5.0+
TRP Meatball Sub,Switch Hit👑,1st place,sts22dallastx,"[18, 19]","[21, 21]",Premier 5.0+
Prophecy,Assistive Touch,1st place,sts22dallastx,"[17, 15]","[21, 21]",Premier 5.0+
TRP Meatball Sub,Dyljo,3rd place,sts22dallastx,"[21, 21]","[14, 18]",Premier 5.0+
Switch Hit👑,TRP Wet Willy,3rd place,sts22dallastx,"[26, 19, 22]","[24, 21, 20]",Premier 5.0+
WySpike Triple Threat,Prophecy,3rd place,sts22dallastx,"[30, 15, 19]","[28, 21, 21]",Premier 5.0+
In System,Assistive Touch,3rd place,sts22dallastx,"[13, 12]","[21, 21]",Premier 5.0+
Dyljo,MT3,Semi-finals,sts22dallastx,"[21, 19, 21]","[17, 21, 18]",Premier 5.0+
Switch Hit👑,SHK Silky Mitts,Semi-finals,sts22dallastx,"[21, 21]","[16, 19]",Premier 5.0+
TRP Wet Willy,Zia,Semi-finals,sts22dallastx,"[1, 1]","[0, 0]",Premier 5.0+
Prophecy,The shark and minnow,Semi-finals,sts22dallastx,"[21, 21]","[16, 19]",Premier 5.0+
In System,Riley Reid Fans,Semi-finals,sts22dallastx,"[19, 21, 21]","[21, 15, 19]",Premier 5.0+
Assistive Touch,TBD,Semi-finals,sts22dallastx,"[21, 21]","[14, 12]",Premier 5.0+
Coffin Flop,Bazinga,P5: Semi-finals,sts22dallastx,"[0, 0]","[1, 1]",Premier 5.0+
Prophecy,TRP Meatball Sub,P5: Final,sts22dallastx,"[1, 1]","[0, 0]",Premier 5.0+
Power Wagon,TRP Honey-Chipotle Crispers,P9: Quarter-finals,sts22dallastx,"[-1, -1, -1]","[-1, -1, -1]",Premier 5.0+
Your Bad,Hsu Chef,P9: Quarter-finals,sts22dallastx,"[-1, -1, -1]","[-1, -1, -1]",Premier 5.0+
TRP Wet Willy,Dyljo,9th place,sts22dallastx,"[-1, -1, -1]","[-1, -1, -1]",Premier 5.0+
In System,WySpike Triple Threat,9th place,sts22dallastx,"[1, 1]","[0, 0]",Premier 5.0+
Fresh Cut Serves,TWINZ,P17: Round of 16,sts22dallastx,"[1, 1]","[0, 0]",Premier 5.0+
Forever on Two,Lululimes,P17: Round of 16,sts22dallastx,"[21, 19, 21]","[19, 21, 19]",Premier 5.0+
Los & Len,Future Ashton/Popluhar,P17: Round of 16,sts22dallastx,"[11, 18, 15]","[15, 16, 12]",Premier 5.0+
Team #1,Fresh Cut Serves,P17: Quarter-finals,sts22dallastx,"[0, 0]","[1, 1]",Premier 5.0+
Forever on Two,Los & Len,P17: Quarter-finals,sts22dallastx,"[15, 13, 15]","[13, 15, 13]",Premier 5.0+
Fresh Cut Serves,Forever on Two,P17: Semi-finals,sts22dallastx,"[15, 13, 20]","[13, 15, 18]",Premier 5.0+
MT3,Riley Reid Fans,P17: Final,sts22dallastx,"[15, 12, 15]","[12, 15, 12]",Premier 5.0+
MT3,Zia,17th place,sts22dallastx,"[15, 16]","[13, 14]",Premier 5.0+
The shark and minnow,Riley Reid Fans,17th place,sts22dallastx,"[14, 0]","[21, 1]",Premier 5.0+
SHK Silky Mitts,Zia,19th place,sts22dallastx,"[14, 15, 17]","[16, 13, 19]",Premier 5.0+
Riley Reid Fans,TBD,19th place,sts22dallastx,"[15, 15]","[12, 13]",Premier 5.0+
Los & Len,Team #1,P21: Semi-finals,sts22dallastx,"[-1, -1, -1]","[-1, -1, -1]",Premier 5.0+
The shark and minnow,Zia,P21: Final,sts22dallastx,"[0, 0]","[1, 1]",Premier 5.0+
Future Ashton/Popluhar,Lululimes,P25: Quarter-finals,sts22dallastx,"[21, 21]","[18, 9]",Premier 5.0+
TWINZ,Future Ashton/Popluhar,P25: Semi-finals,sts22dallastx,"[10, 10]","[21, 21]",Premier 5.0+
SHK Silky Mitts,TBD,P25: Final,sts22dallastx,"[-1, -1, -1]","[-1, -1, -1]",Premier 5.0+
Air Conditioned Roundnet,Bofa Deez Pros,Round of 32,sts22dallastx,"[19, 21, 19]","[21, 12, 21]",Contender 4.5+
Swimm/Matharasi,Com & Con,Round of 32,sts22dallastx,"[1, 1]","[0, 0]",Contender 4.5+
Porter & Ford,Chase Meyer Fan Club,Round of 32,sts22dallastx,"[21, 21]","[12, 13]",Contender 4.5+
PORKLOINS - Strake Jesuit,Jeen•Yuhses,Round of 32,sts22dallastx,"[21, 15, 25]","[16, 21, 23]",Contender 4.5+
Milfs and Chilfs,Captain Falcon’s Story,Round of 32,sts22dallastx,"[1, 0, 1]","[0, 1, 0]",Contender 4.5+
Lanky and Clanky,Bofa Deez Pros,Round of 16,sts22dallastx,"[1, 1]","[0, 0]",Contender 4.5+
Swimm/Matharasi,Porter & Ford,Round of 16,sts22dallastx,"[22, 12, 21]","[20, 21, 14]",Contender 4.5+
Buck Choi,PORKLOINS - Strake Jesuit,Round of 16,sts22dallastx,"[1, 1]","[0, 0]",Contender 4.5+
Milfs and Chilfs,Gigachads,Round of 16,sts22dallastx,"[0, 0]","[1, 1]",Contender 4.5+
Lanky and Clanky,Swimm/Matharasi,Quarter-finals,sts22dallastx,"[12, 19]","[21, 21]",Contender 4.5+
Buck Choi,Gigachads,Quarter-finals,sts22dallastx,"[1, 1]","[0, 0]",Contender 4.5+
Swimm/Matharasi,Buck Choi,Semi-finals,sts22dallastx,"[0, 0]","[1, 1]",Contender 4.5+
Furious George,CRO save the fishies,Final,sts22dallastx,"[1, 1]","[0, 0]",Contender 4.5+
Sugondese,Furious George,1st place,sts22dallastx,"[17, 18]","[21, 21]",Contender 4.5+
Baron/Kellett,CRO save the fishies,1st place,sts22dallastx,"[10, 17]","[21, 21]",Contender 4.5+
Befuddled Beard,Sugondese,3rd place,sts22dallastx,"[16, 18]","[21, 21]",Contender 4.5+
Furious George,Garbanzo Beans,3rd place,sts22dallastx,"[21, 21]","[15, 10]",Contender 4.5+
Baron/Kellett,Chase’s Peanut Allergy,3rd place,sts22dallastx,"[21, 23, 21]","[18, 25, 17]",Contender 4.5+
Back Door Cuts,CRO save the fishies,3rd place,sts22dallastx,"[21, 21, 15]","[23, 19, 21]",Contender 4.5+
Sugondese,Static Equilibrium,Semi-finals,sts22dallastx,"[21, 21]","[16, 13]",Contender 4.5+
Furious George,The Short,Semi-finals,sts22dallastx,"[21, 21]","[14, 16]",Contender 4.5+
Garbanzo Beans,The serving duo,Semi-finals,sts22dallastx,"[21, 21]","[16, 15]",Contender 4.5+
Chase’s Peanut Allergy,Double Choke,Semi-finals,sts22dallastx,"[21, 21]","[11, 15]",Contender 4.5+
