Team 1,Team 2,Round,Tournament,Team 1 Scores,Team 2 Scores,Division
Club nudiste,Typhoons Tops,Round of 32,sts22gent,"[15, 15]","[6, 5]",Contender 4.5+
Drop it like it's hot,BEL - Janssens/Van den Bergh,Round of 32,sts22gent,"[11, 15, 15]","[15, 12, 13]",Contender 4.5+
Aussies in London,One Swede Eight LIMbs,Round of 32,sts22gent,"[13, 13]","[15, 15]",Contender 4.5+
Les Jouve [FR],Burger Kings,Round of 32,sts22gent,"[15, 11, 8]","[13, 15, 15]",Contender 4.5+
Floor is lava,nerds in disguise,Round of 32,sts22gent,"[15, 12, 15]","[12, 15, 7]",Contender 4.5+
Perplex,Fresal,Round of 32,sts22gent,"[12, 15, 15]","[15, 10, 11]",Contender 4.5+
Dumm flickt gut,ALL Chemistry,Round of 32,sts22gent,"[8, 15, 13]","[15, 13, 15]",Contender 4.5+
Hustling Brothers,Machi Unchained,Round of 32,sts22gent,"[15, 15]","[6, 8]",Contender 4.5+
Club nudiste,Drop it like it's hot,Round of 16,sts22gent,"[15, 15]","[9, 7]",Contender 4.5+
One Swede Eight LIMbs,Burger Kings,Round of 16,sts22gent,"[15, 15]","[10, 11]",Contender 4.5+
Floor is lava,Perplex,Round of 16,sts22gent,"[12, 10]","[15, 15]",Contender 4.5+
ALL Chemistry,Hustling Brothers,Round of 16,sts22gent,"[7, 15]","[15, 17]",Contender 4.5+
Club nudiste,One Swede Eight LIMbs,Quarter-finals,sts22gent,"[21, 21]","[18, 17]",Contender 4.5+
Perplex,Hustling Brothers,Quarter-finals,sts22gent,"[19, 21, 20]","[21, 19, 22]",Contender 4.5+
Club nudiste,Hustling Brothers,Semi-finals,sts22gent,"[20, 21, 21]","[22, 15, 6]",Contender 4.5+
BEL - Geeraerts/Vaes,RCG Powerline,Final,sts22gent,"[19, 17]","[21, 21]",Contender 4.5+
BEL - Geeraerts/Vaes,Eggo Waffles > Belgian Waffles,1st place,sts22gent,"[21, 21]","[16, 15]",Contender 4.5+
RCG Powerline,Serve&Body,1st place,sts22gent,"[18, 21, 21]","[21, 17, 11]",Contender 4.5+
BEL - Geeraerts/Vaes,Future Burnouts,3rd place,sts22gent,"[15, 15]","[10, 11]",Contender 4.5+
Eggo Waffles > Belgian Waffles,Cobra Spike,3rd place,sts22gent,"[15, 13, 15]","[9, 15, 12]",Contender 4.5+
RCG Powerline,Nonchalamment,3rd place,sts22gent,"[15, 15]","[10, 6]",Contender 4.5+
Setters of Catan,Serve&Body,3rd place,sts22gent,"[10, 10]","[15, 15]",Contender 4.5+
BEL - Geeraerts/Vaes,Goffa Lolita,Semi-finals,sts22gent,"[15, 15]","[13, 11]",Contender 4.5+
Future Burnouts,Pierre Feuille Victor,Semi-finals,sts22gent,"[15, 14, 15]","[12, 16, 9]",Contender 4.5+
Zwambo,Eggo Waffles > Belgian Waffles,Semi-finals,sts22gent,"[13, 13]","[15, 15]",Contender 4.5+
USS Maine,Cobra Spike,Semi-finals,sts22gent,"[12, 15, 11]","[15, 11, 15]",Contender 4.5+
RCG Powerline,SERVE PRESSURE,Semi-finals,sts22gent,"[15, 15]","[6, 7]",Contender 4.5+
Nonchalamment,#TeamLucifer,Semi-finals,sts22gent,"[15, 11, 15]","[9, 15, 6]",Contender 4.5+
David & Goliath,Setters of Catan,Semi-finals,sts22gent,"[16, 13, 15]","[14, 15, 17]",Contender 4.5+
Serve&Body,Jalapeño Iced Tea,Semi-finals,sts22gent,"[15, 15]","[13, 10]",Contender 4.5+
Perplex,One Swede Eight LIMbs,P5: Semi-finals,sts22gent,"[12, 0]","[15, 1]",Contender 4.5+
Serve&Body,Eggo Waffles > Belgian Waffles,P5: Final,sts22gent,"[-2, -2]","[0, 0]",Contender 4.5+
Burger Kings,Drop it like it's hot,P9: Quarter-finals,sts22gent,"[15, 11, 20]","[11, 15, 21]",Contender 4.5+
ALL Chemistry,Floor is lava,P9: Quarter-finals,sts22gent,"[11, 15, 12]","[15, 9, 15]",Contender 4.5+
Drop it like it's hot,Floor is lava,P9: Semi-finals,sts22gent,"[17, 0]","[21, 1]",Contender 4.5+
Future Burnouts,Setters of Catan,P9: Final,sts22gent,"[1, 1]","[0, 0]",Contender 4.5+
Cobra Spike,Future Burnouts,9th place,sts22gent,"[11, 15, 14]","[15, 13, 16]",Contender 4.5+
Setters of Catan,Nonchalamment,9th place,sts22gent,"[15, 10, 19]","[8, 15, 17]",Contender 4.5+
ALL Chemistry,Burger Kings,P13: Semi-finals,sts22gent,"[15, 15]","[0, 0]",Contender 4.5+
Nonchalamment,Cobra Spike,P13: Final,sts22gent,"[21, 1]","[16, 0]",Contender 4.5+
BEL - Janssens/Van den Bergh,Typhoons Tops,P17: Round of 16,sts22gent,"[15, 15]","[13, 13]",Contender 4.5+
Aussies in London,Les Jouve [FR],P17: Round of 16,sts22gent,"[15, 15]","[12, 7]",Contender 4.5+
Fresal,nerds in disguise,P17: Round of 16,sts22gent,"[13, 15, 13]","[15, 13, 15]",Contender 4.5+
Dumm flickt gut,Machi Unchained,P17: Round of 16,sts22gent,"[15, 15]","[13, 12]",Contender 4.5+
BEL - Janssens/Van den Bergh,Aussies in London,P17: Quarter-finals,sts22gent,"[15, 15]","[13, 11]",Contender 4.5+
nerds in disguise,Dumm flickt gut,P17: Quarter-finals,sts22gent,"[15, 12, 12]","[12, 15, 15]",Contender 4.5+
BEL - Janssens/Van den Bergh,Dumm flickt gut,P17: Semi-finals,sts22gent,"[12, 12]","[15, 15]",Contender 4.5+
Pierre Feuille Victor,SERVE PRESSURE,P17: Final,sts22gent,"[15, 15]","[13, 10]",Contender 4.5+
Pierre Feuille Victor,USS Maine,17th place,sts22gent,"[15, 15]","[6, 13]",Contender 4.5+
SERVE PRESSURE,Jalapeño Iced Tea,17th place,sts22gent,"[1, 1]","[0, 0]",Contender 4.5+
Pierre Feuille Victor,Goffa Lolita,19th place,sts22gent,"[15, 15]","[5, 10]",Contender 4.5+
Zwambo,USS Maine,19th place,sts22gent,"[0, 0]","[15, 15]",Contender 4.5+
#TeamLucifer,SERVE PRESSURE,19th place,sts22gent,"[0, 0]","[1, 1]",Contender 4.5+
David & Goliath,Jalapeño Iced Tea,19th place,sts22gent,"[0, 0]","[1, 1]",Contender 4.5+
nerds in disguise,Aussies in London,P21: Semi-finals,sts22gent,"[0, 0]","[1, 1]",Contender 4.5+
Jalapeño Iced Tea,USS Maine,P21: Final,sts22gent,"[1, 1]","[0, 0]",Contender 4.5+
Les Jouve [FR],Typhoons Tops,P25: Quarter-finals,sts22gent,"[0, 0]","[1, 1]",Contender 4.5+
Machi Unchained,Fresal,P25: Quarter-finals,sts22gent,"[13, 15, 14]","[15, 10, 16]",Contender 4.5+
Typhoons Tops,Fresal,P25: Semi-finals,sts22gent,"[1, 1]","[0, 0]",Contender 4.5+
Zwambo,Goffa Lolita,25th place,sts22gent,"[12, 12]","[15, 15]",Contender 4.5+
David & Goliath,#TeamLucifer,25th place,sts22gent,"[-1, -1, -1]","[-1, -1, -1]",Contender 4.5+
Machi Unchained,Les Jouve [FR],P29: Semi-finals,sts22gent,"[1, 1]","[0, 0]",Contender 4.5+
D/S,SucréSalé,Round of 32,sts22gent,"[15, 15]","[5, 2]",Contender 4.5+
Good cut Bad cut,D/S,Round of 16,sts22gent,"[10, 16]","[15, 18]",Contender 4.5+
