Team 1,Team 2,Round,Tournament,Team 1 Scores,Team 2 Scores,Division
Fibonacci Roundnet,Macaroni and cheese,Round of 32,sts22orangecountyca,"[21, 27]","[19, 25]",Premier 5.0+
Quantum State Koalas,Acing Ethan and Matt is the best,Round of 32,sts22orangecountyca,"[1, 1]","[0, 0]",Premier 5.0+
Box Models,Arizona’s Only Premier Team,Round of 32,sts22orangecountyca,"[21, 21]","[14, 13]",Premier 5.0+
Shiver MP,Chapstick Enthusiasts,Round of 32,sts22orangecountyca,"[21, 21]","[16, 15]",Premier 5.0+
Ranch x3,Montana Moose Riders,Round of 32,sts22orangecountyca,"[16, 21, 19]","[21, 19, 21]",Premier 5.0+
Chandler is my handler,Movement,Round of 32,sts22orangecountyca,"[21, 21]","[16, 19]",Premier 5.0+
Shifty,Kung/Lee,Round of 32,sts22orangecountyca,"[21, 21]","[14, 9]",Premier 5.0+
Rice and beans,Fibonacci Roundnet,Round of 16,sts22orangecountyca,"[18, 21, 15]","[21, 16, 21]",Premier 5.0+
Quantum State Koalas,Box Models,Round of 16,sts22orangecountyca,"[22, 16, 22]","[20, 21, 20]",Premier 5.0+
Shiver MP,Montana Moose Riders,Round of 16,sts22orangecountyca,"[21, 21]","[19, 16]",Premier 5.0+
Chandler is my handler,Shifty,Round of 16,sts22orangecountyca,"[17, 21, 21]","[21, 19, 16]",Premier 5.0+
Fibonacci Roundnet,Quantum State Koalas,Quarter-finals,sts22orangecountyca,"[21, 21]","[17, 16]",Premier 5.0+
Shiver MP,Chandler is my handler,Quarter-finals,sts22orangecountyca,"[18, 21, 21]","[21, 13, 19]",Premier 5.0+
Fibonacci Roundnet,Shiver MP,Semi-finals,sts22orangecountyca,"[14, 21, 21]","[21, 18, 18]",Premier 5.0+
Assistive Touch,How To Clutch,Final,sts22orangecountyca,"[21, 21]","[13, 15]",Premier 5.0+
Assistive Touch,DOUBLE TOP,1st place,sts22orangecountyca,"[23, 21]","[21, 17]",Premier 5.0+
Prophecy,How To Clutch,1st place,sts22orangecountyca,"[21, 18]","[23, 21]",Premier 5.0+
Assistive Touch,Archiduke Franz Ferdinand,3rd place,sts22orangecountyca,"[21, 21]","[10, 10]",Premier 5.0+
Uptown Boys,DOUBLE TOP,3rd place,sts22orangecountyca,"[20, 12]","[22, 21]",Premier 5.0+
Prophecy,Fundamental Franks,3rd place,sts22orangecountyca,"[21, 21]","[18, 17]",Premier 5.0+
Fish Market,How To Clutch,3rd place,sts22orangecountyca,"[17, 22, 17]","[21, 20, 21]",Premier 5.0+
Assistive Touch,The Rookies,Semi-finals,sts22orangecountyca,"[21, 21]","[10, 4]",Premier 5.0+
Archiduke Franz Ferdinand,Two Ships In The Night,Semi-finals,sts22orangecountyca,"[21, 21]","[18, 14]",Premier 5.0+
Uptown Boys,Da Boy's Bois,Semi-finals,sts22orangecountyca,"[21, 24, 21]","[19, 26, 19]",Premier 5.0+
DOUBLE TOP,Cain/Wong,Semi-finals,sts22orangecountyca,"[21, 21]","[10, 10]",Premier 5.0+
Prophecy,Turtle heads 🐢,Semi-finals,sts22orangecountyca,"[21, 19, 21]","[15, 21, 10]",Premier 5.0+
Gigachads,Fundamental Franks,Semi-finals,sts22orangecountyca,"[19, 17]","[21, 21]",Premier 5.0+
Fish Market,Tu Eres La Leche,Semi-finals,sts22orangecountyca,"[1, 1]","[0, 0]",Premier 5.0+
How To Clutch,DM Me,Semi-finals,sts22orangecountyca,"[21, 21]","[11, 14]",Premier 5.0+
Chandler is my handler,Quantum State Koalas,P5: Semi-finals,sts22orangecountyca,"[-1, -1, -1]","[-1, -1, -1]",Premier 5.0+
Prophecy,DOUBLE TOP,P5: Final,sts22orangecountyca,"[1, 1]","[0, 0]",Premier 5.0+
Box Models,Rice and beans,P9: Quarter-finals,sts22orangecountyca,"[-1, -1, -1]","[-1, -1, -1]",Premier 5.0+
Shifty,Montana Moose Riders,P9: Quarter-finals,sts22orangecountyca,"[-2, -2]","[0, 0]",Premier 5.0+
Uptown Boys,Fish Market,P9: Final,sts22orangecountyca,"[-1, -1, -1]","[-1, -1, -1]",Premier 5.0+
Uptown Boys,Archiduke Franz Ferdinand,9th place,sts22orangecountyca,"[21, 0]","[19, -1]",Premier 5.0+
Fish Market,Fundamental Franks,9th place,sts22orangecountyca,"[-1, -1, -1]","[-1, -1, -1]",Premier 5.0+
Acing Ethan and Matt is the best,Arizona’s Only Premier Team,P17: Round of 16,sts22orangecountyca,"[19, 20]","[21, 22]",Premier 5.0+
Ranch x3,Chapstick Enthusiasts,P17: Round of 16,sts22orangecountyca,"[1, 1]","[0, 0]",Premier 5.0+
Movement,Kung/Lee,P17: Round of 16,sts22orangecountyca,"[1, 1]","[0, 0]",Premier 5.0+
Macaroni and cheese,Arizona’s Only Premier Team,P17: Quarter-finals,sts22orangecountyca,"[-1, -1, -1]","[-1, -1, -1]",Premier 5.0+
Ranch x3,Movement,P17: Quarter-finals,sts22orangecountyca,"[-1, -1, -1]","[-1, -1, -1]",Premier 5.0+
Two Ships In The Night,Da Boy's Bois,17th place,sts22orangecountyca,"[-1, -1, -1]","[-1, -1, -1]",Premier 5.0+
Two Ships In The Night,The Rookies,19th place,sts22orangecountyca,"[21, 21]","[15, 15]",Premier 5.0+
Da Boy's Bois,Cain/Wong,19th place,sts22orangecountyca,"[21, 21]","[16, 18]",Premier 5.0+
Gigachads,Turtle heads 🐢,19th place,sts22orangecountyca,"[-1, -1, -1]","[-1, -1, -1]",Premier 5.0+
Tu Eres La Leche,DM Me,19th place,sts22orangecountyca,"[21, 21]","[0, 0]",Premier 5.0+
Kung/Lee,Chapstick Enthusiasts,P25: Quarter-finals,sts22orangecountyca,"[-1, -1, -1]","[-1, -1, -1]",Premier 5.0+
Cain/Wong,The Rookies,25th place,sts22orangecountyca,"[-1, -1, -1]","[-1, -1, -1]",Premier 5.0+
DM Me,Turtle heads 🐢,25th place,sts22orangecountyca,"[-1, -1, -1]","[-1, -1, -1]",Premier 5.0+
The Ball Slappers,East Cow Composting Collective (UCSD),Round of 32,sts22orangecountyca,"[19, 32]","[21, 34]",Contender 4.5+
C O G N I T I V E,Sets on Sets on Sets,Round of 32,sts22orangecountyca,"[21, 21]","[16, 19]",Contender 4.5+
Team Fwango,a van of oranges 🍊,Round of 32,sts22orangecountyca,"[25, 25]","[12, 10]",Contender 4.5+
Wolfcat,West Coast Cuts,Round of 32,sts22orangecountyca,"[21, 21]","[12, 9]",Contender 4.5+
Austin & Arrow,Daffleck@purdue.edu,Round of 32,sts22orangecountyca,"[19, 21, 21]","[21, 15, 17]",Contender 4.5+
ryan & tuck,East Cow Composting Collective (UCSD),Round of 16,sts22orangecountyca,"[21, 21]","[13, 15]",Contender 4.5+
C O G N I T I V E,Team Fwango,Round of 16,sts22orangecountyca,"[17, 18]","[21, 21]",Contender 4.5+
git reverse,Wolfcat,Round of 16,sts22orangecountyca,"[21, 21]","[19, 17]",Contender 4.5+
Austin & Arrow,The Disciples of Dink-theism,Round of 16,sts22orangecountyca,"[17, 27]","[21, 29]",Contender 4.5+
ryan & tuck,Team Fwango,Quarter-finals,sts22orangecountyca,"[1, 0, 1]","[0, 1, 0]",Contender 4.5+
git reverse,The Disciples of Dink-theism,Quarter-finals,sts22orangecountyca,"[21, 20, 25]","[15, 22, 23]",Contender 4.5+
ryan & tuck,git reverse,Semi-finals,sts22orangecountyca,"[19, 15]","[21, 21]",Contender 4.5+
kneed a lefty,OxenKin,Final,sts22orangecountyca,"[21, 25, 0]","[11, 27, -2]",Contender 4.5+
kneed a lefty,Average Joes,1st place,sts22orangecountyca,"[21, 21]","[18, 16]",Contender 4.5+
Our Last Names (UCLA),OxenKin,1st place,sts22orangecountyca,"[22, 10]","[24, 21]",Contender 4.5+
kneed a lefty,Cultured Spice,3rd place,sts22orangecountyca,"[21, 21]","[10, 16]",Contender 4.5+
Ugly Finders,Average Joes,3rd place,sts22orangecountyca,"[12, 13]","[21, 21]",Contender 4.5+
Tandoori Sushi,Our Last Names (UCLA),3rd place,sts22orangecountyca,"[1, 0, 0]","[0, 1, 1]",Contender 4.5+
OxenKin,Cross State Boarders,3rd place,sts22orangecountyca,"[21, 21]","[19, 19]",Contender 4.5+
First Rounded,Cultured Spice,Semi-finals,sts22orangecountyca,"[18, 19]","[21, 21]",Contender 4.5+
Ugly Finders,Jerry’s disciples,Semi-finals,sts22orangecountyca,"[21, 21]","[17, 19]",Contender 4.5+
Average Joes,Patriot X,Semi-finals,sts22orangecountyca,"[21, 17, 21]","[12, 21, 8]",Contender 4.5+
Our Last Names (UCLA),Bodies like Dedede,Semi-finals,sts22orangecountyca,"[1, 1]","[0, 0]",Contender 4.5+
OxenKin,Out of Pocket,Semi-finals,sts22orangecountyca,"[21, 21]","[10, 7]",Contender 4.5+
Cross State Boarders,Vegas Legends,Semi-finals,sts22orangecountyca,"[21, 21]","[9, 9]",Contender 4.5+
The Disciples of Dink-theism,Team Fwango,P5: Semi-finals,sts22orangecountyca,"[-1, -1, -1]","[-1, -1, -1]",Contender 4.5+
Our Last Names (UCLA),Average Joes,P5: Final,sts22orangecountyca,"[-1, -1, -1]","[-1, -1, -1]",Contender 4.5+
C O G N I T I V E,East Cow Composting Collective (UCSD),P9: Quarter-finals,sts22orangecountyca,"[15, 21, 21]","[21, 18, 18]",Contender 4.5+
Austin & Arrow,Wolfcat,P9: Quarter-finals,sts22orangecountyca,"[1, 1]","[0, 0]",Contender 4.5+
C O G N I T I V E,Austin & Arrow,P9: Semi-finals,sts22orangecountyca,"[21, 21]","[16, 16]",Contender 4.5+
Ugly Finders,Tandoori Sushi,P9: Final,sts22orangecountyca,"[1, 1]","[0, 0]",Contender 4.5+
Ugly Finders,Cultured Spice,9th place,sts22orangecountyca,"[1, 1]","[0, 0]",Contender 4.5+
Cross State Boarders,Tandoori Sushi,9th place,sts22orangecountyca,"[0, 0]","[1, 1]",Contender 4.5+
Wolfcat,East Cow Composting Collective (UCSD),P13: Semi-finals,sts22orangecountyca,"[-1, -1, -1]","[-1, -1, -1]",Contender 4.5+
