Team 1,Team 2,Round,Tournament,Team 1 Scores,Team 2 Scores,Division
Kahooters,3 Meter Set,Round of 32,sts22orlandofl,"[19, 18]","[21, 21]",Premier 5.0+
In System,Cryptid,Round of 32,sts22orlandofl,"[21, 21]","[19, 17]",Premier 5.0+
Ranch x3,Jam Session,Round of 32,sts22orlandofl,"[21, 16, 21]","[17, 21, 18]",Premier 5.0+
Finocchi/Model,GingerBread Men,Round of 32,sts22orlandofl,"[21, 21]","[12, 11]",Premier 5.0+
Prophecy,Lake Titicaca,Round of 32,sts22orlandofl,"[21, 21]","[18, 14]",Premier 5.0+
Bazinga,TWINZ,Round of 32,sts22orlandofl,"[21, 21]","[10, 14]",Premier 5.0+
Coast to Coast,Boost,Round of 32,sts22orlandofl,"[1, 0, 1]","[0, 1, 0]",Premier 5.0+
Double Clutch,3 Meter Set,Round of 16,sts22orlandofl,"[21, 21]","[13, 18]",Premier 5.0+
In System,Ranch x3,Round of 16,sts22orlandofl,"[21, 16, 21]","[19, 21, 15]",Premier 5.0+
Finocchi/Model,Prophecy,Round of 16,sts22orlandofl,"[21, 21]","[18, 16]",Premier 5.0+
Bazinga,Coast to Coast,Round of 16,sts22orlandofl,"[1, 0, 1]","[0, 1, 0]",Premier 5.0+
Double Clutch,In System,Quarter-finals,sts22orlandofl,"[-1, -1, -1]","[-1, -1, -1]",Premier 5.0+
Finocchi/Model,Bazinga,Quarter-finals,sts22orlandofl,"[-1, -1, -1]","[-1, -1, -1]",Premier 5.0+
Air Buds,Swervie,1st place,sts22orlandofl,"[18, -1, -1]","[17, -1, -1]",Premier 5.0+
Creamy,Mermaid Sparkle,1st place,sts22orlandofl,"[17, 0, 0]","[21, 0, 0]",Premier 5.0+
Air Buds,WySpike Synergy,3rd place,sts22orlandofl,"[21, 21]","[18, 18]",Premier 5.0+
Chilly Chillies,Swervie,3rd place,sts22orlandofl,"[12, 19]","[21, 21]",Premier 5.0+
Creamy,2 Fungis,3rd place,sts22orlandofl,"[21, 21]","[9, 12]",Premier 5.0+
Rio Boys,Mermaid Sparkle,3rd place,sts22orlandofl,"[16, 18]","[21, 21]",Premier 5.0+
WySpike Synergy,Blue Turtle Shell,Semi-finals,sts22orlandofl,"[21, 21]","[14, 18]",Premier 5.0+
Chilly Chillies,Kiddos,Semi-finals,sts22orlandofl,"[21, 21]","[16, 17]",Premier 5.0+
Swervie,Michael Barkman,Semi-finals,sts22orlandofl,"[21, 21]","[12, 10]",Premier 5.0+
2 Fungis,The shark and minnow,Semi-finals,sts22orlandofl,"[21, 21]","[16, 17]",Premier 5.0+
Rio Boys,Bot House,Semi-finals,sts22orlandofl,"[10, 21, 21]","[21, 12, 13]",Premier 5.0+
Mermaid Sparkle,Too Static,Semi-finals,sts22orlandofl,"[21, 21]","[19, 15]",Premier 5.0+
Ranch x3,3 Meter Set,P9: Quarter-finals,sts22orlandofl,"[-1, -1, -1]","[-1, -1, -1]",Premier 5.0+
Coast to Coast,Prophecy,P9: Quarter-finals,sts22orlandofl,"[-1, -1, -1]","[-1, -1, -1]",Premier 5.0+
WySpike Synergy,Rio Boys,P9: Final,sts22orlandofl,"[1, 1]","[0, 0]",Premier 5.0+
Chilly Chillies,WySpike Synergy,9th place,sts22orlandofl,"[13, 15]","[15, 17]",Premier 5.0+
Rio Boys,2 Fungis,9th place,sts22orlandofl,"[21, 21]","[10, 10]",Premier 5.0+
2 Fungis,Chilly Chillies,P13: Final,sts22orlandofl,"[-1, -1, -1]","[-1, -1, -1]",Premier 5.0+
Cryptid,Jam Session,P17: Round of 16,sts22orlandofl,"[13, 15, 15]","[15, 12, 13]",Premier 5.0+
Lake Titicaca,GingerBread Men,P17: Round of 16,sts22orlandofl,"[0, 0]","[1, 1]",Premier 5.0+
TWINZ,Boost,P17: Round of 16,sts22orlandofl,"[0, 0]","[1, 1]",Premier 5.0+
Kahooters,Cryptid,P17: Quarter-finals,sts22orlandofl,"[-1, -1, -1]","[-1, -1, -1]",Premier 5.0+
GingerBread Men,Boost,P17: Quarter-finals,sts22orlandofl,"[1, 1]","[0, 0]",Premier 5.0+
The shark and minnow,Too Static,17th place,sts22orlandofl,"[-1, -1, -1]","[-1, -1, -1]",Premier 5.0+
Kiddos,Michael Barkman,19th place,sts22orlandofl,"[-1, -1, -1]","[-1, -1, -1]",Premier 5.0+
Bot House,Too Static,19th place,sts22orlandofl,"[0, 0]","[1, 1]",Premier 5.0+
TWINZ,Lake Titicaca,P25: Quarter-finals,sts22orlandofl,"[-1, -1, -1]","[-1, -1, -1]",Premier 5.0+
WheeLu Marry Me?,Automatic,Round of 32,sts22orlandofl,"[21, 21]","[7, 12]",Contender 4.5+
Anarchy,You sound like you're from LANDAN!,Round of 32,sts22orlandofl,"[0, 1, 0]","[1, 0, 1]",Contender 4.5+
EK.,The Yeagerists,Round of 32,sts22orlandofl,"[1, 1]","[0, 0]",Contender 4.5+
GG Boys,Candis,Round of 32,sts22orlandofl,"[1, 1]","[0, 0]",Contender 4.5+
Bingu!,Umm,Round of 32,sts22orlandofl,"[1, 1]","[0, 0]",Contender 4.5+
