Team 1,Team 2,Round,Tournament,Team 1 Scores,Team 2 Scores,Division
Finocchi Fitness,Boost,Round of 64,sts22philadelphiapa,"[21, 23]","[19, 21]",Premier 5.0+
Finocchi/Model,Finocchi Fitness,Round of 32,sts22philadelphiapa,"[21, 21]","[16, 14]",Premier 5.0+
Simply Smashing,Mermaid Sparkle,Round of 32,sts22philadelphiapa,"[15, 20]","[21, 22]",Premier 5.0+
True,Tulips 🌷,Round of 32,sts22philadelphiapa,"[21, 19, 17]","[16, 21, 21]",Premier 5.0+
SPV,Rain or Shine,Round of 32,sts22philadelphiapa,"[14, 16]","[21, 21]",Premier 5.0+
Creamy,Moppy,Round of 32,sts22philadelphiapa,"[21, 21]","[9, 15]",Premier 5.0+
Pocket Rockets,Boy Hsu Rous,Round of 32,sts22philadelphiapa,"[21, 17, 17]","[15, 21, 21]",Premier 5.0+
Profit Boost,Daly Cup of Jo,Round of 32,sts22philadelphiapa,"[21, 21]","[19, 19]",Premier 5.0+
Custard Rations,Swervie,Round of 32,sts22philadelphiapa,"[16, 8]","[21, 21]",Premier 5.0+
Finocchi/Model,Mermaid Sparkle,Round of 16,sts22philadelphiapa,"[21, 21]","[17, 14]",Premier 5.0+
Tulips 🌷,Rain or Shine,Round of 16,sts22philadelphiapa,"[16, 15]","[21, 21]",Premier 5.0+
Creamy,Boy Hsu Rous,Round of 16,sts22philadelphiapa,"[21, 24]","[18, 22]",Premier 5.0+
Profit Boost,Swervie,Round of 16,sts22philadelphiapa,"[14, 14]","[21, 21]",Premier 5.0+
Finocchi/Model,Rain or Shine,Quarter-finals,sts22philadelphiapa,"[21, 21]","[15, 17]",Premier 5.0+
Creamy,Swervie,Quarter-finals,sts22philadelphiapa,"[21, 21]","[19, 14]",Premier 5.0+
Finocchi/Model,Creamy,Semi-finals,sts22philadelphiapa,"[16, 21, 21]","[21, 17, 14]",Premier 5.0+
Bot House,Cigar Boys,Final,sts22philadelphiapa,"[15, 17]","[21, 21]",Premier 5.0+
Bot House,Wasabi,1st place,sts22philadelphiapa,"[21, 21]","[14, 19]",Premier 5.0+
Cigar Boys,Bazinga,1st place,sts22philadelphiapa,"[21, 24, 21]","[18, 26, 17]",Premier 5.0+
Bot House,Thirty/Forty Seven,3rd place,sts22philadelphiapa,"[21, 21]","[19, 16]",Premier 5.0+
Psych,Wasabi,3rd place,sts22philadelphiapa,"[19, 18]","[21, 21]",Premier 5.0+
Cigar Boys,Cisek/Picone,3rd place,sts22philadelphiapa,"[21, 21]","[13, 16]",Premier 5.0+
Sub-Zero,Bazinga,3rd place,sts22philadelphiapa,"[19, 18]","[21, 21]",Premier 5.0+
Bot House,PBR Sleepy in Seattle,Semi-finals,sts22philadelphiapa,"[21, 21]","[15, 13]",Premier 5.0+
Thirty/Forty Seven,Lethal Rumpus,Semi-finals,sts22philadelphiapa,"[17, 21, 21]","[21, 19, 14]",Premier 5.0+
Psych,No Free Clout,Semi-finals,sts22philadelphiapa,"[21, 21]","[18, 17]",Premier 5.0+
Joe's Bagels,Wasabi,Semi-finals,sts22philadelphiapa,"[13, 16]","[21, 21]",Premier 5.0+
Cigar Boys,Lateral Epicondylitis,Semi-finals,sts22philadelphiapa,"[0, 1, 1]","[1, 0, 0]",Premier 5.0+
Virginia Beach Roundnet,Cisek/Picone,Semi-finals,sts22philadelphiapa,"[19, 17]","[21, 21]",Premier 5.0+
Sub-Zero,Bingu!,Semi-finals,sts22philadelphiapa,"[19, 21, 32]","[21, 19, 30]",Premier 5.0+
Endurance,Bazinga,Semi-finals,sts22philadelphiapa,"[11, 13]","[21, 21]",Premier 5.0+
Spork & Tongs,PBR Sleepy in Seattle,Quarter-finals,sts22philadelphiapa,"[21, 17, 20]","[16, 21, 22]",Premier 5.0+
Lateral Epicondylitis,"{Free, Heid}man",Quarter-finals,sts22philadelphiapa,"[21, 21]","[14, 10]",Premier 5.0+
Swervie,Rain or Shine,P5: Semi-finals,sts22philadelphiapa,"[-1, -1, -1]","[-1, -1, -1]",Premier 5.0+
Bazinga,Wasabi,P5: Final,sts22philadelphiapa,"[-1, -1, -1]","[-1, -1, -1]",Premier 5.0+
Tulips 🌷,Mermaid Sparkle,P9: Quarter-finals,sts22philadelphiapa,"[-1, -1, -1]","[-1, -1, -1]",Premier 5.0+
Profit Boost,Boy Hsu Rous,P9: Quarter-finals,sts22philadelphiapa,"[1, 1]","[0, 0]",Premier 5.0+
Psych,Thirty/Forty Seven,9th place,sts22philadelphiapa,"[21, 21]","[15, 15]",Premier 5.0+
Sub-Zero,Cisek/Picone,9th place,sts22philadelphiapa,"[-1, -1, -1]","[-1, -1, -1]",Premier 5.0+
Simply Smashing,Finocchi Fitness,P17: Round of 16,sts22philadelphiapa,"[-1, -1, -1]","[-1, -1, -1]",Premier 5.0+
True,SPV,P17: Round of 16,sts22philadelphiapa,"[-1, -1, -1]","[-1, -1, -1]",Premier 5.0+
Pocket Rockets,Moppy,P17: Round of 16,sts22philadelphiapa,"[1, 1]","[0, 0]",Premier 5.0+
Daly Cup of Jo,Custard Rations,P17: Round of 16,sts22philadelphiapa,"[1, 1]","[0, 0]",Premier 5.0+
Pocket Rockets,Daly Cup of Jo,P17: Quarter-finals,sts22philadelphiapa,"[0, 0]","[1, 1]",Premier 5.0+
Lethal Rumpus,PBR Sleepy in Seattle,19th place,sts22philadelphiapa,"[-1, -1, -1]","[-1, -1, -1]",Premier 5.0+
No Free Clout,Joe's Bagels,19th place,sts22philadelphiapa,"[-1, -1, -1]","[-1, -1, -1]",Premier 5.0+
Virginia Beach Roundnet,Lateral Epicondylitis,19th place,sts22philadelphiapa,"[-1, -1, -1]","[-1, -1, -1]",Premier 5.0+
Bingu!,Endurance,19th place,sts22philadelphiapa,"[21, 21]","[18, 17]",Premier 5.0+
Custard Rations,Moppy,P25: Quarter-finals,sts22philadelphiapa,"[-1, -1, -1]","[-1, -1, -1]",Premier 5.0+
Spork & Tongs,"{Free, Heid}man",P33: Final,sts22philadelphiapa,"[-1, -1, -1]","[-1, -1, -1]",Premier 5.0+
Spork & Tongs,"{Free, Heid}man",P33: Final,sts22philadelphiapa,"[-1, -1, -1]","[-1, -1, -1]",Premier 5.0+
Lucky 3,Backdoor Protein,Round of 32,sts22philadelphiapa,"[21, 21]","[15, 13]",Contender 4.5+
Two Pump Chumps,Flick Ross,Round of 32,sts22philadelphiapa,"[16, 19]","[21, 21]",Contender 4.5+
Just Tappp it On,Zero Dark Thirty,Round of 32,sts22philadelphiapa,"[21, 15, 21]","[15, 21, 16]",Contender 4.5+
Unnecessary Layouts,All Gas No Brakes,Round of 32,sts22philadelphiapa,"[17, 21, 21]","[21, 14, 16]",Contender 4.5+
Shiloh,Park/Beard,Round of 32,sts22philadelphiapa,"[21, 21]","[16, 13]",Contender 4.5+
White Lotus Roundnet,Old Dad State,Round of 32,sts22philadelphiapa,"[21, 19, 16]","[18, 21, 21]",Contender 4.5+
Terrible Terrapins,Galacticats,Round of 32,sts22philadelphiapa,"[0, 0]","[1, 1]",Contender 4.5+
LafSpikes,Aspiring Contenders,Round of 32,sts22philadelphiapa,"[21, 21]","[15, 13]",Contender 4.5+
Lucky 3,Flick Ross,Round of 16,sts22philadelphiapa,"[21, 21]","[16, 19]",Contender 4.5+
Just Tappp it On,Unnecessary Layouts,Round of 16,sts22philadelphiapa,"[17, 21, 18]","[21, 19, 21]",Contender 4.5+
Shiloh,Old Dad State,Round of 16,sts22philadelphiapa,"[24, 21]","[22, 12]",Contender 4.5+
Galacticats,LafSpikes,Round of 16,sts22philadelphiapa,"[1, 1]","[0, 0]",Contender 4.5+
Lucky 3,Unnecessary Layouts,Quarter-finals,sts22philadelphiapa,"[18, 22, 22]","[21, 20, 20]",Contender 4.5+
Shiloh,Galacticats,Quarter-finals,sts22philadelphiapa,"[21, 21]","[14, 17]",Contender 4.5+
Lucky 3,Shiloh,Semi-finals,sts22philadelphiapa,"[15, 21, 17]","[21, 19, 21]",Contender 4.5+
You can't skip lunch,Yomp,Final,sts22philadelphiapa,"[19, 16]","[21, 21]",Contender 4.5+
LL Come and Go,You can't skip lunch,1st place,sts22philadelphiapa,"[21, 20, 18]","[17, 22, 21]",Contender 4.5+
Yomp,Anomaly,1st place,sts22philadelphiapa,"[21, 21]","[17, 17]",Contender 4.5+
LL Come and Go,Try 2,3rd place,sts22philadelphiapa,"[21, 21]","[13, 15]",Contender 4.5+
You can't skip lunch,Allergy Free Table,3rd place,sts22philadelphiapa,"[21, 14, 21]","[19, 21, 18]",Contender 4.5+
Yomp,Jersey Boyz,3rd place,sts22philadelphiapa,"[21, 21]","[18, 16]",Contender 4.5+
Anomaly,If You’re Reeding This It’s Too Late,3rd place,sts22philadelphiapa,"[1, 1]","[0, 0]",Contender 4.5+
LL Come and Go,Bo Jondi Fan Club,Semi-finals,sts22philadelphiapa,"[21, 21]","[15, 10]",Contender 4.5+
Try 2,Beard and Bowl,Semi-finals,sts22philadelphiapa,"[21, 21]","[15, 18]",Contender 4.5+
You can't skip lunch,Ya Like Jazz?,Semi-finals,sts22philadelphiapa,"[23, 23, 23]","[21, 25, 21]",Contender 4.5+
Allergy Free Table,High Guys,Semi-finals,sts22philadelphiapa,"[21, 25]","[17, 23]",Contender 4.5+
Yomp,Moisty Mire,Semi-finals,sts22philadelphiapa,"[21, 21]","[18, 16]",Contender 4.5+
The Friend Bros,Jersey Boyz,Semi-finals,sts22philadelphiapa,"[17, 17]","[21, 21]",Contender 4.5+
Anomaly,Paul/Rehman,Semi-finals,sts22philadelphiapa,"[0, 1, 1]","[1, 0, 0]",Contender 4.5+
Monkey Business,If You’re Reeding This It’s Too Late,Semi-finals,sts22philadelphiapa,"[11, 19]","[21, 21]",Contender 4.5+
Galacticats,Unnecessary Layouts,P5: Semi-finals,sts22philadelphiapa,"[-1, -1, -1]","[-1, -1, -1]",Contender 4.5+
Anomaly,LL Come and Go,P5: Final,sts22philadelphiapa,"[-1, -1, -1]","[-1, -1, -1]",Contender 4.5+
Just Tappp it On,Flick Ross,P9: Quarter-finals,sts22philadelphiapa,"[-1, -1, -1]","[-1, -1, -1]",Contender 4.5+
LafSpikes,Old Dad State,P9: Quarter-finals,sts22philadelphiapa,"[-1, -1, -1]","[-1, -1, -1]",Contender 4.5+
Allergy Free Table,Try 2,9th place,sts22philadelphiapa,"[-1, -1, -1]","[-1, -1, -1]",Contender 4.5+
If You’re Reeding This It’s Too Late,Jersey Boyz,9th place,sts22philadelphiapa,"[-1, -1, -1]","[-1, -1, -1]",Contender 4.5+
Two Pump Chumps,Backdoor Protein,P17: Round of 16,sts22philadelphiapa,"[-1, -1, -1]","[-1, -1, -1]",Contender 4.5+
Zero Dark Thirty,All Gas No Brakes,P17: Round of 16,sts22philadelphiapa,"[-1, -1, -1]","[-1, -1, -1]",Contender 4.5+
White Lotus Roundnet,Park/Beard,P17: Round of 16,sts22philadelphiapa,"[-1, -1, -1]","[-1, -1, -1]",Contender 4.5+
Terrible Terrapins,Aspiring Contenders,P17: Round of 16,sts22philadelphiapa,"[21, 21]","[17, 15]",Contender 4.5+
Beard and Bowl,Bo Jondi Fan Club,19th place,sts22philadelphiapa,"[-1, -1, -1]","[-1, -1, -1]",Contender 4.5+
Ya Like Jazz?,High Guys,19th place,sts22philadelphiapa,"[-1, -1, -1]","[-1, -1, -1]",Contender 4.5+
The Friend Bros,Moisty Mire,19th place,sts22philadelphiapa,"[-1, -1, -1]","[-1, -1, -1]",Contender 4.5+
Paul/Rehman,Monkey Business,19th place,sts22philadelphiapa,"[-1, -1, -1]","[-1, -1, -1]",Contender 4.5+
Brick Wall,Kumar and Kumar,Round of 32,sts22philadelphiapa,"[17, 19]","[21, 21]",Contender 4.5+
Do2,Hot Balls,Round of 32,sts22philadelphiapa,"[21, 21]","[10, 14]",Contender 4.5+
The Forbidden Condiments,Stampede,Round of 32,sts22philadelphiapa,"[1, 1]","[0, 0]",Contender 4.5+
C Bracket Warriors,WetMeds,Round of 32,sts22philadelphiapa,"[21, 21]","[17, 10]",Contender 4.5+
M&M,Yucky,Round of 32,sts22philadelphiapa,"[21, 20, 21]","[18, 22, 15]",Contender 4.5+
Bish Ball,Banana Ball,Round of 32,sts22philadelphiapa,"[18, 21, 15]","[21, 18, 21]",Contender 4.5+
Domesticated Chickens,Broke Boiz,Round of 32,sts22philadelphiapa,"[23, 21]","[21, 14]",Contender 4.5+
Casey/Deedy,Kumar and Kumar,Round of 16,sts22philadelphiapa,"[13, 14]","[21, 21]",Contender 4.5+
Do2,The Forbidden Condiments,Round of 16,sts22philadelphiapa,"[0, 0]","[1, 1]",Contender 4.5+
C Bracket Warriors,M&M,Round of 16,sts22philadelphiapa,"[21, 21]","[14, 19]",Contender 4.5+
Banana Ball,Domesticated Chickens,Round of 16,sts22philadelphiapa,"[21, 20, 21]","[19, 22, 18]",Contender 4.5+
Kumar and Kumar,The Forbidden Condiments,Quarter-finals,sts22philadelphiapa,"[0, 0]","[1, 1]",Contender 4.5+
C Bracket Warriors,Banana Ball,Quarter-finals,sts22philadelphiapa,"[18, 16]","[21, 21]",Contender 4.5+
The Forbidden Condiments,Banana Ball,Semi-finals,sts22philadelphiapa,"[0, 0]","[21, 21]",Contender 4.5+
Uh-Oh! Somersault Jump.,Bird Ball,Final,sts22philadelphiapa,"[15, 21, 0]","[21, 13, 1]",Contender 4.5+
Uh-Oh! Somersault Jump.,Knights of the Roundnet,1st place,sts22philadelphiapa,"[21, 16, 21]","[15, 21, 16]",Contender 4.5+
