Team Name,Wins,Losses,Result,Division,Tournament
Swervie,8,0,1,Premier 5.0+,sts22raleighnc
Bad Combo,7,1,2,Premier 5.0+,sts22raleighnc
Creamy,8,2,3,Premier 5.0+,sts22raleighnc
Mermaid Sparkle,7,2,4,Premier 5.0+,sts22raleighnc
Power Wagon,6,1,5,Premier 5.0+,sts22raleighnc
Bot House,6,2,5,Premier 5.0+,sts22raleighnc
Bazinga,5,1,5,Premier 5.0+,sts22raleighnc
Chilly Chillies,5,2,5,Premier 5.0+,sts22raleighnc
Glizzy Gladiators,5,4,9,Premier 5.0+,sts22raleighnc
Perlson/Daly,6,3,9,Premier 5.0+,sts22raleighnc
Handy Andy’s,5,4,9,Premier 5.0+,sts22raleighnc
KinkStart,3,5,9,Premier 5.0+,sts22raleighnc
Khaki Shorts,3,4,13,Premier 5.0+,sts22raleighnc
Sonic Boomers,3,5,13,Premier 5.0+,sts22raleighnc
Almost Grahams,3,4,13,Premier 5.0+,sts22raleighnc
Hedge Trimmers,4,4,13,Premier 5.0+,sts22raleighnc
Carry Walsh,4,4,17,Premier 5.0+,sts22raleighnc
Reid’s getting premier,2,6,17,Premier 5.0+,sts22raleighnc
Cryptid,2,3,17,Premier 5.0+,sts22raleighnc
Slack,1,5,17,Premier 5.0+,sts22raleighnc
Denial,0,5,17,Premier 5.0+,sts22raleighnc
Boom Switch,2,5,17,Premier 5.0+,sts22raleighnc
Bull City,1,5,23,Premier 5.0+,sts22raleighnc
Rally Alpacas,2,4,23,Premier 5.0+,sts22raleighnc
Bam’s Tums,1,6,23,Premier 5.0+,sts22raleighnc
The Rookies 2.0,0,7,26,Premier 5.0+,sts22raleighnc
J Chillin,1,6,26,Premier 5.0+,sts22raleighnc
Martin/Pleszkoch,9,0,1,Contender 4.5+,sts22raleighnc
Don't skip leg day,9,1,2,Contender 4.5+,sts22raleighnc
Lil Stitious,7,2,3,Contender 4.5+,sts22raleighnc
Tazzmires,7,2,4,Contender 4.5+,sts22raleighnc
Big Dig Energy,6,2,5,Contender 4.5+,sts22raleighnc
Off Day,5,2,5,Contender 4.5+,sts22raleighnc
Pinpoint Accuracy,5,2,5,Contender 4.5+,sts22raleighnc
Knights of the Round Net,5,2,5,Contender 4.5+,sts22raleighnc
Billy Bubbin,3,3,9,Contender 4.5+,sts22raleighnc
Blaze,4,2,9,Contender 4.5+,sts22raleighnc
Turf Scar,5,1,9,Contender 4.5+,sts22raleighnc
Thunderspank,4,2,9,Contender 4.5+,sts22raleighnc
Two of a Kind,3,2,9,Contender 4.5+,sts22raleighnc
Parceros,4,2,9,Contender 4.5+,sts22raleighnc
All Gas No Brakes,6,1,9,Contender 4.5+,sts22raleighnc
NC State Spike,2,4,9,Contender 4.5+,sts22raleighnc
Wetball spikes,2,2,17,Contender 4.5+,sts22raleighnc
City Boys,2,3,17,Contender 4.5+,sts22raleighnc
fireball kwanzaa,3,2,17,Contender 4.5+,sts22raleighnc
BikeSpall,4,1,17,Contender 4.5+,sts22raleighnc
Walmart Wolves,4,2,17,Contender 4.5+,sts22raleighnc
Coy Barnes Fan Club,2,4,17,Contender 4.5+,sts22raleighnc
Monkey Business,2,3,17,Contender 4.5+,sts22raleighnc
Aspiring Contenders,2,4,17,Contender 4.5+,sts22raleighnc
Shaquille Oatmeal,2,3,17,Contender 4.5+,sts22raleighnc
Two Friends,2,4,17,Contender 4.5+,sts22raleighnc
Juke Jam,3,2,17,Contender 4.5+,sts22raleighnc
Double Fault,1,4,17,Contender 4.5+,sts22raleighnc
Go Fish,2,3,17,Contender 4.5+,sts22raleighnc
Sour Patch Kids,2,4,17,Contender 4.5+,sts22raleighnc
Name Pending,2,2,17,Contender 4.5+,sts22raleighnc
Swag,1,4,17,Contender 4.5+,sts22raleighnc
Noah/Elijah,5,4,33,Contender 4.5+,sts22raleighnc
Domino Effect,3,4,34,Contender 4.5+,sts22raleighnc
Djibouti Schnitzels,4,4,35,Contender 4.5+,sts22raleighnc
Harry Quads,3,5,36,Contender 4.5+,sts22raleighnc
Subway Surfers,2,5,37,Contender 4.5+,sts22raleighnc
10-4,1,4,37,Contender 4.5+,sts22raleighnc
Lazy bros,1,5,37,Contender 4.5+,sts22raleighnc
The Last Drop,2,5,37,Contender 4.5+,sts22raleighnc
Lauser / Venkatraman,0,5,41,Contender 4.5+,sts22raleighnc
Corn Tortillas,0,5,41,Contender 4.5+,sts22raleighnc
Conglomerate,0,4,41,Contender 4.5+,sts22raleighnc
Chornobyl,1,5,41,Contender 4.5+,sts22raleighnc
Mike Hawk,0,5,41,Contender 4.5+,sts22raleighnc
Ball Busters,0,5,41,Contender 4.5+,sts22raleighnc
Two Ball Tuesday,5,2,1,Advanced 4.0,sts22raleighnc
Backyard Bros,6,1,2,Advanced 4.0,sts22raleighnc
Ball Blasters,6,1,3,Advanced 4.0,sts22raleighnc
Green Peppers🫑,3,4,4,Advanced 4.0,sts22raleighnc
Mermaid Man and Barnacle Boy,5,2,5,Advanced 4.0,sts22raleighnc
Lazy Roundnet,3,5,6,Advanced 4.0,sts22raleighnc
D5 Athletes,4,4,7,Advanced 4.0,sts22raleighnc
Dora and Spongebob: The Remix,2,5,8,Advanced 4.0,sts22raleighnc
MBR Initiative,1,5,9,Advanced 4.0,sts22raleighnc
Bums,0,6,10,Advanced 4.0,sts22raleighnc
TWINZ,6,0,1,Women's Advanced 4.0+,sts22raleighnc
Graham/Rogers,4,2,2,Women's Advanced 4.0+,sts22raleighnc
Biggie Smalls,3,3,3,Women's Advanced 4.0+,sts22raleighnc
Almost a Jazz Band,1,5,4,Women's Advanced 4.0+,sts22raleighnc
Free Ballin’,3,2,5,Women's Advanced 4.0+,sts22raleighnc
Lime & Salt,2,3,5,Women's Advanced 4.0+,sts22raleighnc
Florabama,4,2,5,Women's Advanced 4.0+,sts22raleighnc
besties 👯‍♀️,3,4,5,Women's Advanced 4.0+,sts22raleighnc
A to Z,0,5,9,Women's Advanced 4.0+,sts22raleighnc
Tyland,9,1,1,Intermediate 3.0,sts22raleighnc
Bad Hombres,7,3,2,Intermediate 3.0,sts22raleighnc
Lobster Traps,7,2,3,Intermediate 3.0,sts22raleighnc
CWR,7,2,4,Intermediate 3.0,sts22raleighnc
Bishops,7,2,5,Intermediate 3.0,sts22raleighnc
Knights of Thiqkington,5,3,6,Intermediate 3.0,sts22raleighnc
Something Witty,5,3,6,Intermediate 3.0,sts22raleighnc
The Big Doubles,3,6,6,Intermediate 3.0,sts22raleighnc
Setters of Catan,2,5,9,Intermediate 3.0,sts22raleighnc
Booger Munchers,3,4,9,Intermediate 3.0,sts22raleighnc
Simply Bad,2,6,9,Intermediate 3.0,sts22raleighnc
Mike Hawk,1,6,9,Intermediate 3.0,sts22raleighnc
Monkey Bizniss,0,7,9,Intermediate 3.0,sts22raleighnc
TBD,0,8,14,Intermediate 3.0,sts22raleighnc
TRP Golden Hour,9,0,1,Coed Advanced 4.0+,sts22raleighnc
Jaskier’s Groupies,7,1,2,Coed Advanced 4.0+,sts22raleighnc
Bag of Chips,6,2,3,Coed Advanced 4.0+,sts22raleighnc
Graham/Drake,5,3,4,Coed Advanced 4.0+,sts22raleighnc
PolkCrastinators,4,4,5,Coed Advanced 4.0+,sts22raleighnc
Village Idiots,4,4,6,Coed Advanced 4.0+,sts22raleighnc
Crime Green Investigation,4,3,7,Coed Advanced 4.0+,sts22raleighnc
Birthday Spankings,5,3,7,Coed Advanced 4.0+,sts22raleighnc
Summers Spike Young Edition,4,4,9,Coed Advanced 4.0+,sts22raleighnc
The parents,2,7,10,Coed Advanced 4.0+,sts22raleighnc
24 seven,1,6,11,Coed Advanced 4.0+,sts22raleighnc
Zhu Wee Mama,3,5,11,Coed Advanced 4.0+,sts22raleighnc
Pretzels,1,5,13,Coed Advanced 4.0+,sts22raleighnc
Not so gorgeous and Alli,2,4,13,Coed Advanced 4.0+,sts22raleighnc
Purple Corn,1,6,13,Coed Advanced 4.0+,sts22raleighnc
Big Smallies,3,4,13,Coed Advanced 4.0+,sts22raleighnc
Entertainment 720,6,0,1,Coed Intermediate 2.0-3.0,sts22raleighnc
Outspike,5,1,2,Coed Intermediate 2.0-3.0,sts22raleighnc
Justin and Selena,3,3,3,Coed Intermediate 2.0-3.0,sts22raleighnc
Old Money,4,2,0,Coed Intermediate 2.0-3.0,sts22raleighnc
