Team 1,Team 2,Round,Tournament,Team 1 Scores,Team 2 Scores,Division
Rice Jam,git reverse,Round of 32,sts22saltlakecityut,"[21, 19, 19]","[18, 21, 21]",Premier 5.0+
WagMurr TVR,Tyler & Isaiah,Round of 32,sts22saltlakecityut,"[21, 21]","[13, 18]",Premier 5.0+
Montana Moose Riders,Fine Dining & Breathing,Round of 32,sts22saltlakecityut,"[21, 21]","[17, 17]",Premier 5.0+
Kingdom Come,git reverse,Round of 16,sts22saltlakecityut,"[21, 21]","[13, 14]",Premier 5.0+
TRP Bendy Straw,Sweet life of Zayne and Cody,Round of 16,sts22saltlakecityut,"[21, 21]","[18, 16]",Premier 5.0+
Protect ya neck,WagMurr TVR,Round of 16,sts22saltlakecityut,"[21, 21]","[11, 13]",Premier 5.0+
Montana Moose Riders,Our Crocs are in Sport Mode,Round of 16,sts22saltlakecityut,"[18, 17]","[21, 21]",Premier 5.0+
Kingdom Come,TRP Bendy Straw,Quarter-finals,sts22saltlakecityut,"[21, 21]","[17, 18]",Premier 5.0+
Protect ya neck,Our Crocs are in Sport Mode,Quarter-finals,sts22saltlakecityut,"[21, 21]","[17, 17]",Premier 5.0+
Kingdom Come,Protect ya neck,Semi-finals,sts22saltlakecityut,"[19, 21, 16]","[21, 13, 21]",Premier 5.0+
Psych,Double Sauce,Final,sts22saltlakecityut,"[17, 21, 16]","[21, 18, 21]",Premier 5.0+
Psych,pinto.,1st place,sts22saltlakecityut,"[21, 29, 21]","[16, 31, 17]",Premier 5.0+
Double Sauce,Rice and beans,1st place,sts22saltlakecityut,"[22, 16, 21]","[20, 21, 19]",Premier 5.0+
Psych,"No sugar, Mo problems",3rd place,sts22saltlakecityut,"[23, 18, 21]","[21, 21, 17]",Premier 5.0+
Preme babies,pinto.,3rd place,sts22saltlakecityut,"[14, 15]","[21, 21]",Premier 5.0+
Double Sauce,Mono love,3rd place,sts22saltlakecityut,"[23, 21]","[21, 16]",Premier 5.0+
"Depression, Cheez-Its, and Cargo Shorts",Rice and beans,3rd place,sts22saltlakecityut,"[15, 14]","[21, 21]",Premier 5.0+
"No sugar, Mo problems",Movement,Semi-finals,sts22saltlakecityut,"[21, 15, 21]","[17, 21, 18]",Premier 5.0+
Mono love,DGAF,Semi-finals,sts22saltlakecityut,"[21, 19, 21]","[12, 21, 13]",Premier 5.0+
Our Crocs are in Sport Mode,TRP Bendy Straw,P5: Semi-finals,sts22saltlakecityut,"[-1, -1, -1]","[-1, -1, -1]",Premier 5.0+
