Team Name,Wins,Losses,Result,Division,Tournament
Double Clutch,6,0,1,Premier 5.0+,sts22sanfranciscoca
Assistive Touch,6,1,2,Premier 5.0+,sts22sanfranciscoca
WySpike Bully Maguire,6,1,3,Premier 5.0+,sts22sanfranciscoca
Cruise Control,5,2,4,Premier 5.0+,sts22sanfranciscoca
TRP Donkey Hoss,4,1,5,Premier 5.0+,sts22sanfranciscoca
Wonky Sauce,3,2,5,Premier 5.0+,sts22sanfranciscoca
How to Roundnet,4,1,5,Premier 5.0+,sts22sanfranciscoca
Air Buds,3,1,5,Premier 5.0+,sts22sanfranciscoca
WySpike Synergy,2,2,9,Premier 5.0+,sts22sanfranciscoca
Yip Yip,2,2,9,Premier 5.0+,sts22sanfranciscoca
Swamp Donkeys,2,2,9,Premier 5.0+,sts22sanfranciscoca
Fibonacci Roundnet,2,2,9,Premier 5.0+,sts22sanfranciscoca
Foote / Oswalt,2,2,9,Premier 5.0+,sts22sanfranciscoca
Hsu Chef,2,2,9,Premier 5.0+,sts22sanfranciscoca
Rain or Shine,4,3,15,Premier 5.0+,sts22sanfranciscoca
Pathos,3,4,16,Premier 5.0+,sts22sanfranciscoca
Women’s Roundnet,3,3,17,Premier 5.0+,sts22sanfranciscoca
Fresh Cut Serves,2,5,18,Premier 5.0+,sts22sanfranciscoca
Funky Monkeys,1,4,19,Premier 5.0+,sts22sanfranciscoca
The shark and minnow,1,3,19,Premier 5.0+,sts22sanfranciscoca
Los & Len,2,3,19,Premier 5.0+,sts22sanfranciscoca
Première Fois,1,4,19,Premier 5.0+,sts22sanfranciscoca
ReinkeRoundnet TTV,2,4,23,Premier 5.0+,sts22sanfranciscoca
Do a Barrel Roll,1,3,24,Premier 5.0+,sts22sanfranciscoca
Quantum State Koalas,1,3,24,Premier 5.0+,sts22sanfranciscoca
Rennie's on a Monday,1,3,24,Premier 5.0+,sts22sanfranciscoca
Nexus,0,5,24,Premier 5.0+,sts22sanfranciscoca
That was a Freakin Disaster,1,4,28,Premier 5.0+,sts22sanfranciscoca
xdXtraStankMonkyxd.ttv,11,0,1,Contender 4.5+,sts22sanfranciscoca
SIUUUUUUUUUUUUUUUUU,9,2,2,Contender 4.5+,sts22sanfranciscoca
Yellow Fever,9,1,3,Contender 4.5+,sts22sanfranciscoca
Two Ships In The Night,7,2,0,Contender 4.5+,sts22sanfranciscoca
Lanky panky,7,2,5,Contender 4.5+,sts22sanfranciscoca
Truck Stop,8,1,5,Contender 4.5+,sts22sanfranciscoca
Jake²,6,3,7,Contender 4.5+,sts22sanfranciscoca
OxenKin,6,3,7,Contender 4.5+,sts22sanfranciscoca
GChico,5,2,9,Contender 4.5+,sts22sanfranciscoca
The Disciples,4,3,9,Contender 4.5+,sts22sanfranciscoca
Spicy Latte,5,3,9,Contender 4.5+,sts22sanfranciscoca
For the Culture,4,3,9,Contender 4.5+,sts22sanfranciscoca
All Butter No Nut,4,2,9,Contender 4.5+,sts22sanfranciscoca
Hey waisguy,4,3,9,Contender 4.5+,sts22sanfranciscoca
Dive Hard,5,2,9,Contender 4.5+,sts22sanfranciscoca
Semi-Dialed,4,3,9,Contender 4.5+,sts22sanfranciscoca
The Knight is Collins,3,6,17,Contender 4.5+,sts22sanfranciscoca
Average Joes,4,4,17,Contender 4.5+,sts22sanfranciscoca
GZ Money,3,4,17,Contender 4.5+,sts22sanfranciscoca
Gabe,1,5,17,Contender 4.5+,sts22sanfranciscoca
iSpike,4,3,17,Contender 4.5+,sts22sanfranciscoca
HENCH MAFIA,1,5,17,Contender 4.5+,sts22sanfranciscoca
LBP,3,4,17,Contender 4.5+,sts22sanfranciscoca
Trebuchet,2,5,17,Contender 4.5+,sts22sanfranciscoca
Pho Kings,3,3,17,Contender 4.5+,sts22sanfranciscoca
Just Aids,0,5,17,Contender 4.5+,sts22sanfranciscoca
Cross State Boarders,2,3,17,Contender 4.5+,sts22sanfranciscoca
Big Ben n’ Thick Nic,1,5,17,Contender 4.5+,sts22sanfranciscoca
First Rounded,3,5,29,Contender 4.5+,sts22sanfranciscoca
TexMex,2,6,29,Contender 4.5+,sts22sanfranciscoca
Thoroughly Perplexed,3,5,29,Contender 4.5+,sts22sanfranciscoca
FOR INDIA,3,4,29,Contender 4.5+,sts22sanfranciscoca
Tasmanian Devils,1,5,33,Contender 4.5+,sts22sanfranciscoca
more is better,0,5,34,Contender 4.5+,sts22sanfranciscoca
Bank of America,1,6,34,Contender 4.5+,sts22sanfranciscoca
Kim/Moldovsky,0,6,34,Contender 4.5+,sts22sanfranciscoca
Spikeball Shawties,0,7,37,Contender 4.5+,sts22sanfranciscoca
Biggie Smalls,5,1,1,Women's Advanced 4.0+,sts22sanfranciscoca
KickStart,5,1,2,Women's Advanced 4.0+,sts22sanfranciscoca
THUS Parabatai,3,3,3,Women's Advanced 4.0+,sts22sanfranciscoca
Traveling Spikettes,2,5,4,Women's Advanced 4.0+,sts22sanfranciscoca
Ballerz,0,5,5,Women's Advanced 4.0+,sts22sanfranciscoca
SLNM,8,0,1,Intermediate 3.0,sts22sanfranciscoca
RnR,8,1,2,Intermediate 3.0,sts22sanfranciscoca
Shift Team,6,2,3,Intermediate 3.0,sts22sanfranciscoca
NDSU Team #1,8,2,4,Intermediate 3.0,sts22sanfranciscoca
Squirtle Squad,4,3,5,Intermediate 3.0,sts22sanfranciscoca
$$ KA-CHING $$,5,3,5,Intermediate 3.0,sts22sanfranciscoca
G Major Suspended,4,5,7,Intermediate 3.0,sts22sanfranciscoca
Dive Buddies,6,3,7,Intermediate 3.0,sts22sanfranciscoca
Need a ride?,3,4,9,Intermediate 3.0,sts22sanfranciscoca
Lucky Pockets,5,3,9,Intermediate 3.0,sts22sanfranciscoca
Goomba Stomp,3,4,9,Intermediate 3.0,sts22sanfranciscoca
The Lads,3,3,9,Intermediate 3.0,sts22sanfranciscoca
Sunsetters,1,6,9,Intermediate 3.0,sts22sanfranciscoca
Sun Sets & Mikes Spikes,1,6,14,Intermediate 3.0,sts22sanfranciscoca
The Give-Yang Trees,3,6,14,Intermediate 3.0,sts22sanfranciscoca
Super Spike Bros,2,5,14,Intermediate 3.0,sts22sanfranciscoca
Spike 209,2,6,17,Intermediate 3.0,sts22sanfranciscoca
Oaktown Spike,0,8,18,Intermediate 3.0,sts22sanfranciscoca
