Team 1,Team 2,Round,Tournament,Team 1 Scores,Team 2 Scores,Division
Wonky Sauce,WySpike Synergy,Round of 16,sts22sanfranciscoca,"[21, 21]","[13, 15]",Premier 5.0+
TRP Donkey Hoss,Hsu Chef,Round of 16,sts22sanfranciscoca,"[21, 19, 21]","[18, 21, 9]",Premier 5.0+
WySpike Bully Maguire,Foote / Oswalt,Round of 16,sts22sanfranciscoca,"[21, 17, 21]","[15, 21, 18]",Premier 5.0+
Double Clutch,Wonky Sauce,Quarter-finals,sts22sanfranciscoca,"[21, 21]","[17, 17]",Premier 5.0+
TRP Donkey Hoss,WySpike Bully Maguire,Quarter-finals,sts22sanfranciscoca,"[19, 17]","[21, 21]",Premier 5.0+
Double Clutch,WySpike Bully Maguire,Semi-finals,sts22sanfranciscoca,"[21, 29, 21]","[18, 31, 18]",Premier 5.0+
Cruise Control,Assistive Touch,Final,sts22sanfranciscoca,"[20, 16]","[22, 21]",Premier 5.0+
Air Buds,Cruise Control,1st place,sts22sanfranciscoca,"[18, 21, 16]","[21, 18, 21]",Premier 5.0+
Assistive Touch,How to Roundnet,1st place,sts22sanfranciscoca,"[21, 24]","[14, 22]",Premier 5.0+
Cruise Control,Yip Yip,3rd place,sts22sanfranciscoca,"[21, 21]","[17, 14]",Premier 5.0+
Assistive Touch,Fibonacci Roundnet,3rd place,sts22sanfranciscoca,"[21, 21]","[15, 13]",Premier 5.0+
How to Roundnet,Swamp Donkeys,3rd place,sts22sanfranciscoca,"[24, 17, 21]","[22, 21, 18]",Premier 5.0+
TRP Donkey Hoss,Wonky Sauce,P5: Semi-finals,sts22sanfranciscoca,"[-1, -1, -1]","[-1, -1, -1]",Premier 5.0+
How to Roundnet,Air Buds,P5: Final,sts22sanfranciscoca,"[-1, -1, -1]","[-1, -1, -1]",Premier 5.0+
Foote / Oswalt,Hsu Chef,P9: Quarter-finals,sts22sanfranciscoca,"[-1, -1, -1]","[-1, -1, -1]",Premier 5.0+
Swamp Donkeys,Fibonacci Roundnet,9th place,sts22sanfranciscoca,"[-1, -1, -1]","[-1, -1, -1]",Premier 5.0+
Première Fois,Nexus,Round of 16,sts22sanfranciscoca,"[12, 21, 21]","[21, 18, 17]",Premier 5.0+
Los & Len,ReinkeRoundnet TTV,Round of 16,sts22sanfranciscoca,"[21, 21]","[17, 13]",Premier 5.0+
That was a Freakin Disaster,Pathos,Round of 16,sts22sanfranciscoca,"[15, 17]","[21, 21]",Premier 5.0+
Women’s Roundnet,Première Fois,Quarter-finals,sts22sanfranciscoca,"[24, 21]","[22, 18]",Premier 5.0+
Los & Len,Pathos,Quarter-finals,sts22sanfranciscoca,"[18, 14]","[21, 21]",Premier 5.0+
Women’s Roundnet,Pathos,Semi-finals,sts22sanfranciscoca,"[15, 24, 16]","[21, 22, 21]",Premier 5.0+
Fresh Cut Serves,Rain or Shine,Final,sts22sanfranciscoca,"[19, 22]","[21, 24]",Premier 5.0+
The shark and minnow,Fresh Cut Serves,1st place,sts22sanfranciscoca,"[15, 21]","[21, 23]",Premier 5.0+
Funky Monkeys,Rain or Shine,1st place,sts22sanfranciscoca,"[21, 17, 18]","[17, 21, 21]",Premier 5.0+
Do a Barrel Roll,Fresh Cut Serves,3rd place,sts22sanfranciscoca,"[19, 19]","[21, 21]",Premier 5.0+
Rennie's on a Monday,Funky Monkeys,3rd place,sts22sanfranciscoca,"[20, 13]","[22, 21]",Premier 5.0+
Quantum State Koalas,Rain or Shine,3rd place,sts22sanfranciscoca,"[14, 17]","[21, 21]",Premier 5.0+
Los & Len,Première Fois,P5: Semi-finals,sts22sanfranciscoca,"[-1, -1, -1]","[-1, -1, -1]",Premier 5.0+
Funky Monkeys,The shark and minnow,P5: Final,sts22sanfranciscoca,"[-1, -1, -1]","[-1, -1, -1]",Premier 5.0+
That was a Freakin Disaster,ReinkeRoundnet TTV,P9: Quarter-finals,sts22sanfranciscoca,"[0, 0]","[1, 1]",Premier 5.0+
Nexus,ReinkeRoundnet TTV,P9: Semi-finals,sts22sanfranciscoca,"[0, 0]","[1, 1]",Premier 5.0+
Quantum State Koalas,Rennie's on a Monday,9th place,sts22sanfranciscoca,"[-1, -1, -1]","[-1, -1, -1]",Premier 5.0+
xdXtraStankMonkyxd.ttv,The Knight is Collins,Round of 32,sts22sanfranciscoca,"[21, 21]","[11, 9]",Contender 4.5+
FOR INDIA,The Disciples,Round of 32,sts22sanfranciscoca,"[20, 13]","[22, 21]",Contender 4.5+
Lanky panky,Thoroughly Perplexed,Round of 32,sts22sanfranciscoca,"[21, 21]","[18, 15]",Contender 4.5+
