Team Name,Wins,Losses,Result,Division,Tournament
Wonky Sauce,8,1,1,Premier 5.0+,sts22seattlewa
Shifty,6,2,2,Premier 5.0+,sts22seattlewa
PNDubs,7,1,3,Premier 5.0+,sts22seattlewa
Michael Jackson,4,4,4,Premier 5.0+,sts22seattlewa
WagMurr TVR,5,3,5,Premier 5.0+,sts22seattlewa
Pathos,3,4,5,Premier 5.0+,sts22seattlewa
Montana Moose Riders,2,6,5,Premier 5.0+,sts22seattlewa
Solar Monkeys,4,4,5,Premier 5.0+,sts22seattlewa
Swamp Donkeys,8,1,9,Premier 5.0+,sts22seattlewa
Rennie's on a Monday,4,5,9,Premier 5.0+,sts22seattlewa
big D,5,3,9,Premier 5.0+,sts22seattlewa
Cobra Kai,3,5,9,Premier 5.0+,sts22seattlewa
Fundamental Franks,1,6,13,Premier 5.0+,sts22seattlewa
Do a Barrel Roll,1,6,13,Premier 5.0+,sts22seattlewa
Friends of OC,1,5,13,Premier 5.0+,sts22seattlewa
Deangle-Berries,3,4,13,Premier 5.0+,sts22seattlewa
Hot Jam,0,5,17,Premier 5.0+,sts22seattlewa
Lanky and Clanky,9,1,1,Contender 4.5+,sts22seattlewa
Kayvon Fan Club,9,1,2,Contender 4.5+,sts22seattlewa
White Willy,8,2,3,Contender 4.5+,sts22seattlewa
AZR PBR COB,6,5,4,Contender 4.5+,sts22seattlewa
Raw Dawgs,7,1,5,Contender 4.5+,sts22seattlewa
Beach Bums,7,1,5,Contender 4.5+,sts22seattlewa
High Guys,6,2,5,Contender 4.5+,sts22seattlewa
Revised Bradshaw/Sikand,6,3,5,Contender 4.5+,sts22seattlewa
Fwangbros,5,3,9,Contender 4.5+,sts22seattlewa
Red Dragon,5,2,9,Contender 4.5+,sts22seattlewa
Clem/Freitas,4,3,9,Contender 4.5+,sts22seattlewa
Jason's Girlfriends Fan Club and Jason,3,5,9,Contender 4.5+,sts22seattlewa
keep it simple,5,3,9,Contender 4.5+,sts22seattlewa
Underdog Dynamics,3,4,9,Contender 4.5+,sts22seattlewa
Business Trip,5,3,9,Contender 4.5+,sts22seattlewa
Somn Nasty,4,4,9,Contender 4.5+,sts22seattlewa
Hyphy,3,5,17,Contender 4.5+,sts22seattlewa
Fried Fries,3,6,17,Contender 4.5+,sts22seattlewa
Reverse Psychology,3,5,17,Contender 4.5+,sts22seattlewa
Victorious Secret,1,5,17,Contender 4.5+,sts22seattlewa
Oo Baby,2,6,17,Contender 4.5+,sts22seattlewa
Puddle's Touch,2,6,22,Contender 4.5+,sts22seattlewa
Sai/Tama,2,6,22,Contender 4.5+,sts22seattlewa
Butt Serves,2,6,22,Contender 4.5+,sts22seattlewa
OG Blinggo Boys,1,7,25,Contender 4.5+,sts22seattlewa
Waste and Vent,0,8,26,Contender 4.5+,sts22seattlewa
Don't Go Chasing Waterfalls,0,8,26,Contender 4.5+,sts22seattlewa
Yock Factor,10,1,1,Advanced 4.0,sts22seattlewa
4th Touch,7,2,2,Advanced 4.0,sts22seattlewa
Suplexes,9,1,3,Advanced 4.0,sts22seattlewa
Western Alert,7,3,4,Advanced 4.0,sts22seattlewa
The Cascades,7,2,5,Advanced 4.0,sts22seattlewa
Spike Tyson,7,4,6,Advanced 4.0,sts22seattlewa
Shack Stack,6,4,7,Advanced 4.0,sts22seattlewa
Brennan and the Jets,5,3,7,Advanced 4.0,sts22seattlewa
TM10,5,4,9,Advanced 4.0,sts22seattlewa
spiKE The Right Thing,6,5,10,Advanced 4.0,sts22seattlewa
Team BJ,7,4,11,Advanced 4.0,sts22seattlewa
Smash Bros,4,8,12,Advanced 4.0,sts22seattlewa
Tight Nets & Buttery Sets,6,6,13,Advanced 4.0,sts22seattlewa
Austin + Zach,4,7,14,Advanced 4.0,sts22seattlewa
Dim Sum Dads,4,5,15,Advanced 4.0,sts22seattlewa
Dad Bod Squad,3,8,15,Advanced 4.0,sts22seattlewa
Wild Kitties,2,6,17,Advanced 4.0,sts22seattlewa
Futomnom,1,6,17,Advanced 4.0,sts22seattlewa
Unlucky,2,6,19,Advanced 4.0,sts22seattlewa
Spikebergers,1,10,20,Advanced 4.0,sts22seattlewa
2 Bros 1 Ball,0,8,21,Advanced 4.0,sts22seattlewa
Biggie Smalls,7,0,1,Women's Advanced 4.0+,sts22seattlewa
Sarah Spits Steward’s Spiked Seltzers,6,1,2,Women's Advanced 4.0+,sts22seattlewa
Happy Lambs 🐑,4,3,3,Women's Advanced 4.0+,sts22seattlewa
Spice Rack,4,3,4,Women's Advanced 4.0+,sts22seattlewa
Wendy’s 4 for 4,3,4,5,Women's Advanced 4.0+,sts22seattlewa
Sandy Cheeks,3,3,5,Women's Advanced 4.0+,sts22seattlewa
WACOORNY,3,5,7,Women's Advanced 4.0+,sts22seattlewa
Blue Stampede,2,5,8,Women's Advanced 4.0+,sts22seattlewa
Airbenders,1,4,9,Women's Advanced 4.0+,sts22seattlewa
Spike Girls,0,5,9,Women's Advanced 4.0+,sts22seattlewa
AICE,9,0,1,Intermediate 3.0,sts22seattlewa
GG’s,7,2,2,Intermediate 3.0,sts22seattlewa
Mouse Boy,8,1,3,Intermediate 3.0,sts22seattlewa
DLG Ducks,8,2,0,Intermediate 3.0,sts22seattlewa
The Krusty Krab,7,3,5,Intermediate 3.0,sts22seattlewa
DLG Dawgs,7,2,6,Intermediate 3.0,sts22seattlewa
Perfect Consistency,6,3,7,Intermediate 3.0,sts22seattlewa
Hash Slinging Spikers,6,3,7,Intermediate 3.0,sts22seattlewa
Spikadellic,6,4,9,Intermediate 3.0,sts22seattlewa
Bold & Brash,5,5,10,Intermediate 3.0,sts22seattlewa
Bungee Gum,5,6,11,Intermediate 3.0,sts22seattlewa
DJ dubs,6,5,12,Intermediate 3.0,sts22seattlewa
Sloth Is A Sin,3,7,13,Intermediate 3.0,sts22seattlewa
Knights of the roundnet,4,3,14,Intermediate 3.0,sts22seattlewa
Over 9000,1,7,14,Intermediate 3.0,sts22seattlewa
Sheep curry,3,6,14,Intermediate 3.0,sts22seattlewa
The Empire Spikes Back,4,4,17,Intermediate 3.0,sts22seattlewa
Dink Squad,4,4,18,Intermediate 3.0,sts22seattlewa
Brayden,1,5,18,Intermediate 3.0,sts22seattlewa
We'll Cut Your Hair,0,6,18,Intermediate 3.0,sts22seattlewa
Sweet and Sour,3,5,18,Intermediate 3.0,sts22seattlewa
Sharp Shooters,3,4,22,Intermediate 3.0,sts22seattlewa
Krazy Kats,1,6,22,Intermediate 3.0,sts22seattlewa
The Hash Slinging Slashers,1,8,22,Intermediate 3.0,sts22seattlewa
Books and Rooks,0,7,25,Intermediate 3.0,sts22seattlewa
Rachels,6,0,1,Women's Intermediate 2.0-3.0,sts22seattlewa
Shuellysa,3,3,2,Women's Intermediate 2.0-3.0,sts22seattlewa
Sister Act,3,2,3,Women's Intermediate 2.0-3.0,sts22seattlewa
Team MJ,2,4,0,Women's Intermediate 2.0-3.0,sts22seattlewa
"Let's Taco Bout Nets, Baby",0,5,5,Women's Intermediate 2.0-3.0,sts22seattlewa
Belt Loops,8,1,1,Coed Advanced 4.0+,sts22seattlewa
Harold’s Favorite Co-Ed Team,7,2,2,Coed Advanced 4.0+,sts22seattlewa
happy hours,8,1,3,Coed Advanced 4.0+,sts22seattlewa
Corey/Pierson,7,2,4,Coed Advanced 4.0+,sts22seattlewa
Try Hards TVR,6,2,5,Coed Advanced 4.0+,sts22seattlewa
Foster/Clifford,3,4,6,Coed Advanced 4.0+,sts22seattlewa
Origin Bonkers,4,3,6,Coed Advanced 4.0+,sts22seattlewa
Island Kidz,4,4,6,Coed Advanced 4.0+,sts22seattlewa
Hui/Barbosa,5,4,9,Coed Advanced 4.0+,sts22seattlewa
Flotato,4,5,10,Coed Advanced 4.0+,sts22seattlewa
Crackular,2,6,11,Coed Advanced 4.0+,sts22seattlewa
BB Guns,2,7,11,Coed Advanced 4.0+,sts22seattlewa
Flower Power,3,6,13,Coed Advanced 4.0+,sts22seattlewa
Layla Stans,2,5,14,Coed Advanced 4.0+,sts22seattlewa
E-Girls,3,4,14,Coed Advanced 4.0+,sts22seattlewa
Hsu/Buckman,4,4,14,Coed Advanced 4.0+,sts22seattlewa
🤏,0,6,17,Coed Advanced 4.0+,sts22seattlewa
PiggiEZs,0,6,17,Coed Advanced 4.0+,sts22seattlewa
Size matters,8,0,1,Coed Intermediate 2.0-3.0,sts22seattlewa
Exagons are the Bestagons,6,2,2,Coed Intermediate 2.0-3.0,sts22seattlewa
Sarcastic Bunch,6,1,3,Coed Intermediate 2.0-3.0,sts22seattlewa
Spike Spike Baby,4,5,4,Coed Intermediate 2.0-3.0,sts22seattlewa
Gabi is a Little B,5,3,5,Coed Intermediate 2.0-3.0,sts22seattlewa
Lord of the Rims,4,3,6,Coed Intermediate 2.0-3.0,sts22seattlewa
Spikey Mikey,2,5,7,Coed Intermediate 2.0-3.0,sts22seattlewa
The Cops,2,5,7,Coed Intermediate 2.0-3.0,sts22seattlewa
Unstoppable,3,5,9,Coed Intermediate 2.0-3.0,sts22seattlewa
Shazaam!,0,7,10,Coed Intermediate 2.0-3.0,sts22seattlewa
Tweedledee & Tweedledumass,1,5,11,Coed Intermediate 2.0-3.0,sts22seattlewa
