Team 1,Team 2,Round,Tournament,Team 1 Scores,Team 2 Scores,Division
Hot Jam,Montana Moose Riders,Round of 32,sts22seattlewa,"[19, 16]","[21, 21]",Premier 5.0+
Swamp Donkeys,Montana Moose Riders,Round of 16,sts22seattlewa,"[17, 21, 18]","[21, 15, 21]",Premier 5.0+
Michael Jackson,Deangle-Berries,Round of 16,sts22seattlewa,"[0, 1, 1]","[1, 0, 0]",Premier 5.0+
Wonky Sauce,Friends of OC,Round of 16,sts22seattlewa,"[21, 21]","[12, 15]",Premier 5.0+
Pathos,big D,Round of 16,sts22seattlewa,"[21, 21]","[18, 17]",Premier 5.0+
Montana Moose Riders,Michael Jackson,Quarter-finals,sts22seattlewa,"[17, 18]","[21, 21]",Premier 5.0+
Wonky Sauce,Pathos,Quarter-finals,sts22seattlewa,"[21, 21]","[17, 18]",Premier 5.0+
Michael Jackson,Wonky Sauce,Semi-finals,sts22seattlewa,"[15, 11]","[21, 21]",Premier 5.0+
PNDubs,Shifty,Final,sts22seattlewa,"[17, 19]","[21, 21]",Premier 5.0+
PNDubs,Solar Monkeys,1st place,sts22seattlewa,"[21, 19, 21]","[18, 21, 16]",Premier 5.0+
Shifty,WagMurr TVR,1st place,sts22seattlewa,"[21, 21]","[14, 18]",Premier 5.0+
PNDubs,Do a Barrel Roll,3rd place,sts22seattlewa,"[21, 21]","[18, 16]",Premier 5.0+
Cobra Kai,Solar Monkeys,3rd place,sts22seattlewa,"[1, 0, 0]","[0, 1, 1]",Premier 5.0+
Shifty,Fundamental Franks,3rd place,sts22seattlewa,"[21, 21]","[16, 19]",Premier 5.0+
Rennie's on a Monday,WagMurr TVR,3rd place,sts22seattlewa,"[28, 24]","[30, 26]",Premier 5.0+
Pathos,Montana Moose Riders,P5: Semi-finals,sts22seattlewa,"[-1, -1, -1]","[-1, -1, -1]",Premier 5.0+
WagMurr TVR,Solar Monkeys,P5: Final,sts22seattlewa,"[21, 18, 35]","[15, 21, 33]",Premier 5.0+
Deangle-Berries,Swamp Donkeys,P9: Quarter-finals,sts22seattlewa,"[0, 0]","[1, 1]",Premier 5.0+
big D,Friends of OC,P9: Quarter-finals,sts22seattlewa,"[1, 1]","[0, 0]",Premier 5.0+
Swamp Donkeys,big D,P9: Semi-finals,sts22seattlewa,"[1, 0, 1]","[0, 1, 0]",Premier 5.0+
Cobra Kai,Rennie's on a Monday,P9: Final,sts22seattlewa,"[0, 0]","[1, 1]",Premier 5.0+
Cobra Kai,Do a Barrel Roll,9th place,sts22seattlewa,"[1, 1]","[0, 0]",Premier 5.0+
Rennie's on a Monday,Fundamental Franks,9th place,sts22seattlewa,"[1, 1]","[0, 0]",Premier 5.0+
Friends of OC,Deangle-Berries,P13: Semi-finals,sts22seattlewa,"[-1, -1, -1]","[-1, -1, -1]",Premier 5.0+
Fundamental Franks,Do a Barrel Roll,P13: Final,sts22seattlewa,"[-1, -1, -1]","[-1, -1, -1]",Premier 5.0+
Jason's Girlfriends Fan Club and Jason,Sai/Tama,Round of 32,sts22seattlewa,"[17, 21, 21]","[21, 17, 16]",Contender 4.5+
Clem/Freitas,Fried Fries,Round of 32,sts22seattlewa,"[21, 21]","[14, 11]",Contender 4.5+
Revised Bradshaw/Sikand,OG Blinggo Boys,Round of 32,sts22seattlewa,"[21, 21]","[15, 18]",Contender 4.5+
AZR PBR COB,Puddle's Touch,Round of 32,sts22seattlewa,"[21, 21]","[17, 19]",Contender 4.5+
Fwangbros,Reverse Psychology,Round of 32,sts22seattlewa,"[1, 1]","[0, 0]",Contender 4.5+
Kayvon Fan Club,Jason's Girlfriends Fan Club and Jason,Round of 16,sts22seattlewa,"[20, 21, 23]","[22, 17, 21]",Contender 4.5+
Clem/Freitas,Revised Bradshaw/Sikand,Round of 16,sts22seattlewa,"[21, 17, 17]","[17, 21, 21]",Contender 4.5+
Red Dragon,AZR PBR COB,Round of 16,sts22seattlewa,"[19, 21, 16]","[21, 15, 21]",Contender 4.5+
Fwangbros,High Guys,Round of 16,sts22seattlewa,"[0, 0]","[1, 1]",Contender 4.5+
Kayvon Fan Club,Revised Bradshaw/Sikand,Quarter-finals,sts22seattlewa,"[21, 19, 21]","[13, 21, 14]",Contender 4.5+
AZR PBR COB,High Guys,Quarter-finals,sts22seattlewa,"[22, 24, 28]","[20, 26, 26]",Contender 4.5+
Kayvon Fan Club,AZR PBR COB,Semi-finals,sts22seattlewa,"[21, 21]","[18, 17]",Contender 4.5+
Lanky and Clanky,White Willy,Final,sts22seattlewa,"[21, 21]","[18, 14]",Contender 4.5+
Beach Bums,Lanky and Clanky,1st place,sts22seattlewa,"[16, 18]","[21, 21]",Contender 4.5+
Raw Dawgs,White Willy,1st place,sts22seattlewa,"[18, 17]","[21, 21]",Contender 4.5+
Beach Bums,Underdog Dynamics,3rd place,sts22seattlewa,"[1, 1]","[0, 0]",Contender 4.5+
keep it simple,Lanky and Clanky,3rd place,sts22seattlewa,"[16, 18]","[21, 21]",Contender 4.5+
Raw Dawgs,Somn Nasty,3rd place,sts22seattlewa,"[21, 21]","[8, 12]",Contender 4.5+
