Team 1,Team 2,Round,Tournament,Team 1 Scores,Team 2 Scores,Division
“Shayly”,Gym Class Heroes,Round of 32,ststoronto,"[21, 22, 21]","[18, 24, 17]",Premier 5.0+
CRO Suited Connect Ed,Super pumped,Round of 32,ststoronto,"[21, 16, 19]","[16, 21, 21]",Premier 5.0+
Glitch,Soft Pajamas,Round of 32,ststoronto,"[21, 21]","[15, 16]",Premier 5.0+
Bot House,“Shayly”,Round of 16,ststoronto,"[21, 21]","[17, 17]",Premier 5.0+
Bingu!,Sub-Zero,Round of 16,ststoronto,"[18, 24]","[21, 26]",Premier 5.0+
Swamp Donkeys,Super pumped,Round of 16,ststoronto,"[21, 24]","[10, 22]",Premier 5.0+
Glitch,Just Fungin Around,Round of 16,ststoronto,"[21, 23, 20]","[19, 25, 22]",Premier 5.0+
Bot House,Sub-Zero,Quarter-finals,ststoronto,"[21, 21]","[17, 13]",Premier 5.0+
Swamp Donkeys,Just Fungin Around,Quarter-finals,ststoronto,"[21, 21]","[16, 18]",Premier 5.0+
Bot House,Swamp Donkeys,Semi-finals,ststoronto,"[18, 22]","[21, 24]",Premier 5.0+
GFD Asian Invasion,Wasabi,Final,ststoronto,"[21, 19, 22]","[13, 21, 20]",Premier 5.0+
Long Tan Handsome and Addison,GFD Asian Invasion,1st place,ststoronto,"[21, 23, 20]","[16, 25, 22]",Premier 5.0+
Wasabi,Simply Smashing,1st place,ststoronto,"[22, 21]","[20, 15]",Premier 5.0+
Long Tan Handsome and Addison,Butter Shortbread,3rd place,ststoronto,"[21, 21]","[16, 15]",Premier 5.0+
Let’s Eat,GFD Asian Invasion,3rd place,ststoronto,"[19, 18]","[21, 21]",Premier 5.0+
Wasabi,Scoot’s Paradise,3rd place,ststoronto,"[21, 21]","[16, 17]",Premier 5.0+
CRO Fall Damage,Simply Smashing,3rd place,ststoronto,"[19, 28, 19]","[21, 26, 21]",Premier 5.0+
Austin/Thomas,Butter Shortbread,Semi-finals,ststoronto,"[12, 16]","[21, 21]",Premier 5.0+
CRO X Future,Scoot’s Paradise,Semi-finals,ststoronto,"[18, 21, 15]","[21, 15, 21]",Premier 5.0+
CRO Fall Damage,CRO Bummerland,Semi-finals,ststoronto,"[21, 21]","[15, 19]",Premier 5.0+
Just Fungin Around,Sub-Zero,P5: Semi-finals,ststoronto,"[-1, -1, -1]","[-1, -1, -1]",Premier 5.0+
Simply Smashing,Long Tan Handsome and Addison,P5: Final,ststoronto,"[-1, -1, -1]","[-1, -1, -1]",Premier 5.0+
Bingu!,“Shayly”,P9: Quarter-finals,ststoronto,"[-1, -1, -1]","[-1, -1, -1]",Premier 5.0+
Glitch,Super pumped,P9: Quarter-finals,ststoronto,"[-1, -1, -1]","[-1, -1, -1]",Premier 5.0+
Let’s Eat,Butter Shortbread,9th place,ststoronto,"[-1, -1, -1]","[-1, -1, -1]",Premier 5.0+
CRO Fall Damage,Scoot’s Paradise,9th place,ststoronto,"[-1, -1, -1]","[-1, -1, -1]",Premier 5.0+
CRO Suited Connect Ed,Soft Pajamas,P17: Quarter-finals,ststoronto,[1],[0],Premier 5.0+
Gym Class Heroes,CRO Suited Connect Ed,P17: Semi-finals,ststoronto,[-1],[-1],Premier 5.0+
Austin/Thomas,CRO X Future,P17: Final,ststoronto,[19],[21],Premier 5.0+
CRO X Future,CRO Bummerland,17th place,ststoronto,[21],[19],Premier 5.0+
YeeeHaww!,Team BC,Round of 32,ststoronto,"[15, 21]","[7, 19]",Contenders 4.5+
Canadian French Kiss,55 BURGERS 55 FRIES 55 TACOS 55 PIES,Round of 32,ststoronto,"[15, 15]","[9, 13]",Contenders 4.5+
Wario & Waluigi 2.0,Larry's Zoomin,Round of 32,ststoronto,"[15, 15]","[10, 10]",Contenders 4.5+
Unnecessary Layouts,Canadian French Kiss,P5: Semi-finals,ststoronto,[0],[1],Contenders 4.5+
FCR BHAD Boys,Nemesis Foundnet,P5: Final,ststoronto,[-1],[-1],Contenders 4.5+
Wario & Waluigi 2.0,YeeeHaww!,P9: Quarter-finals,ststoronto,[12],[21],Contenders 4.5+
8’s,Middleburg A Squad,P9: Quarter-finals,ststoronto,[1],[0],Contenders 4.5+
YeeeHaww!,8’s,P9: Semi-finals,ststoronto,[1],[0],Contenders 4.5+
Frosted Flakes & Reese's Puffs,Yates / Kovatch,9th place,ststoronto,[1],[0],Contenders 4.5+
To D or not to D,Sour Peeps,9th place,ststoronto,[-1],[-1],Contenders 4.5+
Middleburg A Squad,Wario & Waluigi 2.0,P13: Semi-finals,ststoronto,[-1],[-1],Contenders 4.5+
