Team 1,Team 2,Round,Tournament,Team 1 Scores,Team 2 Scores,Division
PSR S/T,City Boys,Round of 16,bcts2023fv,[0],[1],Elite/Premier
Insystem,City Boys,Quarter-finals,bcts2023fv,"[21, 21]","[13, 11]",Elite/Premier
Weenie Stompers,Unlucky,Quarter-finals,bcts2023fv,"[-1, -1]","[0, 0]",Elite/Premier
Insystem,Unlucky,Semi-finals,bcts2023fv,[1],[0],Elite/Premier
Wesburn,Former Serveballers,Final,bcts2023fv,[1],[0],Elite/Premier
Wesburn,sage mode,1st place,bcts2023fv,"[21, 21]","[9, 12]",Elite/Premier
Former Serveballers,Groovy,1st place,bcts2023fv,"[19, 21, 25]","[21, 10, 23]",Elite/Premier
sage mode,Spike Tyson,3rd place,bcts2023fv,[21],[13],Elite/Premier
Weenie Stompers,City Boys,P5: Semi-finals,bcts2023fv,[0],[2],Elite/Premier
Groovy,sage mode,P5: Final,bcts2023fv,[2],[0],Elite/Premier
JArsHüæR,Pocket Rockets,Round of 16,bcts2023fv,[21],[14],Advanced
Spike Wazowski,JArsHüæR,Quarter-finals,bcts2023fv,[2],[0],Advanced
Hit on Two,Skandalous,Quarter-finals,bcts2023fv,[2],[1],Advanced
Spike Wazowski,Hit on Two,Semi-finals,bcts2023fv,[2],[0],Advanced
Net Fishers,Dumb & Dumber,Final,bcts2023fv,[2],[0],Advanced
Net Fishers,Muffin Soldiers,1st place,bcts2023fv,[21],[17],Advanced
Dumb & Dumber,The French Connection,1st place,bcts2023fv,[2],[0],Advanced
Muffin Soldiers,Bisky and the Boys,3rd place,bcts2023fv,[21],[19],Advanced
Skandalous,JArsHüæR,P5: Semi-finals,bcts2023fv,[19],[21],Advanced
The French Connection,Muffin Soldiers,P5: Final,bcts2023fv,[1],[0],Advanced
M&M,Ball Busters,Quarter-finals,bcts2023fv,[22],[20],Intermediate
Squick Squick,M&M,Semi-finals,bcts2023fv,[2],[0],Intermediate
Spikological Warfare,The Keks,Final,bcts2023fv,[2],[1],Intermediate
The Keks,"""Low power"" spikers 🪫",1st place,bcts2023fv,[2],[0],Intermediate
