Team Name,Wins,Losses,Result,Division,Tournament
Belgian Waffles,7,2,0,Elite/Premier,bcts2023provincials
Breaking Bad,3,6,0,Elite/Premier,bcts2023provincials
Groovy,5,4,0,Elite/Premier,bcts2023provincials
Out of system,1,7,0,Elite/Premier,bcts2023provincials
Spike Wazowski,4,5,0,Elite/Premier,bcts2023provincials
TBD,2,6,0,Elite/Premier,bcts2023provincials
Thirst Trap,8,0,0,Elite/Premier,bcts2023provincials
Alessio/Sara,0,1,0,Advanced,bcts2023provincials
Boom Ballers,9,2,0,Advanced,bcts2023provincials
Jess & Zach,6,5,0,Advanced,bcts2023provincials
RoBetty,3,8,0,Advanced,bcts2023provincials
Shaggy & Scoopy,6,5,0,Advanced,bcts2023provincials
Slam Poetry,2,7,0,Advanced,bcts2023provincials
TBD,11,0,0,Advanced,bcts2023provincials
"The Good, The Bad, The Ugly",5,6,0,Advanced,bcts2023provincials
The Manthers,1,10,0,Advanced,bcts2023provincials
Toggle Mode,6,5,0,Advanced,bcts2023provincials
