Team 1,Team 2,Round,Tournament,Team 1 Scores,Team 2 Scores,Division
Spike Wazowski,TBD,Quarter-finals,bcts2023provincials,"[21, 21]","[17, 9]",Elite/Premier
Thirst Trap,Spike Wazowski,Semi-finals,bcts2023provincials,"[21, 21]","[9, 19]",Elite/Premier
Belgian Waffles,Groovy,Final,bcts2023provincials,"[19, 21, 21]","[21, 18, 18]",Elite/Premier
Belgian Waffles,Breaking Bad,1st place,bcts2023provincials,"[21, 24]","[18, 22]",Elite/Premier
Groovy,Out of system,1st place,bcts2023provincials,"[14, 21, 21]","[21, 15, 12]",Elite/Premier
Out of system,Breaking Bad,P5: Final,bcts2023provincials,"[0, 0]","[1, 1]",Elite/Premier
Out of system,Breaking Bad,P5: Final,bcts2023provincials,"[0, 0]","[1, 1]",Elite/Premier
Slam Poetry,The Manthers,Round of 16,bcts2023provincials,[22],[24],Advanced
TBD,The Manthers,Quarter-finals,bcts2023provincials,[2],[0],Advanced
Toggle Mode,Shaggy & Scoopy,Quarter-finals,bcts2023provincials,[2],[1],Advanced
TBD,Toggle Mode,Semi-finals,bcts2023provincials,[2],[0],Advanced
Boom Ballers,"The Good, The Bad, The Ugly",Final,bcts2023provincials,[2],[0],Advanced
Boom Ballers,RoBetty,1st place,bcts2023provincials,[2],[0],Advanced
Jess & Zach,"The Good, The Bad, The Ugly",1st place,bcts2023provincials,[1],[2],Advanced
RoBetty,Alessio/Sara,3rd place,bcts2023provincials,[21],[12],Advanced
Shaggy & Scoopy,The Manthers,P5: Semi-finals,bcts2023provincials,[2],[0],Advanced
Jess & Zach,RoBetty,P5: Final,bcts2023provincials,[1],[0],Advanced
