Team Name,Wins,Losses,Result,Division,Tournament
Thirst Trap,8,0,1,Elite/Premier,bcts2023van
Chill,8,1,2,Elite/Premier,bcts2023van
Premature Party People,7,2,3,Elite/Premier,bcts2023van
Belgian White,6,3,4,Elite/Premier,bcts2023van
Tian Mi Mi,7,3,5,Elite/Premier,bcts2023van
Spike Wazowski,5,4,6,Elite/Premier,bcts2023van
Don’t hurt us,5,5,7,Elite/Premier,bcts2023van
Fortified,3,6,8,Elite/Premier,bcts2023van
sage mode,3,5,9,Elite/Premier,bcts2023van
KB24,3,6,10,Elite/Premier,bcts2023van
Jovan/Brandon,1,7,11,Elite/Premier,bcts2023van
852Rising,1,7,11,Elite/Premier,bcts2023van
Bidet Boys,0,8,13,Elite/Premier,bcts2023van
Business Casual,9,0,1,Advanced,bcts2023van
Yasuo/Yuumi GGEZ,8,1,2,Advanced,bcts2023van
Hard hitters,7,2,3,Advanced,bcts2023van
Vancouver I hardly know her,7,2,4,Advanced,bcts2023van
Ball Busters,5,4,5,Advanced,bcts2023van
Lochside Lizards,4,5,6,Advanced,bcts2023van
Dad Bods,3,5,7,Advanced,bcts2023van
Dumb & Dumber,5,3,7,Advanced,bcts2023van
butter boys,4,4,9,Advanced,bcts2023van
Complete Strangers,4,3,10,Advanced,bcts2023van
Ass Blasters Inc,3,3,10,Advanced,bcts2023van
Bright Chicken,2,5,10,Advanced,bcts2023van
Young Guns,4,4,10,Advanced,bcts2023van
Double Duce,2,5,14,Advanced,bcts2023van
4Loko Legends,2,5,14,Advanced,bcts2023van
Casuals,1,7,14,Advanced,bcts2023van
The French Connection,0,6,17,Advanced,bcts2023van
M & M,0,6,17,Advanced,bcts2023van
Buttery Croissants,6,1,1,Intermediate,bcts2023van
Subs Club,6,1,2,Intermediate,bcts2023van
J-Boys,4,1,3,Intermediate,bcts2023van
Nat & Nate’s Spik & Spike,2,3,0,Intermediate,bcts2023van
Flowers,3,4,5,Intermediate,bcts2023van
SC2Spike,2,5,6,Intermediate,bcts2023van
Sea Daddys,3,3,7,Intermediate,bcts2023van
CJ SPIKE,1,6,8,Intermediate,bcts2023van
TooFastTooNew,1,4,9,Intermediate,bcts2023van
