Team 1,Team 2,Round,Tournament,Team 1 Scores,Team 2 Scores,Division
Fortified,KB24,Round of 16,bcts2023van,"[22, 21, 21]","[24, 16, 16]",Elite/Premier
Premature Party People,Bidet Boys,Round of 16,bcts2023van,"[21, 21]","[18, 19]",Elite/Premier
Tian Mi Mi,852Rising,Round of 16,bcts2023van,"[21, 21]","[12, 13]",Elite/Premier
Thirst Trap,Fortified,Quarter-finals,bcts2023van,"[21, 21]","[17, 8]",Elite/Premier
Premature Party People,Tian Mi Mi,Quarter-finals,bcts2023van,"[21, 21]","[11, 14]",Elite/Premier
Thirst Trap,Premature Party People,Semi-finals,bcts2023van,"[21, 21]","[16, 17]",Elite/Premier
Chill,Belgian White,Final,bcts2023van,"[21, 21]","[18, 14]",Elite/Premier
Chill,Don’t hurt us,1st place,bcts2023van,"[21, 21]","[12, 9]",Elite/Premier
Belgian White,Spike Wazowski,1st place,bcts2023van,"[16, 25, 21]","[21, 23, 17]",Elite/Premier
Don’t hurt us,sage mode,3rd place,bcts2023van,"[21, 23]","[19, 21]",Elite/Premier
Spike Wazowski,Jovan/Brandon,3rd place,bcts2023van,"[21, 19, 21]","[15, 21, 19]",Elite/Premier
Tian Mi Mi,Fortified,P5: Semi-finals,bcts2023van,"[21, 21]","[11, 11]",Elite/Premier
Spike Wazowski,Don’t hurt us,P5: Final,bcts2023van,"[21, 21]","[16, 18]",Elite/Premier
852Rising,Bidet Boys,P9: Quarter-finals,bcts2023van,"[1, 1]","[0, 0]",Elite/Premier
KB24,852Rising,P9: Semi-finals,bcts2023van,"[1, 1]","[0, 0]",Elite/Premier
sage mode,Jovan/Brandon,P9: Final,bcts2023van,"[21, 21]","[10, 10]",Elite/Premier
The French Connection,Casuals,Round of 32,bcts2023van,[17],[21],Advanced
Business Casual,Casuals,Round of 16,bcts2023van,[21],[15],Advanced
Ball Busters,Young Guns,Round of 16,bcts2023van,[21],[12],Advanced
Dumb & Dumber,butter boys,Round of 16,bcts2023van,[1],[0],Advanced
4Loko Legends,Hard hitters,Round of 16,bcts2023van,[19],[21],Advanced
Business Casual,Ball Busters,Quarter-finals,bcts2023van,"[21, 21]","[11, 16]",Advanced
Dumb & Dumber,Hard hitters,Quarter-finals,bcts2023van,"[21, 19]","[23, 21]",Advanced
Business Casual,Hard hitters,Semi-finals,bcts2023van,"[21, 26]","[18, 24]",Advanced
Vancouver I hardly know her,Yasuo/Yuumi GGEZ,Final,bcts2023van,"[24, 19]","[26, 21]",Advanced
Vancouver I hardly know her,Lochside Lizards,1st place,bcts2023van,"[12, 21, 21]","[21, 18, 18]",Advanced
Yasuo/Yuumi GGEZ,Dad Bods,1st place,bcts2023van,"[21, 21]","[19, 15]",Advanced
Vancouver I hardly know her,Bright Chicken,3rd place,bcts2023van,[21],[8],Advanced
Lochside Lizards,Ass Blasters Inc,3rd place,bcts2023van,[21],[12],Advanced
Yasuo/Yuumi GGEZ,Double Duce,3rd place,bcts2023van,[21],[16],Advanced
Dad Bods,Complete Strangers,3rd place,bcts2023van,[21],[19],Advanced
Bright Chicken,M & M,Semi-finals,bcts2023van,[22],[20],Advanced
Dumb & Dumber,Ball Busters,P5: Semi-finals,bcts2023van,[0],[1],Advanced
Dad Bods,Lochside Lizards,P5: Final,bcts2023van,[0],[1],Advanced
Young Guns,Casuals,P9: Quarter-finals,bcts2023van,[21],[19],Advanced
4Loko Legends,butter boys,P9: Quarter-finals,bcts2023van,[1],[21],Advanced
Young Guns,butter boys,P9: Semi-finals,bcts2023van,[17],[21],Advanced
Ass Blasters Inc,Bright Chicken,9th place,bcts2023van,[-1],[-1],Advanced
Complete Strangers,Double Duce,9th place,bcts2023van,[21],[15],Advanced
4Loko Legends,Casuals,P13: Semi-finals,bcts2023van,[-1],[-1],Advanced
TooFastTooNew,Flowers,Round of 16,bcts2023van,"[16, 10]","[21, 21]",Intermediate
Subs Club,Flowers,Quarter-finals,bcts2023van,"[21, 21]","[19, 6]",Intermediate
Sea Daddys,Nat & Nate’s Spik & Spike,Quarter-finals,bcts2023van,"[17, 23]","[21, 24]",Intermediate
Subs Club,Nat & Nate’s Spik & Spike,Semi-finals,bcts2023van,"[21, 21]","[9, 8]",Intermediate
Buttery Croissants,J-Boys,Final,bcts2023van,"[21, 21]","[12, 16]",Intermediate
Buttery Croissants,CJ SPIKE,1st place,bcts2023van,"[21, 21]","[10, 13]",Intermediate
J-Boys,SC2Spike,1st place,bcts2023van,"[19, 21, 24]","[21, 19, 22]",Intermediate
Sea Daddys,Flowers,P5: Semi-finals,bcts2023van,"[19, 21, 12]","[21, 15, 21]",Intermediate
SC2Spike,CJ SPIKE,P5: Final,bcts2023van,"[21, 33]","[19, 31]",Intermediate
