Team Name,Wins,Losses,Result,Division,Tournament
2Jz,1,9,0,Elite/Premier,bcts2023vic
A.W.A (Asians with Attitude),4,5,0,Elite/Premier,bcts2023vic
Czech team,5,5,0,Elite/Premier,bcts2023vic
Flotato,7,2,0,Elite/Premier,bcts2023vic
Kraken,3,7,0,Elite/Premier,bcts2023vic
Lifted,8,2,0,Elite/Premier,bcts2023vic
nice jam,2,7,0,Elite/Premier,bcts2023vic
Where’s Ronnie?,8,1,0,Elite/Premier,bcts2023vic
Ball Whisperers,5,5,0,Advanced,bcts2023vic
Brotherly Love,5,4,0,Advanced,bcts2023vic
Double Fault in Our Stars,0,9,0,Advanced,bcts2023vic
Lochside Lizards,9,1,0,Advanced,bcts2023vic
Net Gains,3,7,0,Advanced,bcts2023vic
RnB Spike,4,5,0,Advanced,bcts2023vic
Stupid Sexy Spikers,3,6,0,Advanced,bcts2023vic
Swiss Cheese,9,1,0,Advanced,bcts2023vic
