Team 1,Team 2,Round,Tournament,Team 1 Scores,Team 2 Scores,Division
Where’s Ronnie?,2Jz,Quarter-finals,bcts2023vic,"[21, 21]","[11, 10]",Elite/Premier
Czech team,A.W.A (Asians with Attitude),Quarter-finals,bcts2023vic,"[24, 21]","[22, 14]",Elite/Premier
Where’s Ronnie?,Czech team,Semi-finals,bcts2023vic,"[21, 21]","[15, 15]",Elite/Premier
Lifted,Flotato,Final,bcts2023vic,"[18, 26]","[21, 28]",Elite/Premier
Lifted,Kraken,1st place,bcts2023vic,"[22, 21]","[20, 17]",Elite/Premier
Flotato,nice jam,1st place,bcts2023vic,"[21, 21]","[17, 15]",Elite/Premier
A.W.A (Asians with Attitude),2Jz,P5: Semi-finals,bcts2023vic,"[19, 0]","[21, 1]",Elite/Premier
nice jam,Kraken,P5: Final,bcts2023vic,"[21, 18, 18]","[18, 21, 21]",Elite/Premier
A.W.A (Asians with Attitude),2Jz,P5: Semi-finals,bcts2023vic,"[19, 0]","[21, 1]",Elite/Premier
nice jam,Kraken,P5: Final,bcts2023vic,"[21, 18, 18]","[18, 21, 21]",Elite/Premier
Swiss Cheese,Double Fault in Our Stars,Quarter-finals,bcts2023vic,"[21, 21]","[16, 7]",Advanced
Ball Whisperers,RnB Spike,Quarter-finals,bcts2023vic,"[20, 18]","[22, 21]",Advanced
Swiss Cheese,RnB Spike,Semi-finals,bcts2023vic,"[0, 1, 1]","[1, 0, 0]",Advanced
Lochside Lizards,Brotherly Love,Final,bcts2023vic,"[24, 21, 21]","[26, 15, 18]",Advanced
Lochside Lizards,Net Gains,1st place,bcts2023vic,"[21, 21]","[9, 12]",Advanced
Brotherly Love,Stupid Sexy Spikers,1st place,bcts2023vic,"[21, 21]","[13, 4]",Advanced
Ball Whisperers,Double Fault in Our Stars,P5: Semi-finals,bcts2023vic,"[21, 21]","[18, 13]",Advanced
Stupid Sexy Spikers,Net Gains,P5: Final,bcts2023vic,"[0, 0]","[21, 21]",Advanced
Ball Whisperers,Double Fault in Our Stars,P5: Semi-finals,bcts2023vic,"[21, 21]","[18, 13]",Advanced
Stupid Sexy Spikers,Net Gains,P5: Final,bcts2023vic,"[0, 0]","[21, 21]",Advanced
