Team 1,Team 2,Round,Tournament,Team 1 Scores,Team 2 Scores,Division
wraith and gibby,bruh,Round of 16,springslam2023,[21],[1],Elite/Premier
Insystem,wraith and gibby,Quarter-finals,springslam2023,[21],[1],Elite/Premier
X Factor,UBC Roundnet,Quarter-finals,springslam2023,[21],[17],Elite/Premier
Insystem,X Factor,Semi-finals,springslam2023,"[1, 1]","[0, 0]",Elite/Premier
Wesburn,Groovy,Final,springslam2023,"[1, 0, 1]","[0, 1, 0]",Elite/Premier
Wesburn,Justin,1st place,springslam2023,[2],[1],Elite/Premier
Groovy,Fortified,1st place,springslam2023,[21],[15],Elite/Premier
Justin,KB24 E,3rd place,springslam2023,[21],[14],Elite/Premier
UBC Roundnet,wraith and gibby,P5: Semi-finals,springslam2023,[21],[12],Elite/Premier
Fortified,Justin,P5: Final,springslam2023,[12],[21],Elite/Premier
Lochside Lizards,SEA Skabadoosh,Round of 16,springslam2023,[21],[16],Advanced
Bop or Shots,Two peas in a pot,Round of 16,springslam2023,[16],[21],Advanced
Skandalous,Lobster Trap,Round of 16,springslam2023,[21],[14],Advanced
852Rising,Lochside Lizards,Quarter-finals,springslam2023,[21],[14],Advanced
Two peas in a pot,Skandalous,Quarter-finals,springslam2023,[21],[19],Advanced
852Rising,Two peas in a pot,Semi-finals,springslam2023,"[21, 21]","[7, 8]",Advanced
Vic Rusteez,Tang/Wozniak,Final,springslam2023,"[19, 21, 17]","[21, 14, 21]",Advanced
Vic Rusteez,Rain Rain Go Away,1st place,springslam2023,[21],[17],Advanced
Tang/Wozniak,SEA Hype Train,1st place,springslam2023,[21],[16],Advanced
The Benchwarmers,Rain Rain Go Away,3rd place,springslam2023,[18],[21],Advanced
Tang/Wozniak,Lord of the Rims,3rd place,springslam2023,[21],[6],Advanced
SEA Hype Train,Spikeaholics Anonymous,3rd place,springslam2023,[21],[14],Advanced
Skandalous,Lochside Lizards,P5: Semi-finals,springslam2023,[21],[0],Advanced
SEA Hype Train,Rain Rain Go Away,P5: Final,springslam2023,[21],[18],Advanced
Lobster Trap,Bop or Shots,P9: Quarter-finals,springslam2023,[0],[1],Advanced
SEA Skabadoosh,Bop or Shots,P9: Semi-finals,springslam2023,[18],[21],Advanced
The Benchwarmers,Spikeaholics Anonymous,P9: Final,springslam2023,[21],[15],Advanced
Spikeaholics Anonymous,Lord of the Rims,9th place,springslam2023,[21],[0],Advanced
Casey,ogre watch,Quarter-finals,springslam2023,[2],[3],Intermediate
Apple sauce 🍎 🛸,ogre watch,Semi-finals,springslam2023,[21],[16],Intermediate
Golden Eagles,no name,Final,springslam2023,[21],[16],Intermediate
no name,Ain't S*** Funny,1st place,springslam2023,[21],[0],Intermediate
