Team Name,Wins,Losses,Result,Division,Tournament
Whopper? I barely know her,8,2,1,Expert 5.0,casropen
Quality Service,7,3,2,Expert 5.0,casropen
Take it ez john,8,2,3,Expert 5.0,casropen
JK.,7,3,4,Expert 5.0,casropen
BenDu Over,6,2,5,Expert 5.0,casropen
Frag/Hui,6,2,5,Expert 5.0,casropen
Backhand only,5,3,5,Expert 5.0,casropen
Shifty Without the F,6,2,5,Expert 5.0,casropen
Christmas Miracle,3,5,9,Expert 5.0,casropen
Arrow Down,3,5,9,Expert 5.0,casropen
mikey.roundnet,3,4,9,Expert 5.0,casropen
Irritable Ball Shmackers,0,7,9,Expert 5.0,casropen
Your Parents,2,5,9,Expert 5.0,casropen
Yourmom,0,7,9,Expert 5.0,casropen
USC Late Registration,1,7,15,Expert 5.0,casropen
Ugly Finders,1,7,15,Expert 5.0,casropen
Once Upon a Set,7,0,1,Contender 4.5,casropen
Julian Baker Fan Club,5,2,2,Contender 4.5,casropen
Water Ice,6,1,3,Contender 4.5,casropen
Awkward Freestyle,3,4,4,Contender 4.5,casropen
Ethan & Jack,2,3,5,Contender 4.5,casropen
Lucian & John,3,3,5,Contender 4.5,casropen
Serving Looks,2,3,5,Contender 4.5,casropen
Paft Dunk,2,4,5,Contender 4.5,casropen
Hurricanes,0,5,9,Contender 4.5,casropen
Nate & Colton,0,5,9,Contender 4.5,casropen
Morehouse/Lowe,6,1,1,Womens 4.5,casropen
FURY,5,2,2,Womens 4.5,casropen
Pristine sets and immaculate gets,4,4,3,Womens 4.5,casropen
Fire & Ice,5,3,4,Womens 4.5,casropen
Acey,1,5,5,Womens 4.5,casropen
"2 girls, 1 ball",0,6,5,Womens 4.5,casropen
M&M,7,0,1,Advanced 2.0+,casropen
Hawgz,4,4,2,Advanced 2.0+,casropen
How I set your mother,4,2,3,Advanced 2.0+,casropen
Alec & Sarah,3,4,0,Advanced 2.0+,casropen
Spike’em and spite’em,2,4,5,Advanced 2.0+,casropen
team canaan,0,6,5,Advanced 2.0+,casropen
Don’t Touch Jenny,6,0,1,Mixed 4.5,casropen
Assistant to the Chef,2,4,2,Mixed 4.5,casropen
Wusil,4,2,3,Mixed 4.5,casropen
Circumcised Bread,2,5,4,Mixed 4.5,casropen
GTD,1,4,5,Mixed 4.5,casropen
