Team Name,Wins,Losses,Result,Division,Tournament
Shifty,7,1,1,Expert 4.0-5.0,open2
Oswalt / Schrag,5,2,2,Expert 4.0-5.0,open2
Degenerational Wealth,6,1,3,Expert 4.0-5.0,open2
Josh,5,3,4,Expert 4.0-5.0,open2
Beach Bums,4,2,5,Expert 4.0-5.0,open2
Judgemental Eyes and Luke,4,1,5,Expert 4.0-5.0,open2
Yellow Fever,4,1,5,Expert 4.0-5.0,open2
Fractal Spikes,4,2,5,Expert 4.0-5.0,open2
Dylan’s Exes,4,3,9,Expert 4.0-5.0,open2
Pai Sho,4,3,10,Expert 4.0-5.0,open2
Olympic Ski Jumpers,2,4,11,Expert 4.0-5.0,open2
"See Ball, Whiff Ball",2,4,11,Expert 4.0-5.0,open2
jihadi out the cave,4,3,13,Expert 4.0-5.0,open2
Apples,3,4,14,Expert 4.0-5.0,open2
Ben Squared,3,4,15,Expert 4.0-5.0,open2
pure filth,2,5,16,Expert 4.0-5.0,open2
Ball Busters,1,5,17,Expert 4.0-5.0,open2
Mario & Luigi,0,5,18,Expert 4.0-5.0,open2
SC Dream Team,0,5,18,Expert 4.0-5.0,open2
DEEZ NETS!!!,0,6,18,Expert 4.0-5.0,open2
