Team 1,Team 2,Round,Tournament,Team 1 Scores,Team 2 Scores,Division
Freemandola,GOD DID,Round of 16,ers23alb,"[19, 19]","[21, 21]",Open 4.5+
Second Servings,Power and Finesse,Round of 16,ers23alb,"[1, 1]","[0, 0]",Open 4.5+
fRiEd RiZzTiSM,GOD DID,Quarter-finals,ers23alb,"[21, 21]","[13, 16]",Open 4.5+
Joel Fan Club,Second Servings,Quarter-finals,ers23alb,"[21, 18, 21]","[14, 21, 14]",Open 4.5+
fRiEd RiZzTiSM,Joel Fan Club,Semi-finals,ers23alb,"[1, 1]","[0, 0]",Open 4.5+
Meatballs,Duncan and Aidan,Final,ers23alb,"[22, 19]","[24, 21]",Open 4.5+
Meatballs,Premerekats,1st place,ers23alb,"[1, 1]","[0, 0]",Open 4.5+
Duncan and Aidan,GTCOMS,1st place,ers23alb,"[21, 21]","[9, 10]",Open 4.5+
Premerekats,Taco Benders,3rd place,ers23alb,"[1, 1]","[0, 0]",Open 4.5+
Fresh Cuts,GTCOMS,3rd place,ers23alb,"[13, 23, 19]","[21, 21, 21]",Open 4.5+
Second Servings,GOD DID,P5: Semi-finals,ers23alb,"[1, 0]","[0, -1]",Open 4.5+
GTCOMS,Premerekats,P5: Final,ers23alb,"[-1, -1]","[0, 0]",Open 4.5+
Freemandola,Power and Finesse,P9: Semi-finals,ers23alb,"[-1, -1, -1]","[-1, -1, -1]",Open 4.5+
Taco Benders,Fresh Cuts,P9: Final,ers23alb,"[-1, -1, -1]","[-1, -1, -1]",Open 4.5+
Freemandola,Power and Finesse,P9: Semi-finals,ers23alb,"[-1, -1, -1]","[-1, -1, -1]",Open 4.5+
Taco Benders,Fresh Cuts,P9: Final,ers23alb,"[-1, -1, -1]","[-1, -1, -1]",Open 4.5+
Win Direction,Deep Pockets,Round of 16,ers23alb,"[0, 0]","[1, 1]",Open 3.5-4.0 (Advanced)
Shanghai Sharks,Deep Pockets,Quarter-finals,ers23alb,"[21, 21]","[13, 10]",Open 3.5-4.0 (Advanced)
Twin Towers,Ball Slappers,Quarter-finals,ers23alb,"[18, 22, 15]","[21, 20, 21]",Open 3.5-4.0 (Advanced)
Shanghai Sharks,Ball Slappers,Semi-finals,ers23alb,"[21, 21]","[12, 15]",Open 3.5-4.0 (Advanced)
M&S,Aadi Lahiri,Final,ers23alb,"[21, 21]","[17, 0]",Open 3.5-4.0 (Advanced)
M&S,Veggietales,1st place,ers23alb,"[21, 21]","[16, 16]",Open 3.5-4.0 (Advanced)
Aadi Lahiri,Daniel Krupp Fan 🅱️lub 💯,1st place,ers23alb,"[21, 21]","[19, 18]",Open 3.5-4.0 (Advanced)
Twin Towers,Deep Pockets,P5: Semi-finals,ers23alb,"[-1, -1, -1]","[-1, -1, -1]",Open 3.5-4.0 (Advanced)
Daniel Krupp Fan 🅱️lub 💯,Veggietales,P5: Final,ers23alb,"[22, 0]","[20, -1]",Open 3.5-4.0 (Advanced)
Hazard Analysis,Bilip without the B,Round of 16,ers23alb,"[1, 1]","[0, 0]",Open 2.0-3.0 (Intermediate/Beginner)
Dogs Out,Hazard Analysis,Quarter-finals,ers23alb,"[1, 1]","[0, 0]",Open 2.0-3.0 (Intermediate/Beginner)
Brewster Backhands,Jewish and Confused,Quarter-finals,ers23alb,"[19, 21, 24]","[21, 17, 22]",Open 2.0-3.0 (Intermediate/Beginner)
Dogs Out,Brewster Backhands,Semi-finals,ers23alb,"[21, 21]","[17, 18]",Open 2.0-3.0 (Intermediate/Beginner)
Windshield Refurbishment,Sets addicts,Final,ers23alb,"[1, 1]","[0, 0]",Open 2.0-3.0 (Intermediate/Beginner)
Windshield Refurbishment,JASB,1st place,ers23alb,"[1, 0, 1]","[0, 1, 0]",Open 2.0-3.0 (Intermediate/Beginner)
Sets addicts,We want a Smoothie Gift Card,1st place,ers23alb,"[21, 21]","[8, 14]",Open 2.0-3.0 (Intermediate/Beginner)
Jewish and Confused,Hazard Analysis,P5: Semi-finals,ers23alb,"[-1, -1, -1]","[-1, -1, -1]",Open 2.0-3.0 (Intermediate/Beginner)
We want a Smoothie Gift Card,JASB,P5: Final,ers23alb,"[-1, -1, -1]","[-1, -1, -1]",Open 2.0-3.0 (Intermediate/Beginner)
