Team Name,Wins,Losses,Result,Division,Tournament
Father-son Bonding,7,0,1,Open 4.5+,ers23nj
Good Cop Bad Cop,4,3,2,Open 4.5+,ers23nj
Slow Jamz,4,3,3,Open 4.5+,ers23nj
Monmouth Spikes,4,3,4,Open 4.5+,ers23nj
Impenetrable,5,2,5,Open 4.5+,ers23nj
Prison Mike,4,4,6,Open 4.5+,ers23nj
Lemon Lads🍋,3,3,7,Open 4.5+,ers23nj
Ball Fondlers,1,6,7,Open 4.5+,ers23nj
Rutgers Roundnet,2,4,9,Open 4.5+,ers23nj
Berg & Burk,0,6,10,Open 4.5+,ers23nj
Bread Winners,5,1,1,Open 3.0-4.0,ers23nj
Front Pocket,5,2,2,Open 3.0-4.0,ers23nj
West Side,6,1,3,Open 3.0-4.0,ers23nj
Pocket Rockets,4,2,4,Open 3.0-4.0,ers23nj
Epic gamers,1,3,5,Open 3.0-4.0,ers23nj
RU Spiked,1,5,5,Open 3.0-4.0,ers23nj
Spikeadelic,1,3,5,Open 3.0-4.0,ers23nj
Rori McSpikeilroy,1,3,5,Open 3.0-4.0,ers23nj
M & M,0,4,9,Open 3.0-4.0,ers23nj
