Team 1,Team 2,Round,Tournament,Team 1 Scores,Team 2 Scores,Division
Rutgers Roundnet,Ball Fondlers,Round of 16,ers23nj,"[19, 21, 14]","[21, 12, 21]",Open 4.5+
Father-son Bonding,Ball Fondlers,Quarter-finals,ers23nj,"[21, 21]","[13, 12]",Open 4.5+
Impenetrable,Slow Jamz,Quarter-finals,ers23nj,"[19, 21, 17]","[21, 15, 21]",Open 4.5+
Father-son Bonding,Slow Jamz,Semi-finals,ers23nj,"[21, 20, 21]","[18, 22, 15]",Open 4.5+
Monmouth Spikes,Good Cop Bad Cop,Final,ers23nj,"[18, 16]","[21, 21]",Open 4.5+
Monmouth Spikes,Prison Mike,1st place,ers23nj,"[21, 21]","[18, 19]",Open 4.5+
Lemon Lads🍋,Good Cop Bad Cop,1st place,ers23nj,"[13, 16]","[21, 21]",Open 4.5+
Prison Mike,Berg & Burk,3rd place,ers23nj,"[21, 21]","[14, 17]",Open 4.5+
Impenetrable,Ball Fondlers,P5: Semi-finals,ers23nj,"[21, 1]","[11, 0]",Open 4.5+
Lemon Lads🍋,Prison Mike,P5: Final,ers23nj,"[20, 0]","[22, 1]",Open 4.5+
M & M,RU Spiked,Round of 16,ers23nj,[0],[2],Open 3.0-4.0
Pocket Rockets,RU Spiked,Quarter-finals,ers23nj,"[1, 1]","[0, 0]",Open 3.0-4.0
Front Pocket,Epic gamers,Quarter-finals,ers23nj,"[16, 21, 21]","[21, 17, 18]",Open 3.0-4.0
Pocket Rockets,Front Pocket,Semi-finals,ers23nj,"[0, 0]","[1, 1]",Open 3.0-4.0
West Side,Bread Winners,Final,ers23nj,"[17, 12]","[21, 21]",Open 3.0-4.0
West Side,Rori McSpikeilroy,1st place,ers23nj,"[21, 21]","[16, 17]",Open 3.0-4.0
Bread Winners,Spikeadelic,1st place,ers23nj,"[21, 21]","[5, 5]",Open 3.0-4.0
Epic gamers,RU Spiked,P5: Semi-finals,ers23nj,"[-1, -1, -1]","[-1, -1, -1]",Open 3.0-4.0
Spikeadelic,Rori McSpikeilroy,P5: Final,ers23nj,"[-1, -1, -1]","[-1, -1, -1]",Open 3.0-4.0
