Team 1,Team 2,Round,Tournament,Team 1 Scores,Team 2 Scores,Division
RCB Spikeleeks,Gemmathi & Let's Jo,Round of 32,ets-vienna-2023,"[15, 10, 15]","[9, 15, 17]",Open Gold
Double Touch,LTTL RNDNT,Round of 32,ets-vienna-2023,"[15, 10, 15]","[13, 15, 10]",Open Gold
Clarké au floor,Pierre Feuille Victor,Round of 32,ets-vienna-2023,"[1, 1]","[0, 0]",Open Gold
Hokus Boom,Tac Tac,Round of 32,ets-vienna-2023,"[15, 15]","[11, 12]",Open Gold
Ingo Ingo Ingo Ingolstaaadt,Double Bang,Round of 32,ets-vienna-2023,"[15, 11, 11]","[12, 15, 15]",Open Gold
RCB Drü,RBZ Tocco Italiano,Round of 32,ets-vienna-2023,"[1, 0, 1]","[0, 1, 0]",Open Gold
JulJan,Never Cold🌡️,Round of 32,ets-vienna-2023,"[15, 15]","[13, 11]",Open Gold
Hustling Brothers,Gemmathi & Let's Jo,Round of 16,ets-vienna-2023,"[15, 15]","[10, 11]",Open Gold
Double Touch,Clarké au floor,Round of 16,ets-vienna-2023,"[10, 11]","[15, 15]",Open Gold
Hokus Boom,Double Bang,Round of 16,ets-vienna-2023,"[15, 15]","[11, 13]",Open Gold
RCB Drü,JulJan,Round of 16,ets-vienna-2023,"[16, 15]","[14, 13]",Open Gold
Hustling Brothers,Clarké au floor,Quarter-finals,ets-vienna-2023,"[21, 12, 20]","[14, 21, 22]",Open Gold
Hokus Boom,RCB Drü,Quarter-finals,ets-vienna-2023,"[19, 21, 21]","[21, 13, 19]",Open Gold
Clarké au floor,Hokus Boom,Semi-finals,ets-vienna-2023,"[21, 21]","[18, 14]",Open Gold
Willy Wonka,Bürkle/Hinkle,Final,ets-vienna-2023,"[12, 20]","[21, 22]",Open Gold
Rainbow Warriors,Willy Wonka,1st place,ets-vienna-2023,"[17, 21, 19]","[21, 18, 21]",Open Gold
RBZ Capri Sons,Bürkle/Hinkle,1st place,ets-vienna-2023,"[16, 21, 15]","[21, 17, 21]",Open Gold
Rainbow Warriors,Smile,3rd place,ets-vienna-2023,"[15, 15]","[13, 12]",Open Gold
RDO Flix und Fertig,Willy Wonka,3rd place,ets-vienna-2023,"[14, 18, 7]","[16, 16, 15]",Open Gold
RCG Powerline,RBZ Capri Sons,3rd place,ets-vienna-2023,"[11, 15, 13]","[15, 11, 15]",Open Gold
Double O steal your hoe,Bürkle/Hinkle,3rd place,ets-vienna-2023,"[17, 15]","[21, 21]",Open Gold
Smile,Future Burnouts,Semi-finals,ets-vienna-2023,"[15, 16, 15]","[13, 18, 12]",Open Gold
RDO Flix und Fertig,nerds in disguise,Semi-finals,ets-vienna-2023,"[1, 0, 15]","[0, 1, 13]",Open Gold
Willy Wonka,"halo, halo, palma?",Semi-finals,ets-vienna-2023,"[1, 15]","[0, 9]",Open Gold
RBZ Capri Sons,Incrediballers,Semi-finals,ets-vienna-2023,"[15, 15]","[9, 10]",Open Gold
Double O steal your hoe,UnderDAWGS,Semi-finals,ets-vienna-2023,"[15, 15]","[12, 13]",Open Gold
Bürkle/Hinkle,Gauterin/Rösinger,Semi-finals,ets-vienna-2023,"[15, 15]","[8, 10]",Open Gold
RCB Drü,Hustling Brothers,P5: Semi-finals,ets-vienna-2023,"[1, 1]","[0, 0]",Open Gold
RBZ Capri Sons,Rainbow Warriors,P5: Final,ets-vienna-2023,"[1, 1]","[0, 0]",Open Gold
Double Touch,Gemmathi & Let's Jo,P9: Quarter-finals,ets-vienna-2023,"[10, 12]","[15, 15]",Open Gold
JulJan,Double Bang,P9: Quarter-finals,ets-vienna-2023,"[11, 15, 17]","[15, 9, 15]",Open Gold
Gemmathi & Let's Jo,JulJan,P9: Semi-finals,ets-vienna-2023,"[12, 15, 14]","[15, 10, 16]",Open Gold
Smile,RCG Powerline,P9: Final,ets-vienna-2023,"[1, 1]","[0, 0]",Open Gold
RDO Flix und Fertig,Smile,9th place,ets-vienna-2023,"[24, 0]","[25, 1]",Open Gold
Double O steal your hoe,RCG Powerline,9th place,ets-vienna-2023,"[15, 12, 19]","[11, 15, 21]",Open Gold
Double Bang,Double Touch,P13: Semi-finals,ets-vienna-2023,"[1, 1]","[0, 0]",Open Gold
Double O steal your hoe,RDO Flix und Fertig,P13: Final,ets-vienna-2023,"[0, 0]","[1, 1]",Open Gold
LTTL RNDNT,Pierre Feuille Victor,P17: Round of 16,ets-vienna-2023,"[1, 0, 1]","[0, 1, 0]",Open Gold
Ingo Ingo Ingo Ingolstaaadt,Tac Tac,P17: Round of 16,ets-vienna-2023,"[17, 0]","[21, 1]",Open Gold
RBZ Tocco Italiano,Never Cold🌡️,P17: Round of 16,ets-vienna-2023,"[1, 1]","[0, 0]",Open Gold
RCB Spikeleeks,LTTL RNDNT,P17: Quarter-finals,ets-vienna-2023,"[15, 15]","[13, 13]",Open Gold
Tac Tac,RBZ Tocco Italiano,P17: Quarter-finals,ets-vienna-2023,"[0, 0]","[1, 1]",Open Gold
RCB Spikeleeks,RBZ Tocco Italiano,P17: Semi-finals,ets-vienna-2023,"[19, 1, 0]","[21, 0, 1]",Open Gold
Future Burnouts,UnderDAWGS,P17: Final,ets-vienna-2023,"[15, 13, 11]","[7, 15, 15]",Open Gold
Future Burnouts,nerds in disguise,17th place,ets-vienna-2023,"[1, 1]","[0, 0]",Open Gold
Incrediballers,UnderDAWGS,17th place,ets-vienna-2023,"[10, 11]","[15, 15]",Open Gold
nerds in disguise,"halo, halo, palma?",19th place,ets-vienna-2023,"[12, 15, 15]","[15, 13, 11]",Open Gold
UnderDAWGS,Gauterin/Rösinger,19th place,ets-vienna-2023,"[21, 1]","[19, 0]",Open Gold
Tac Tac,LTTL RNDNT,P21: Semi-finals,ets-vienna-2023,"[0, 0]","[1, 1]",Open Gold
Incrediballers,nerds in disguise,P21: Final,ets-vienna-2023,"[1, 1]","[0, 0]",Open Gold
Never Cold🌡️,Ingo Ingo Ingo Ingolstaaadt,P25: Quarter-finals,ets-vienna-2023,"[0, 0]","[1, 1]",Open Gold
Pierre Feuille Victor,Ingo Ingo Ingo Ingolstaaadt,P25: Semi-finals,ets-vienna-2023,"[22, 1]","[20, 0]",Open Gold
