Team Name,Wins,Losses,Result,Division,Tournament
Eisenträger/Siemer,7,0,1,Open Pro,etspadova2023
RCB Drü,5,2,2,Open Pro,etspadova2023
Hustling Brothers,5,2,3,Open Pro,etspadova2023
Never Cold🌡️,4,3,4,Open Pro,etspadova2023
RCG Powerline,4,3,5,Open Pro,etspadova2023
Kandula/Visek,2,5,6,Open Pro,etspadova2023
Paindrops,5,2,7,Open Pro,etspadova2023
Pour Combien ?,4,3,8,Open Pro,etspadova2023
Hokus Boom,2,3,9,Open Pro,etspadova2023
Lacombe/Chapelière,2,3,9,Open Pro,etspadova2023
[SUI] Rimle/Peter,3,2,9,Open Pro,etspadova2023
RCB Spikeleeks,1,4,9,Open Pro,etspadova2023
nerds in disguise,1,5,13,Open Pro,etspadova2023
RBZ Capri Sons,3,2,14,Open Pro,etspadova2023
Double Bang,0,5,14,Open Pro,etspadova2023
Fred Potter,1,5,14,Open Pro,etspadova2023
25.02,2,4,0,Women's Pro,etspadova2023
Allesch Kapoedt,3,4,0,Women's Pro,etspadova2023
Apple Bottom Jeans,4,3,0,Women's Pro,etspadova2023
Chicken Joe,0,0,0,Women's Pro,etspadova2023
Cucciolone guerriere,4,3,0,Women's Pro,etspadova2023
Curly Fries,4,3,0,Women's Pro,etspadova2023
GBR - TROUGHTON / FATT,2,4,0,Women's Pro,etspadova2023
Helena/Hanna,0,6,0,Women's Pro,etspadova2023
Miettes de biscuit,1,4,0,Women's Pro,etspadova2023
Mosquitos,1,6,0,Women's Pro,etspadova2023
Mrc Stadlers,3,3,0,Women's Pro,etspadova2023
Out Of Order,5,2,0,Women's Pro,etspadova2023
Puces&dives,4,2,0,Women's Pro,etspadova2023
secco maracuja,3,3,0,Women's Pro,etspadova2023
tiramisu,7,0,0,Women's Pro,etspadova2023
towerful,5,1,0,Women's Pro,etspadova2023
Belgian Fries,3,4,0,Open Gold,etspadova2023
Bodybag!,5,2,0,Open Gold,etspadova2023
Cobra Spike,2,4,0,Open Gold,etspadova2023
Eynard/Sacchini,4,3,0,Open Gold,etspadova2023
French Contact,5,2,0,Open Gold,etspadova2023
GBR - ELBOURNE / COOK,1,6,0,Open Gold,etspadova2023
Gemmathi & Let's Jo,7,0,0,Open Gold,etspadova2023
"halo, halo, palma?",2,4,0,Open Gold,etspadova2023
Jonas/Stoisser,5,2,0,Open Gold,etspadova2023
Marcos/Halvard,3,4,0,Open Gold,etspadova2023
Mareschal/Merlin,2,5,0,Open Gold,etspadova2023
One Swedish Machine,3,4,0,Open Gold,etspadova2023
Pas Toucheyyy,4,3,0,Open Gold,etspadova2023
Pocket Aces,2,4,0,Open Gold,etspadova2023
Serial Chillers,3,3,0,Open Gold,etspadova2023
Spikeghetti,3,4,0,Open Gold,etspadova2023
[BEL] Baguet/De Pauw,3,6,0,Open Contender,etspadova2023
[EGY] Hamburger,1,6,0,Open Contender,etspadova2023
[EGY] It's complicated,1,5,0,Open Contender,etspadova2023
[EGY] Zebda,1,5,0,Open Contender,etspadova2023
Alpes roundnet,5,4,0,Open Contender,etspadova2023
Baltic Powerhouse,2,6,0,Open Contender,etspadova2023
BRRRAS,2,6,0,Open Contender,etspadova2023
Brusbrothers,3,4,0,Open Contender,etspadova2023
Claviculae Fractura,3,4,0,Open Contender,etspadova2023
Coaching Gagnant,6,2,0,Open Contender,etspadova2023
Cold start,3,5,0,Open Contender,etspadova2023
Curly Cutters,8,1,0,Open Contender,etspadova2023
CutriX,6,2,0,Open Contender,etspadova2023
Cutter Boyz,5,3,0,Open Contender,etspadova2023
Dimi and Dano,1,6,0,Open Contender,etspadova2023
Els Cracks,5,4,0,Open Contender,etspadova2023
Free Electrons,3,6,0,Open Contender,etspadova2023
GBR - CALLAWAY / JACKSON,6,2,0,Open Contender,etspadova2023
GBR - DOUGLAS / CARMICHAEL,8,1,0,Open Contender,etspadova2023
GBR - HINGORANI / TBC,2,4,0,Open Contender,etspadova2023
GBR - SAYYED / MACQUET,4,4,0,Open Contender,etspadova2023
Golden Derby,6,3,0,Open Contender,etspadova2023
Hihilism,2,6,0,Open Contender,etspadova2023
In the pocket,6,2,0,Open Contender,etspadova2023
Jalapeno Unchained,1,6,0,Open Contender,etspadova2023
Jorge/Leonardo,3,5,0,Open Contender,etspadova2023
Kondie Blondie,5,3,0,Open Contender,etspadova2023
L-Mansion,5,4,0,Open Contender,etspadova2023
"LSF ""Sensei""",6,3,0,Open Contender,etspadova2023
M&M's,6,3,0,Open Contender,etspadova2023
Mattia Marco,5,3,0,Open Contender,etspadova2023
MEZCAP,4,4,0,Open Contender,etspadova2023
Netiquette,4,4,0,Open Contender,etspadova2023
Panetta,1,5,0,Open Contender,etspadova2023
Piccirillo Di Fazio,2,4,0,Open Contender,etspadova2023
Pindakaasseur,3,5,0,Open Contender,etspadova2023
Prison/Baumann,7,2,0,Open Contender,etspadova2023
Pusshycut,3,5,0,Open Contender,etspadova2023
R-UNIT,4,5,0,Open Contender,etspadova2023
RC Magic Hits,5,4,0,Open Contender,etspadova2023
RC Magic Wands,3,6,0,Open Contender,etspadova2023
RCB - Most Improved,3,4,0,Open Contender,etspadova2023
RCB Presidenziale,7,1,0,Open Contender,etspadova2023
RCB Rock'n Ball!,4,5,0,Open Contender,etspadova2023
RCC Nullards,0,6,0,Open Contender,etspadova2023
Seitz/Kauppinen,4,4,0,Open Contender,etspadova2023
Serve and Smile,6,3,0,Open Contender,etspadova2023
Sitting ducks,7,2,0,Open Contender,etspadova2023
STRATOSFICHI,3,5,0,Open Contender,etspadova2023
The Blocksmiths,7,2,0,Open Contender,etspadova2023
Warsaw Spikes DuPę,6,3,0,Open Contender,etspadova2023
WS Jazz Astral,2,5,0,Open Contender,etspadova2023
[BEL] - Delbecke/Vankemenade,6,1,0,Women's Advanced,etspadova2023
[ITA] Biondini/Berlanda,2,5,0,Women's Advanced,etspadova2023
[ITA] Canu/Orlandini,5,2,0,Women's Advanced,etspadova2023
[POL] Spooky Spike 🔥,2,6,0,Women's Advanced,etspadova2023
BooooomBall,5,3,0,Women's Advanced,etspadova2023
Finguins 🐧,5,3,0,Women's Advanced,etspadova2023
Fireball,2,5,0,Women's Advanced,etspadova2023
Flicking chicks,3,4,0,Women's Advanced,etspadova2023
flip flap,4,4,0,Women's Advanced,etspadova2023
GBR - COOKE / SMITH,2,5,0,Women's Advanced,etspadova2023
GBR - HILL-SMITH / QUIBELL,0,6,0,Women's Advanced,etspadova2023
Hot Dogs,6,1,0,Women's Advanced,etspadova2023
Kassa Wodkis,6,1,0,Women's Advanced,etspadova2023
Las Chinches,2,5,0,Women's Advanced,etspadova2023
Les pushy cats,6,2,0,Women's Advanced,etspadova2023
Long Short,4,3,0,Women's Advanced,etspadova2023
Maßkrug Tapas,2,5,0,Women's Advanced,etspadova2023
Ovary action,2,4,0,Women's Advanced,etspadova2023
RCB Snack Attackers,3,4,0,Women's Advanced,etspadova2023
Roundabout Rallies,5,3,0,Women's Advanced,etspadova2023
