Team 1,Team 2,Round,Tournament,Team 1 Scores,Team 2 Scores,Division
salute emoji,Pull and Pray,Quarter-finals,fra23-major1,"[21, 21]","[16, 13]",Open 3.0 (Intermediate)
Cubilete,ball,Quarter-finals,fra23-major1,"[21, 21]","[18, 12]",Open 3.0 (Intermediate)
salute emoji,Cubilete,Semi-finals,fra23-major1,"[21, 18, 21]","[19, 21, 16]",Open 3.0 (Intermediate)
Cuddle Sluts,#1 blonde haters,Final,fra23-major1,"[21, 19, 21]","[19, 21, 18]",Open 3.0 (Intermediate)
Cuddle Sluts,[HRN] SPIKE WAZOWSKI,1st place,fra23-major1,"[21, 21]","[14, 9]",Open 3.0 (Intermediate)
#1 blonde haters,Barry Bee,1st place,fra23-major1,"[21, 9, 21]","[15, 21, 18]",Open 3.0 (Intermediate)
ball,Pull and Pray,P5: Semi-finals,fra23-major1,"[18, 18]","[21, 21]",Open 3.0 (Intermediate)
Barry Bee,[HRN] SPIKE WAZOWSKI,P5: Final,fra23-major1,"[21, 15, 21]","[18, 21, 15]",Open 3.0 (Intermediate)
ball,Pull and Pray,P5: Semi-finals,fra23-major1,"[18, 18]","[21, 21]",Open 3.0 (Intermediate)
Barry Bee,[HRN] SPIKE WAZOWSKI,P5: Final,fra23-major1,"[21, 15, 21]","[18, 21, 15]",Open 3.0 (Intermediate)
Spikes in Paradise,blue ballz,Quarter-finals,fra23-major1,"[21, 21]","[14, 12]",Open 4.5 (Contender)
Lechuga,Rim sniffers,Quarter-finals,fra23-major1,"[1, 0, 1]","[0, 1, 0]",Open 4.5 (Contender)
Spikes in Paradise,Lechuga,Semi-finals,fra23-major1,"[22, 21]","[20, 12]",Open 4.5 (Contender)
Hell's Kitchen,[HRN] Bust a Net,Final,fra23-major1,"[16, 28, 23]","[21, 26, 25]",Open 4.5 (Contender)
Hell's Kitchen,Ace in our Veins,1st place,fra23-major1,"[21, 17, 21]","[9, 21, 19]",Open 4.5 (Contender)
[HRN] Bust a Net,Doomfist,1st place,fra23-major1,"[22, 20, 21]","[20, 22, 15]",Open 4.5 (Contender)
Rim sniffers,blue ballz,P5: Semi-finals,fra23-major1,"[0, 0]","[21, 21]",Open 4.5 (Contender)
Doomfist,Ace in our Veins,P5: Final,fra23-major1,"[21, 19, 7]","[19, 21, 15]",Open 4.5 (Contender)
Rim sniffers,blue ballz,P5: Semi-finals,fra23-major1,"[0, 0]","[21, 21]",Open 4.5 (Contender)
Doomfist,Ace in our Veins,P5: Final,fra23-major1,"[21, 19, 7]","[19, 21, 15]",Open 4.5 (Contender)
Quality Control,Werner Bros. Entertainment,Round of 16,fra23-major1,"[21, 21]","[9, 8]",Open 5.0 (Expert)
I can't believe its not Margarine!,Elysium,Round of 16,fra23-major1,"[5, 21, 11]","[21, 17, 21]",Open 5.0 (Expert)
Tidal Wave,Double-Time Swing,Round of 16,fra23-major1,"[21, 19, 18]","[13, 21, 21]",Open 5.0 (Expert)
2004 Toyota Corolla,Net Gains,Round of 16,fra23-major1,"[19, 20]","[21, 22]",Open 5.0 (Expert)
Quality Control,Elysium,Quarter-finals,fra23-major1,"[21, 21]","[12, 17]",Open 5.0 (Expert)
Double-Time Swing,Net Gains,Quarter-finals,fra23-major1,"[21, 17, 22]","[15, 21, 20]",Open 5.0 (Expert)
Quality Control,Double-Time Swing,Semi-finals,fra23-major1,"[22, 21]","[20, 16]",Open 5.0 (Expert)
Get Cut Get Butt,Dom & Daws,Final,fra23-major1,"[8, 17]","[21, 21]",Open 5.0 (Expert)
Get Cut Get Butt,Dad and Daddy,1st place,fra23-major1,"[21, 21]","[13, 13]",Open 5.0 (Expert)
