Team Name,Wins,Losses,Result,Division,Tournament
2 Girls 1 Cut,4,5,0,Open 3.0 (Intermediate),fra23-major3
Bad omens,8,1,0,Open 3.0 (Intermediate),fra23-major3
Ballers With No Spike,0,8,0,Open 3.0 (Intermediate),fra23-major3
Dog chompers,4,5,0,Open 3.0 (Intermediate),fra23-major3
Island Boiz,7,1,0,Open 3.0 (Intermediate),fra23-major3
PaZ,2,6,0,Open 3.0 (Intermediate),fra23-major3
Spike Sisters,5,4,0,Open 3.0 (Intermediate),fra23-major3
DoggieL0v3rs,9,1,0,Open 4.5 (Contender),fra23-major3
DUI guys,5,5,0,Open 4.5 (Contender),fra23-major3
Net Ninjas,7,3,0,Open 4.5 (Contender),fra23-major3
Sexy spikers,3,7,0,Open 4.5 (Contender),fra23-major3
Swedish Jumpset,1,8,0,Open 4.5 (Contender),fra23-major3
TBR & Associates,9,1,0,Open 4.5 (Contender),fra23-major3
The Jonas Brothers,0,9,0,Open 4.5 (Contender),fra23-major3
🫡🫡🫡,5,5,0,Open 4.5 (Contender),fra23-major3
Dani boy and Chilly boy,6,3,0,Open 5.0 (Expert),fra23-major3
Dethrone,7,3,0,Open 5.0 (Expert),fra23-major3
god and peasant,4,3,0,Open 5.0 (Expert),fra23-major3
Im Netting,1,6,0,Open 5.0 (Expert),fra23-major3
Kingdom Came,4,5,0,Open 5.0 (Expert),fra23-major3
Last Minute Men,2,7,0,Open 5.0 (Expert),fra23-major3
MC-Savage,6,2,0,Open 5.0 (Expert),fra23-major3
Net Finders,1,5,0,Open 5.0 (Expert),fra23-major3
Nursing Home,1,7,0,Open 5.0 (Expert),fra23-major3
Peak Physique,7,1,0,Open 5.0 (Expert),fra23-major3
Quality Control,9,0,0,Open 5.0 (Expert),fra23-major3
Short Schnitz,1,5,0,Open 5.0 (Expert),fra23-major3
Tsunami Ali,3,5,0,Open 5.0 (Expert),fra23-major3
