Team Name,Wins,Losses,Result,Division,Tournament
TRP Spotless,9,0,1,Open 4.5+,gwr23jan7
TRP Uppercut,8,1,2,Open 4.5+,gwr23jan7
Bad Combo,8,1,3,Open 4.5+,gwr23jan7
F.F.,6,3,4,Open 4.5+,gwr23jan7
Gentlemen’s,5,2,5,Open 4.5+,gwr23jan7
Epperson/Lippman,5,2,5,Open 4.5+,gwr23jan7
CRO Stepbros 🥵,4,3,5,Open 4.5+,gwr23jan7
Glitch,5,2,5,Open 4.5+,gwr23jan7
Dan Flashes,5,4,9,Open 4.5+,gwr23jan7
Ew gross yellow ball,4,5,10,Open 4.5+,gwr23jan7
Off The Rip,4,4,11,Open 4.5+,gwr23jan7
Study Abroad Changed Us,3,5,11,Open 4.5+,gwr23jan7
Sour gummy worms,2,5,13,Open 4.5+,gwr23jan7
Barracuda,3,4,13,Open 4.5+,gwr23jan7
Hawaiian Punch,4,3,13,Open 4.5+,gwr23jan7
Yoked,3,4,13,Open 4.5+,gwr23jan7
VBR XOs,3,4,17,Open 4.5+,gwr23jan7
Wei 2 Sexy,2,6,18,Open 4.5+,gwr23jan7
Bruh moment,3,5,19,Open 4.5+,gwr23jan7
Grape Juice,1,7,20,Open 4.5+,gwr23jan7
Rowe/White,1,5,21,Open 4.5+,gwr23jan7
Malding 🤬,0,6,22,Open 4.5+,gwr23jan7
Righty Serves Only,1,5,22,Open 4.5+,gwr23jan7
You got megged,8,0,1,Open 3.0-4.0,gwr23jan7
TBD,6,2,2,Open 3.0-4.0,gwr23jan7
Habibis,6,2,3,Open 3.0-4.0,gwr23jan7
MBR Cracked Eggs,5,4,4,Open 3.0-4.0,gwr23jan7
Sass to the Grass,6,2,5,Open 3.0-4.0,gwr23jan7
JMU Execs,4,3,6,Open 3.0-4.0,gwr23jan7
dinger,6,2,6,Open 3.0-4.0,gwr23jan7
Tunnel Vision,4,4,6,Open 3.0-4.0,gwr23jan7
Hunky Hokies,3,3,9,Open 3.0-4.0,gwr23jan7
Macdonald/Phan,2,4,9,Open 3.0-4.0,gwr23jan7
cat ladies first,4,4,11,Open 3.0-4.0,gwr23jan7
Two Hot Men,4,4,12,Open 3.0-4.0,gwr23jan7
Sunny Side Up,3,5,13,Open 3.0-4.0,gwr23jan7
Beach Bums,1,7,14,Open 3.0-4.0,gwr23jan7
bari,2,5,15,Open 3.0-4.0,gwr23jan7
gt mustang,1,5,16,Open 3.0-4.0,gwr23jan7
I Draw Pot Of Greed,0,6,16,Open 3.0-4.0,gwr23jan7
Rabby,2,5,16,Open 3.0-4.0,gwr23jan7
