Team 1,Team 2,Round,Tournament,Team 1 Scores,Team 2 Scores,Division
TRP Spotless,Study Abroad Changed Us,Round of 16,gwr23jan7,"[21, 21]","[11, 15]",Open 4.5+
Glitch,Yoked,Round of 16,gwr23jan7,"[14, 21, 21]","[21, 19, 20]",Open 4.5+
F.F.,Ew gross yellow ball,Round of 16,gwr23jan7,"[21, 21]","[16, 17]",Open 4.5+
Hawaiian Punch,CRO Stepbros 🥵,Round of 16,gwr23jan7,"[12, 14]","[21, 21]",Open 4.5+
TRP Spotless,Glitch,Quarter-finals,gwr23jan7,"[21, 21]","[18, 15]",Open 4.5+
F.F.,CRO Stepbros 🥵,Quarter-finals,gwr23jan7,"[21, 21]","[8, 15]",Open 4.5+
TRP Spotless,F.F.,Semi-finals,gwr23jan7,"[13, 21, 21]","[21, 14, 14]",Open 4.5+
TRP Uppercut,Bad Combo,Final,gwr23jan7,"[21, 19, 21]","[19, 21, 19]",Open 4.5+
TRP Uppercut,Epperson/Lippman,1st place,gwr23jan7,"[27, 21]","[25, 13]",Open 4.5+
Bad Combo,Gentlemen’s,1st place,gwr23jan7,"[21, 21]","[16, 15]",Open 4.5+
TRP Uppercut,Dan Flashes,3rd place,gwr23jan7,"[21, 21]","[16, 12]",Open 4.5+
Epperson/Lippman,Barracuda,3rd place,gwr23jan7,"[21, 21]","[14, 20]",Open 4.5+
Bad Combo,Sour gummy worms,3rd place,gwr23jan7,"[21, 21]","[15, 8]",Open 4.5+
Gentlemen’s,Off The Rip,3rd place,gwr23jan7,"[21, 21]","[14, 17]",Open 4.5+
CRO Stepbros 🥵,Glitch,P5: Semi-finals,gwr23jan7,[-1],[-1],Open 4.5+
Gentlemen’s,Epperson/Lippman,P5: Final,gwr23jan7,[-1],[-1],Open 4.5+
Yoked,Study Abroad Changed Us,P9: Quarter-finals,gwr23jan7,[18],[21],Open 4.5+
Hawaiian Punch,Ew gross yellow ball,P9: Quarter-finals,gwr23jan7,[2114],[2321],Open 4.5+
Study Abroad Changed Us,Ew gross yellow ball,P9: Semi-finals,gwr23jan7,"[16, 13]","[21, 21]",Open 4.5+
Dan Flashes,Off The Rip,P9: Final,gwr23jan7,"[1, 1]","[0, 0]",Open 4.5+
Barracuda,Dan Flashes,9th place,gwr23jan7,[1],[2],Open 4.5+
Off The Rip,Sour gummy worms,9th place,gwr23jan7,[1],[0],Open 4.5+
Hawaiian Punch,Yoked,P13: Semi-finals,gwr23jan7,[-1],[-1],Open 4.5+
Sour gummy worms,Barracuda,P13: Final,gwr23jan7,[-1],[-1],Open 4.5+
Rowe/White,Grape Juice,Quarter-finals,gwr23jan7,[1],[2],Open 4.5+
VBR XOs,Grape Juice,Semi-finals,gwr23jan7,[2],[0],Open 4.5+
Wei 2 Sexy,Bruh moment,Final,gwr23jan7,[2],[0],Open 4.5+
Righty Serves Only,Wei 2 Sexy,1st place,gwr23jan7,[0],[2],Open 4.5+
Bruh moment,Malding 🤬,1st place,gwr23jan7,[2],[0],Open 4.5+
Malding 🤬,Righty Serves Only,P5: Final,gwr23jan7,[-1],[-1],Open 4.5+
Malding 🤬,Righty Serves Only,P5: Final,gwr23jan7,[-1],[-1],Open 4.5+
Hunky Hokies,MBR Cracked Eggs,Round of 16,gwr23jan7,"[7, 12]","[15, 15]",Open 3.0-4.0
dinger,MBR Cracked Eggs,Quarter-finals,gwr23jan7,"[15, 16]","[21, 21]",Open 3.0-4.0
JMU Execs,TBD,Quarter-finals,gwr23jan7,"[18, 20]","[21, 22]",Open 3.0-4.0
MBR Cracked Eggs,TBD,Semi-finals,gwr23jan7,"[21, 18, 14]","[17, 21, 21]",Open 3.0-4.0
You got megged,Habibis,Final,gwr23jan7,"[21, 21]","[13, 13]",Open 3.0-4.0
You got megged,Tunnel Vision,1st place,gwr23jan7,"[21, 21]","[15, 19]",Open 3.0-4.0
Habibis,Sass to the Grass,1st place,gwr23jan7,"[18, 21, 21]","[21, 10, 15]",Open 3.0-4.0
Tunnel Vision,Macdonald/Phan,3rd place,gwr23jan7,"[15, 15]","[9, 13]",Open 3.0-4.0
JMU Execs,dinger,P5: Semi-finals,gwr23jan7,"[0, 0]","[1, 1]",Open 3.0-4.0
Sass to the Grass,Tunnel Vision,P5: Final,gwr23jan7,"[21, 21]","[19, 17]",Open 3.0-4.0
Rabby,Beach Bums,Quarter-finals,gwr23jan7,"[16, 18]","[21, 21]",Open 3.0-4.0
bari,cat ladies first,Quarter-finals,gwr23jan7,"[22, 15]","[24, 21]",Open 3.0-4.0
Beach Bums,cat ladies first,Semi-finals,gwr23jan7,"[8, 15]","[21, 21]",Open 3.0-4.0
Two Hot Men,Sunny Side Up,Final,gwr23jan7,"[21, 21]","[17, 17]",Open 3.0-4.0
Two Hot Men,I Draw Pot Of Greed,1st place,gwr23jan7,"[21, 21]","[12, 18]",Open 3.0-4.0
Sunny Side Up,gt mustang,1st place,gwr23jan7,"[18, 21, 21]","[21, 16, 15]",Open 3.0-4.0
bari,Rabby,P5: Semi-finals,gwr23jan7,"[21, 15, 21]","[8, 21, 10]",Open 3.0-4.0
gt mustang,I Draw Pot Of Greed,P5: Final,gwr23jan7,"[-1, -1, -1]","[-1, -1, -1]",Open 3.0-4.0
bari,Rabby,P5: Semi-finals,gwr23jan7,"[21, 15, 21]","[8, 21, 10]",Open 3.0-4.0
gt mustang,I Draw Pot Of Greed,P5: Final,gwr23jan7,"[-1, -1, -1]","[-1, -1, -1]",Open 3.0-4.0
