Team 1,Team 2,Round,Tournament,Team 1 Scores,Team 2 Scores,Division
Yucky,Deutsche Bahn 2,Round of 64,atx2023,"[21, 17, 16]","[17, 21, 21]",Premier 🍉
TRP retribution,Deutsche Bahn 2,Round of 32,atx2023,"[21, 21]","[13, 11]",Premier 🍉
Lazy,Drunk in AT,Round of 32,atx2023,"[21, 21]","[17, 18]",Premier 🍉
Asteroid Blues,Mola Mola,Round of 32,atx2023,"[25, 21]","[23, 12]",Premier 🍉
Is that Fred?,TRP Joe Burrows,Round of 32,atx2023,"[12, 9]","[21, 21]",Premier 🍉
Optimistic Mustachism,Serveball Semites,Round of 32,atx2023,"[21, 19, 21]","[16, 21, 19]",Premier 🍉
Hui York but women,Rozie,Round of 32,atx2023,"[16, 21, 13]","[21, 18, 21]",Premier 🍉
TRP Swoosh,Untouchaballs,Round of 32,atx2023,"[21, 21]","[17, 17]",Premier 🍉
"""Who are they?""",WySpike CrossBearers,Round of 32,atx2023,"[18, 21]","[21, 23]",Premier 🍉
TRP retribution,Lazy,Round of 16,atx2023,"[21, 18, 21]","[14, 21, 16]",Premier 🍉
Asteroid Blues,TRP Joe Burrows,Round of 16,atx2023,"[17, 19]","[21, 21]",Premier 🍉
Optimistic Mustachism,Rozie,Round of 16,atx2023,"[21, 21]","[18, 9]",Premier 🍉
TRP Swoosh,WySpike CrossBearers,Round of 16,atx2023,"[22, 20]","[20, 19]",Premier 🍉
TRP retribution,TRP Joe Burrows,Quarter-finals,atx2023,"[27, 21]","[25, 16]",Premier 🍉
Optimistic Mustachism,TRP Swoosh,Quarter-finals,atx2023,"[21, 21]","[13, 15]",Premier 🍉
TRP retribution,Optimistic Mustachism,Semi-finals,atx2023,"[25, 21]","[23, 14]",Premier 🍉
Creamy,TRP Juicy,Final,atx2023,"[18, 11]","[21, 21]",Premier 🍉
Creamy,Yawn 🥱,1st place,atx2023,"[21, 27, 23]","[18, 29, 21]",Premier 🍉
TRP Juicy,TRP Bad Top,1st place,atx2023,"[21, 23]","[19, 21]",Premier 🍉
Creamy,TRP Bling,3rd place,atx2023,"[21, 15, 21]","[15, 21, 15]",Premier 🍉
Chunky,Yawn 🥱,3rd place,atx2023,"[0, 0]","[1, 1]",Premier 🍉
TRP Juicy,Guess we’re going home,3rd place,atx2023,"[21, 21]","[11, 12]",Premier 🍉
WySpike Butterfingers,TRP Bad Top,3rd place,atx2023,"[21, 16, 15]","[16, 21, 21]",Premier 🍉
Creamy,Father and Son,Semi-finals,atx2023,"[21, 21]","[19, 13]",Premier 🍉
