Team 1,Team 2,Round,Tournament,Team 1 Scores,Team 2 Scores,Division
Too Much Tuna,EZ Pass,Round of 16,nyc,"[21, 21]","[16, 14]",Advanced 4.0+
Phil Sho close to you right now 🎶,Rey,Round of 16,nyc,"[21, 21]","[12, 12]",Advanced 4.0+
Yu Just got aced,JAX MAINS,Round of 16,nyc,"[21, 21]","[17, 11]",Advanced 4.0+
High,Too Much Tuna,Quarter-finals,nyc,"[21, 21]","[11, 12]",Advanced 4.0+
Phil Sho close to you right now 🎶,Yu Just got aced,Quarter-finals,nyc,"[19, 22, 20]","[21, 20, 22]",Advanced 4.0+
High,Yu Just got aced,Semi-finals,nyc,"[21, 21]","[10, 15]",Advanced 4.0+
the hardest part,Ricky & Liam,Final,nyc,"[16, 16]","[21, 21]",Advanced 4.0+
the hardest part,Meep Sheadow,1st place,nyc,"[1, 1]","[0, 0]",Advanced 4.0+
Ricky & Liam,Hit on Two ✌️,1st place,nyc,"[21, 21]","[17, 15]",Advanced 4.0+
the hardest part,High Caliber Option,3rd place,nyc,"[1, 1]","[0, 0]",Advanced 4.0+
Meep Sheadow,Adrenaline Junkies,3rd place,nyc,"[21, 21]","[16, 18]",Advanced 4.0+
Ricky & Liam,the serve returners,3rd place,nyc,"[21, 21]","[10, 9]",Advanced 4.0+
Hit on Two ✌️,Bros with no hoes,3rd place,nyc,"[21, 21]","[16, 17]",Advanced 4.0+
Phil Sho close to you right now 🎶,Too Much Tuna,P5: Semi-finals,nyc,"[-1, -1, -1]","[-1, -1, -1]",Advanced 4.0+
Hit on Two ✌️,Meep Sheadow,P5: Final,nyc,"[-1, -1, -1]","[-1, -1, -1]",Advanced 4.0+
JAX MAINS,Rey,P9: Quarter-finals,nyc,"[21, 21]","[15, 16]",Advanced 4.0+
EZ Pass,JAX MAINS,P9: Semi-finals,nyc,"[16, 21, 17]","[21, 14, 21]",Advanced 4.0+
Adrenaline Junkies,High Caliber Option,9th place,nyc,"[-1, -1, -1]","[-1, -1, -1]",Advanced 4.0+
Bros with no hoes,the serve returners,9th place,nyc,"[17, 11]","[21, 21]",Advanced 4.0+
Holly's Challah Hoes,Tiffard,Round of 16,nyc,"[21, 21]","[6, 19]",Intermediate/Beginner
Glizzy Goblins,Holly's Challah Hoes,Quarter-finals,nyc,"[21, 21]","[16, 9]",Intermediate/Beginner
Just the tip,Spike-Rods,Quarter-finals,nyc,"[1, 1, 1]","[0, 0, 0]",Intermediate/Beginner
Glizzy Goblins,Just the tip,Semi-finals,nyc,"[21, 21]","[16, 12]",Intermediate/Beginner
French fries,The beginners,Final,nyc,"[21, 21]","[17, 17]",Intermediate/Beginner
French fries,Vic + Zack,1st place,nyc,"[21, 21]","[17, 14]",Intermediate/Beginner
Gabriel^2,The beginners,1st place,nyc,"[21, 15]","[22, 21]",Intermediate/Beginner
Vic + Zack,Soy Ginger,3rd place,nyc,"[21, 21]","[5, 11]",Intermediate/Beginner
Spike-Rods,Holly's Challah Hoes,P5: Semi-finals,nyc,"[-1, -1, -1]","[-1, -1, -1]",Intermediate/Beginner
Gabriel^2,Vic + Zack,P5: Final,nyc,"[-1, -1, -1]","[-1, -1, -1]",Intermediate/Beginner
