Team Name,Wins,Losses,Result,Division,Tournament
ClubSpike Big Slick,4,3,0,Expert,battlecreek23
GFD Dunk Dunk Dunk,3,2,0,Expert,battlecreek23
GFD fine.,4,4,0,Expert,battlecreek23
GFD Fortnite Battle Pass,3,2,0,Expert,battlecreek23
GFD Gaping Come,4,3,0,Expert,battlecreek23
Itsy Bitsy Spider,6,1,0,Expert,battlecreek23
No look,4,1,0,Expert,battlecreek23
Skinny Guys,0,6,0,Expert,battlecreek23
Turbulence,2,4,0,Expert,battlecreek23
Vortex,1,5,0,Expert,battlecreek23
HRC Dunkin' Mac,3,2,0,Advanced,battlecreek23
HRC Fried Finess,2,4,0,Advanced,battlecreek23
HRC Reformation Ralliers,0,6,0,Advanced,battlecreek23
Mango Cart,3,1,0,Advanced,battlecreek23
Perez/Mazzuchi,5,0,0,Advanced,battlecreek23
