Team 1,Team 2,Round,Tournament,Team 1 Scores,Team 2 Scores,Division
GFD fine.,Vortex,Round of 16,battlecreek23,[21],[17],Expert
No look,GFD fine.,Quarter-finals,battlecreek23,[0],[2],Expert
GFD Dunk Dunk Dunk,ClubSpike Big Slick,Quarter-finals,battlecreek23,[1],[2],Expert
GFD fine.,ClubSpike Big Slick,Semi-finals,battlecreek23,[2],[1],Expert
Itsy Bitsy Spider,GFD Gaping Come,Final,battlecreek23,[2],[0],Expert
Itsy Bitsy Spider,Turbulence,1st place,battlecreek23,[2],[0],Expert
GFD Fortnite Battle Pass,GFD Gaping Come,1st place,battlecreek23,[0],[2],Expert
Turbulence,Skinny Guys,3rd place,battlecreek23,[2],[1],Expert
GFD Dunk Dunk Dunk,No look,P5: Semi-finals,battlecreek23,[-1],[-1],Expert
GFD Fortnite Battle Pass,Turbulence,P5: Final,battlecreek23,[-1],[-1],Expert
