Team Name,Wins,Losses,Result,Division,Tournament
Back Off,8,0,1,Expert,mra-holmescounty-2023
Devil’s Sympathy,8,1,2,Expert,mra-holmescounty-2023
Hamilton/Miller,7,1,3,Expert,mra-holmescounty-2023
Horse Vendetta,6,2,4,Expert,mra-holmescounty-2023
Pressurized,4,3,5,Expert,mra-holmescounty-2023
Simple Enough,5,2,5,Expert,mra-holmescounty-2023
Superior,4,2,5,Expert,mra-holmescounty-2023
Broekema/Reynolds,6,2,5,Expert,mra-holmescounty-2023
Hive Mind,4,2,9,Expert,mra-holmescounty-2023
MLR Nardo Wicks,2,4,9,Expert,mra-holmescounty-2023
TRP Stick Figures,4,1,9,Expert,mra-holmescounty-2023
Ace of Spades,2,4,9,Expert,mra-holmescounty-2023
Fiebelkorn/Quispe,4,3,9,Expert,mra-holmescounty-2023
saunter,2,4,9,Expert,mra-holmescounty-2023
Kiddo pops,4,2,9,Expert,mra-holmescounty-2023
Wife Huggers,3,3,9,Expert,mra-holmescounty-2023
Fo Gish,2,5,17,Expert,mra-holmescounty-2023
Flukey Fellas,3,3,18,Expert,mra-holmescounty-2023
Short Kings,2,3,18,Expert,mra-holmescounty-2023
CHEESE,0,5,18,Expert,mra-holmescounty-2023
gimme dat SHMONEY,0,5,18,Expert,mra-holmescounty-2023
Bekovatch,2,6,18,Expert,mra-holmescounty-2023
Sons of Kenneth,2,5,23,Expert,mra-holmescounty-2023
Whiskey Throttle,1,5,23,Expert,mra-holmescounty-2023
Pringle bros,1,6,23,Expert,mra-holmescounty-2023
Better At Ping Pong,0,7,26,Expert,mra-holmescounty-2023
Arbitrary Spikers,4,5,0,Advanced,mra-holmescounty-2023
Dutch Ballers,5,2,0,Advanced,mra-holmescounty-2023
Emily & Erin,0,6,0,Advanced,mra-holmescounty-2023
Fort Knox,5,2,0,Advanced,mra-holmescounty-2023
Hamburger no meat,6,1,0,Advanced,mra-holmescounty-2023
Jack and the Beanstalk,4,3,0,Advanced,mra-holmescounty-2023
Jdawgs,1,5,0,Advanced,mra-holmescounty-2023
Kryptic_Vibez,3,3,0,Advanced,mra-holmescounty-2023
Little Miss “High” Call,2,5,0,Advanced,mra-holmescounty-2023
LowExpectations,0,6,0,Advanced,mra-holmescounty-2023
one kidney wonders,3,4,0,Advanced,mra-holmescounty-2023
Scooby Smacks,8,1,0,Advanced,mra-holmescounty-2023
Spike Spiegel,1,6,0,Advanced,mra-holmescounty-2023
SpiketimeV2,1,6,0,Advanced,mra-holmescounty-2023
Stark County Roundnet,3,3,0,Advanced,mra-holmescounty-2023
That’s what she said,7,1,0,Advanced,mra-holmescounty-2023
The Luke Nickel Fan Club,2,4,0,Advanced,mra-holmescounty-2023
Zorbin,8,0,0,Advanced,mra-holmescounty-2023
