Team 1,Team 2,Round,Tournament,Team 1 Scores,Team 2 Scores,Division
Short Kings,MLR Nardo Wicks,Round of 32,mra-holmescounty-2023,"[17, 14]","[21, 21]",Expert
Hive Mind,CHEESE,Round of 32,mra-holmescounty-2023,"[21, 21]","[16, 9]",Expert
Simple Enough,gimme dat SHMONEY,Round of 32,mra-holmescounty-2023,"[1, 1]","[0, 0]",Expert
Flukey Fellas,Ace of Spades,Round of 32,mra-holmescounty-2023,"[18, 14]","[21, 21]",Expert
Pressurized,Pringle bros,Round of 32,mra-holmescounty-2023,"[21, 21]","[14, 12]",Expert
Devil’s Sympathy,MLR Nardo Wicks,Round of 16,mra-holmescounty-2023,"[21, 21]","[17, 18]",Expert
Hive Mind,Simple Enough,Round of 16,mra-holmescounty-2023,"[15, 21, 14]","[21, 17, 21]",Expert
Horse Vendetta,Ace of Spades,Round of 16,mra-holmescounty-2023,"[1, 1]","[0, 0]",Expert
Pressurized,TRP Stick Figures,Round of 16,mra-holmescounty-2023,"[21, 21]","[19, 17]",Expert
Devil’s Sympathy,Simple Enough,Quarter-finals,mra-holmescounty-2023,"[21, 21]","[19, 15]",Expert
Horse Vendetta,Pressurized,Quarter-finals,mra-holmescounty-2023,"[21, 17, 21]","[17, 21, 19]",Expert
Devil’s Sympathy,Horse Vendetta,Semi-finals,mra-holmescounty-2023,"[24, 23, 21]","[26, 21, 16]",Expert
Back Off,Hamilton/Miller,Final,mra-holmescounty-2023,"[1, 0, 1]","[0, 1, 0]",Expert
Back Off,Broekema/Reynolds,1st place,mra-holmescounty-2023,"[21, 21]","[14, 17]",Expert
Hamilton/Miller,Superior,1st place,mra-holmescounty-2023,"[21, 18, 21]","[17, 21, 16]",Expert
Back Off,Wife Huggers,3rd place,mra-holmescounty-2023,"[21, 21]","[12, 11]",Expert
Kiddo pops,Broekema/Reynolds,3rd place,mra-holmescounty-2023,"[0, 19]","[1, 21]",Expert
Hamilton/Miller,saunter,3rd place,mra-holmescounty-2023,"[1, 1]","[0, 0]",Expert
Fiebelkorn/Quispe,Superior,3rd place,mra-holmescounty-2023,"[18, 14]","[21, 21]",Expert
Wife Huggers,Whiskey Throttle,Semi-finals,mra-holmescounty-2023,"[1, 1]","[0, 0]",Expert
Kiddo pops,Bekovatch,Semi-finals,mra-holmescounty-2023,"[1, 1]","[0, 0]",Expert
Broekema/Reynolds,Better At Ping Pong,Semi-finals,mra-holmescounty-2023,"[1, 1]","[0, 0]",Expert
Sons of Kenneth,saunter,Semi-finals,mra-holmescounty-2023,"[1, 0, 0]","[0, 1, 1]",Expert
Fiebelkorn/Quispe,Fo Gish,Semi-finals,mra-holmescounty-2023,"[21, 21]","[18, 18]",Expert
Pressurized,Simple Enough,P5: Semi-finals,mra-holmescounty-2023,"[-1, -1, -1]","[-1, -1, -1]",Expert
Superior,Broekema/Reynolds,P5: Final,mra-holmescounty-2023,"[-1, -1, -1]","[-1, -1, -1]",Expert
Hive Mind,MLR Nardo Wicks,P9: Quarter-finals,mra-holmescounty-2023,"[-1, -1, -1]","[-1, -1, -1]",Expert
TRP Stick Figures,Ace of Spades,P9: Quarter-finals,mra-holmescounty-2023,"[-1, -1, -1]","[-1, -1, -1]",Expert
Kiddo pops,Wife Huggers,9th place,mra-holmescounty-2023,"[-1, -1, -1]","[-1, -1, -1]",Expert
Fiebelkorn/Quispe,saunter,9th place,mra-holmescounty-2023,"[-1, -1, -1]","[-1, -1, -1]",Expert
CHEESE,gimme dat SHMONEY,P17: Round of 16,mra-holmescounty-2023,"[-1, -1, -1]","[-1, -1, -1]",Expert
Flukey Fellas,Pringle bros,P17: Quarter-finals,mra-holmescounty-2023,"[1, 1]","[0, 0]",Expert
