Team 1,Team 2,Round,Tournament,Team 1 Scores,Team 2 Scores,Division
Sloppy Spikers,Serve no receive,Round of 32,mrachicago23,"[15, 22]","[21, 24]",Expert(4.5)
Clark/Perez,Ryan Squared,Round of 32,mrachicago23,"[21, 16, 19]","[12, 21, 21]",Expert(4.5)
Web of Aces,Lord of the Rims,Round of 32,mrachicago23,"[28, 21]","[26, 17]",Expert(4.5)
Buck Fifty,Serve no receive,Round of 16,mrachicago23,"[21, 21]","[15, 6]",Expert(4.5)
No skin andys,Primal,Round of 16,mrachicago23,"[17, 17]","[21, 21]",Expert(4.5)
ClubSpike Super Saiyans,Ryan Squared,Round of 16,mrachicago23,"[21, 21]","[17, 12]",Expert(4.5)
Web of Aces,Illuminasian,Round of 16,mrachicago23,"[13, 10]","[21, 21]",Expert(4.5)
Buck Fifty,Primal,Quarter-finals,mrachicago23,"[21, 21]","[10, 8]",Expert(4.5)
ClubSpike Super Saiyans,Illuminasian,Quarter-finals,mrachicago23,"[14, 18]","[21, 21]",Expert(4.5)
Buck Fifty,Illuminasian,Semi-finals,mrachicago23,"[21, 21]","[16, 16]",Expert(4.5)
The Diamond Dogs,Broekema/Hamilton,Final,mrachicago23,"[19, 21, 21]","[21, 19, 23]",Expert(4.5)
The Diamond Dogs,Fiebelkorn/Quispe,1st place,mrachicago23,"[21, 21]","[14, 15]",Expert(4.5)
Broekema/Hamilton,Scrub Daddy,1st place,mrachicago23,"[21, 21]","[14, 16]",Expert(4.5)
The Diamond Dogs,Wrap Gods,3rd place,mrachicago23,"[21, 21]","[8, 9]",Expert(4.5)
kyle & some other guy,Fiebelkorn/Quispe,3rd place,mrachicago23,"[15, 22]","[21, 24]",Expert(4.5)
Broekema/Hamilton,Scholz/Senapati,3rd place,mrachicago23,"[21, 21]","[14, 12]",Expert(4.5)
Spike Bros,Scrub Daddy,3rd place,mrachicago23,"[28, 21, 15]","[30, 19, 21]",Expert(4.5)
C Team Dream,Wrap Gods,Semi-finals,mrachicago23,"[15, 21, 20]","[21, 18, 22]",Expert(4.5)
What the flick?,Scholz/Senapati,Semi-finals,mrachicago23,"[16, 24]","[21, 26]",Expert(4.5)
ClubSpike Super Saiyans,Primal,P5: Semi-finals,mrachicago23,"[-1, -1]","[0, 0]",Expert(4.5)
Scrub Daddy,Fiebelkorn/Quispe,P5: Final,mrachicago23,"[21, -1]","[23, 0]",Expert(4.5)
No skin andys,Serve no receive,P9: Quarter-finals,mrachicago23,"[21, 21]","[15, 15]",Expert(4.5)
Web of Aces,Ryan Squared,P9: Quarter-finals,mrachicago23,"[-1, -1]","[0, 0]",Expert(4.5)
No skin andys,Ryan Squared,P9: Semi-finals,mrachicago23,"[0, 0]","[-1, -1]",Expert(4.5)
kyle & some other guy,Spike Bros,P9: Final,mrachicago23,"[-1, -1, -1]","[-1, -1, -1]",Expert(4.5)
kyle & some other guy,Wrap Gods,9th place,mrachicago23,"[0, 0]","[-1, -1]",Expert(4.5)
Spike Bros,Scholz/Senapati,9th place,mrachicago23,"[0, 0]","[-1, -1]",Expert(4.5)
Web of Aces,Serve no receive,P13: Semi-finals,mrachicago23,"[-1, -1, -1]","[-1, -1, -1]",Expert(4.5)
Scholz/Senapati,Wrap Gods,P13: Final,mrachicago23,"[-1, -1, -1]","[-1, -1, -1]",Expert(4.5)
Clark/Perez,Lord of the Rims,P17: Quarter-finals,mrachicago23,[21],[16],Expert(4.5)
Sloppy Spikers,Clark/Perez,P17: Semi-finals,mrachicago23,[19],[21],Expert(4.5)
C Team Dream,What the flick?,P17: Final,mrachicago23,[21],[19],Expert(4.5)
$1 McChicken,Attack on Spike,Round of 16,mrachicago23,"[21, 21]","[17, 11]",Advanced/Intermediate(3.0-4.0)
Aced and Red Pilled,$1 McChicken,Quarter-finals,mrachicago23,"[21, 14, 0]","[18, 21, -1]",Advanced/Intermediate(3.0-4.0)
Gate,the Czechs,Quarter-finals,mrachicago23,"[13, 17]","[21, 21]",Advanced/Intermediate(3.0-4.0)
Aced and Red Pilled,the Czechs,Semi-finals,mrachicago23,"[21, 21]","[17, 15]",Advanced/Intermediate(3.0-4.0)
The Greathouse's,"No Rights, Just Lefts",Final,mrachicago23,"[21, 21]","[16, 16]",Advanced/Intermediate(3.0-4.0)
The Greathouse's,Rim job,1st place,mrachicago23,"[21, 21]","[14, 13]",Advanced/Intermediate(3.0-4.0)
"No Rights, Just Lefts",knullpojkar,1st place,mrachicago23,"[19, 23, 29]","[21, 21, 27]",Advanced/Intermediate(3.0-4.0)
Rim job,It’s Our Turn,3rd place,mrachicago23,"[21, 21]","[13, 15]",Advanced/Intermediate(3.0-4.0)
Gate,$1 McChicken,P5: Semi-finals,mrachicago23,"[-1, -1, -1]","[-1, -1, -1]",Advanced/Intermediate(3.0-4.0)
knullpojkar,Rim job,P5: Final,mrachicago23,"[-1, -1, -1]","[-1, -1, -1]",Advanced/Intermediate(3.0-4.0)
