Team 1,Team 2,Round,Tournament,Team 1 Scores,Team 2 Scores,Division
He blunders,Vortex,Round of 16,roogang2023,"[21, 11, 21]","[15, 21, 15]",Expert
GFD Gabe Utsecks,Women don't sweat,Round of 16,roogang2023,"[1, 1]","[0, 0]",Expert
TRP Train Boyz,No Bulk Just Cut,Round of 16,roogang2023,"[21, 21]","[10, 4]",Expert
GFD Santa’s helpers,He blunders,Quarter-finals,roogang2023,"[21, 21]","[6, 10]",Expert
GFD Gabe Utsecks,TRP Train Boyz,Quarter-finals,roogang2023,"[1, 1]","[0, 0]",Expert
GFD Santa’s helpers,GFD Gabe Utsecks,Semi-finals,roogang2023,"[19, 21, 21]","[21, 18, 14]",Expert
Orthodox,GFD Buckaroo,Final,roogang2023,"[14, 15]","[21, 21]",Expert
Orthodox,GFD On The Low Low,1st place,roogang2023,"[1, 1]","[0, 0]",Expert
GFD Buckaroo,PTSD Toronto,1st place,roogang2023,"[23, 21]","[21, 15]",Expert
GFD On The Low Low,Golden Retriever Club,3rd place,roogang2023,"[1, 1]","[0, 0]",Expert
GFD Buckaroo,GFD Forfeit,3rd place,roogang2023,"[537, 21, 29]","[539, 17, 27]",Expert
PTSD Toronto,Are you playing this weekend?,3rd place,roogang2023,"[21, 21]","[13, 11]",Expert
TRP Train Boyz,He blunders,P5: Semi-finals,roogang2023,"[-1, -1, -1]","[-1, -1, -1]",Expert
PTSD Toronto,GFD On The Low Low,P5: Final,roogang2023,"[0, 0]","[1, 1]",Expert
No Bulk Just Cut,Women don't sweat,P9: Quarter-finals,roogang2023,"[-1, -1, -1]","[-1, -1, -1]",Expert
Are you playing this weekend?,GFD Forfeit,9th place,roogang2023,"[-1, -1, -1]","[-1, -1, -1]",Expert
