Team 1,Team 2,Round,Tournament,Team 1 Scores,Team 2 Scores,Division
What the flick?,Tater Bots,Round of 16,wisconsin2023,"[21, 21]","[15, 12]",Expert
No skin andys,Happy Campers,Round of 16,wisconsin2023,"[21, 21]","[10, 15]",Expert
ClubSpike Big Slick,What the flick?,Quarter-finals,wisconsin2023,"[21, 21]","[15, 15]",Expert
Lanky Smoove,No skin andys,Quarter-finals,wisconsin2023,"[21, 21]","[18, 14]",Expert
ClubSpike Big Slick,Lanky Smoove,Semi-finals,wisconsin2023,"[21, 21]","[15, 15]",Expert
Puzzles,Beard/Broekema,Final,wisconsin2023,"[34, 18]","[36, 21]",Expert
Puzzles,Semke/Zapata,1st place,wisconsin2023,"[21, 21]","[16, 17]",Expert
Beard/Broekema,Cookin Curry,1st place,wisconsin2023,"[21, 21]","[16, 15]",Expert
Semke/Zapata,3rd and 4th pick,3rd place,wisconsin2023,"[26, 21]","[24, 17]",Expert
Micah Spikeball,Cookin Curry,3rd place,wisconsin2023,"[16, 19]","[21, 21]",Expert
No skin andys,What the flick?,P5: Semi-finals,wisconsin2023,"[-1, -1, -1]","[-1, -1, -1]",Expert
Cookin Curry,Semke/Zapata,P5: Final,wisconsin2023,"[-1, -1, -1]","[-1, -1, -1]",Expert
Tater Bots,Happy Campers,P9: Semi-finals,wisconsin2023,"[1, 1]","[0, 0]",Expert
3rd and 4th pick,Micah Spikeball,P9: Final,wisconsin2023,"[-1, -1, -1]","[-1, -1, -1]",Expert
Tater Bots,Happy Campers,P9: Semi-finals,wisconsin2023,"[1, 1]","[0, 0]",Expert
3rd and 4th pick,Micah Spikeball,P9: Final,wisconsin2023,"[-1, -1, -1]","[-1, -1, -1]",Expert
Visual Hinder,Dominos Drip,Quarter-finals,wisconsin2023,"[21, 21]","[8, 14]",Advanced
Sams Club,Team Clow,Quarter-finals,wisconsin2023,"[21, 14, 21]","[12, 21, 16]",Advanced
Visual Hinder,Sams Club,Semi-finals,wisconsin2023,"[21, 21]","[14, 13]",Advanced
textbook,The bread bandits,Final,wisconsin2023,"[15, 19]","[21, 21]",Advanced
textbook,Munchkins,1st place,wisconsin2023,"[21, 21]","[14, 11]",Advanced
The bread bandits,Blueberry Fwango,1st place,wisconsin2023,"[21, 21]","[13, 16]",Advanced
Team Clow,Dominos Drip,P5: Semi-finals,wisconsin2023,"[-1, -1, -1]","[-1, -1, -1]",Advanced
Blueberry Fwango,Munchkins,P5: Final,wisconsin2023,"[-1, -1, -1]","[-1, -1, -1]",Advanced
Team Clow,Dominos Drip,P5: Semi-finals,wisconsin2023,"[-1, -1, -1]","[-1, -1, -1]",Advanced
Blueberry Fwango,Munchkins,P5: Final,wisconsin2023,"[-1, -1, -1]","[-1, -1, -1]",Advanced
